Gene	WGCNA_kTotal	Spearman_meanAbs	Variance	Variance_scaled	MX_Score	Rank_kTotal	Rank_MX	Pctl_kTotal	Pctl_MX	Rank_Sum	Rank_Prod	Rank_Combo
ENSG00000275221	474.096367176494	0.37426011110819796	12.584817813964625	0.4572418419545461	0.17112738257322552	4	4	0.999566974595843	0.999566974595843	8	16	1
ENSG00000178922	408.1588891422017	0.3441708589847776	9.69189580018286	0.3521338451788887	0.12119420797283081	45	21	0.99364896073903	0.9971131639722863	66	945	2
ENSG00000164708	400.037611192443	0.3617496880804993	9.741599832206044	0.35393973251796723	0.12803758783767	71	16	0.9898960739030023	0.9978348729792148	87	1136	3
ENSG00000229407	403.385946894627	0.3242286904760267	9.63278232271658	0.3499860862108544	0.11347553041697511	60	33	0.9914838337182448	0.9953810623556582	93	1980	4
ENSG00000288066	418.52950507653713	0.3181362003377849	8.218430162026	0.2985986925523664	0.09499505347444026	31	64	0.9956697459584296	0.9909064665127021	95	1984	5
ENSG00000200087	389.7970575575576	0.32307832735767805	14.124717180135479	0.5131907188489969	0.16580079906121833	102	5	0.9854214780600462	0.9994226327944573	107	510	6
ENSG00000200959	385.530494994128	0.31364814139623637	11.580834153678056	0.4207642905979978	0.1319719377119679	117	14	0.983256351039261	0.9981235565819861	131	1638	7
ENSG00000210196	403.5075782364395	0.3185338477016931	7.953499571691639	0.2889730187519742	0.09204768754503984	59	77	0.9916281755196305	0.9890300230946882	136	4543	8
ENSG00000254402	387.6973474603713	0.3448131200382689	8.314080704680116	0.30207394590554476	0.10415905976996216	110	42	0.9842667436489607	0.9940819861431871	152	4620	9
ENSG00000279278	385.08191305358196	0.32412216620917284	8.82311298931865	0.3205685211058456	0.10390336347929761	118	43	0.9831120092378753	0.9939376443418014	161	5074	10
ENSG00000225630	375.4893162131681	0.32350881693047084	10.34259466930417	0.37577556601052603	0.12156670879144332	153	19	0.9780600461893765	0.9974018475750578	172	2907	11
ENSG00000271141	403.9313797387898	0.3565719216065994	6.284591884647346	0.22833690656054675	0.08141852954600069	56	139	0.9920612009237876	0.980080831408776	195	7784	12
ENSG00000272379	451.54361527181175	0.33391118655126956	6.084904534769019	0.22108170326534513	0.07382165386210708	8	188	0.9989896073903002	0.9730080831408776	196	1504	13
ENSG00000212232	363.97034690671467	0.3137930366260675	13.229699586554412	0.4806722113012259	0.15083159280597844	196	9	0.9718533487297921	0.9988452655889145	205	1764	14
ENSG00000246451	380.13060030641867	0.32398311988177314	7.8670634239775445	0.2858325502941478	0.09260492140806183	132	73	0.9810912240184757	0.9896073903002309	205	9636	15
ENSG00000208892	360.70076541342763	0.3168677633828743	14.149340469154687	0.514085352223318	0.1628970757468999	212	7	0.9695438799076213	0.999133949191686	219	1484	16
ENSG00000284976	415.49249214431285	0.3297117490947271	6.173562384682012	0.22430289241541482	0.07395529898529282	33	186	0.9953810623556582	0.973296766743649	219	6138	17
ENSG00000204970	375.9298779757804	0.33957635777074824	7.589967106353036	0.2757648613897553	0.09364322723188835	152	68	0.9782043879907621	0.9903290993071594	220	10336	18
ENSG00000207067	475.9511527519976	0.3747766455745258	4.876461087193693	0.17717555253393677	0.06640125925648199	3	289	0.9997113163972287	0.9584295612009238	292	867	19
ENSG00000224189	419.04023027110696	0.32111621150822883	5.818121222630395	0.21138871486867242	0.0678803432742213	30	269	0.9958140877598153	0.9613163972286374	299	8070	20
ENSG00000280789	403.76554782192176	0.31264026902351333	6.019232387266797	0.21869564936032107	0.06837306665028273	57	260	0.9919168591224018	0.9626154734411085	317	14820	21
ENSG00000180596	360.25062635344545	0.3213290687894754	7.465636086979514	0.2712475656171178	0.0871597276711606	214	103	0.9692551963048499	0.9852771362586605	317	22042	22
ENSG00000276903	345.6078680770172	0.30633657699804123	9.076974197603146	0.32979201310967954	0.10102735641731236	270	48	0.9611720554272517	0.993215935334873	318	12960	23
ENSG00000276410	344.7503640482165	0.2875435191796132	9.820353112027547	0.35680106076743845	0.10259583266008826	274	45	0.960594688221709	0.99364896073903	319	12330	24
ENSG00000245870	339.7813384328072	0.30197857751995355	10.792985824916814	0.39213954399071144	0.11841774168363829	298	24	0.9571304849884527	0.9966801385681293	322	7152	25
ENSG00000281490	337.8225448306582	0.30085128799520283	11.650451023520416	0.4232936673651775	0.1273484450270266	306	17	0.9559757505773672	0.9976905311778291	323	5202	26
ENSG00000276368	342.8289034899074	0.30679386992327046	9.402040302352411	0.34160257935622573	0.1048015772964676	286	39	0.9588625866050808	0.9945150115473441	325	11154	27
ENSG00000204272	400.0006133749857	0.31090457918777925	6.067930326084072	0.2204649825023148	0.0685435726105233	72	255	0.9897517321016166	0.963337182448037	327	18360	28
ENSG00000225507	411.51495256168573	0.31278883186118234	5.844935735330915	0.21236296156493323	0.06642476267847662	40	288	0.9943706697459584	0.9585739030023095	328	11520	29
ENSG00000212694	401.8759414206343	0.30333784499318284	6.179809870931778	0.22452988116985342	0.06810841029063876	67	263	0.9904734411085451	0.9621824480369515	330	17621	30
ENSG00000257270	386.9097072979155	0.3239024937715245	5.982433334721269	0.21735863623730003	0.07040300432003914	111	231	0.984122401847575	0.9668013856812933	342	25641	31
ENSG00000287080	335.673773540281	0.2977662791372659	10.624009893778215	0.3860001729531694	0.11493783524660635	321	28	0.953810623556582	0.9961027713625866	349	8988	32
ENSG00000278588	333.5699687473904	0.3039732665366923	10.79796851594716	0.3923205791759866	0.11925496798169169	332	23	0.9522228637413395	0.996824480369515	355	7636	33
ENSG00000260260	397.9530079118267	0.319775676197784	5.755074596396294	0.20909805353893016	0.06686447146205184	76	281	0.9891743648960739	0.9595842956120092	357	21356	34
ENSG00000085063	361.4622018003992	0.2748208902557546	7.902343005786584	0.2871143567698721	0.0789050231327046	207	157	0.9702655889145496	0.9774826789838337	364	32499	35
ENSG00000207445	344.18416109166486	0.31057006769868767	7.857686194715408	0.28549184916969517	0.08866522292405575	277	91	0.960161662817552	0.9870092378752887	368	25207	36
ENSG00000239415	477.94085462144216	0.3419478443195459	4.991936020965618	0.181371081797687	0.062019450442623095	2	367	0.9998556581986143	0.9471709006928406	369	734	37
ENSG00000164414	443.9150558201297	0.31349526222524016	5.455600769463981	0.1982173267562379	0.062140192829032916	10	365	0.9987009237875288	0.9474595842956121	375	3650	38
ENSG00000279598	350.5806804972366	0.3092746033039208	7.371101497051155	0.2678128579664996	0.08282771540727846	253	127	0.9636258660508084	0.9818129330254042	380	32131	39
ENSG00000238741	321.98929309566785	0.3017578447511039	16.299346690013007	0.5922011278484631	0.17870133599872517	381	3	0.9451501154734411	0.9997113163972287	384	1143	40
ENSG00000200503	338.2221389298461	0.3605762295329754	6.868706228987751	0.24955942425340633	0.08998519624171343	304	84	0.9562644341801385	0.9880196304849884	388	25536	41
ENSG00000277200	374.5911464965941	0.3024472112555414	6.339499488523023	0.23033185430667671	0.06966322699837203	158	239	0.977338337182448	0.9656466512702079	397	37762	42
ENSG00000239911	377.10861089445973	0.3063538309457639	6.1480646570847055	0.22337648822708314	0.06843224291157825	148	258	0.9787817551963048	0.9629041570438799	406	38184	43
ENSG00000252947	374.4799618693021	0.3153984363312223	6.019429734546731	0.21870281954229076	0.06897852730486799	159	248	0.9771939953810623	0.9643475750577367	407	39432	44
ENSG00000198695	379.22681652204295	0.3267622697613876	5.6268234354038205	0.20443832799090228	0.06680273208053025	137	282	0.9803695150115473	0.9594399538106235	419	38634	45
ENSG00000201998	320.7814461610113	0.3128013733664359	9.641489057430537	0.35030242638175474	0.10957508006580768	393	35	0.9434180138568129	0.9950923787528868	428	13755	46
ENSG00000273373	388.1218284795336	0.29251744787031864	6.015783370752871	0.21857033688563357	0.0639356371259413	109	327	0.9844110854503464	0.9529445727482679	436	35643	47
ENSG00000226950	371.7658256172173	0.30319207499575435	6.128677705719757	0.22267210573358723	0.06751241778104032	165	273	0.9763279445727483	0.9607390300230947	438	45045	48
ENSG00000229344	404.48596386734687	0.2978595747616238	5.660031930452892	0.2056448860570768	0.06125329831286347	55	395	0.9922055427251733	0.9431293302540416	450	21725	49
ENSG00000261455	447.96016532113293	0.32334359906917165	5.03216263967703	0.18283262804389483	0.05911775997898812	9	443	0.9988452655889145	0.9362009237875288	452	3987	50
ENSG00000168298	321.27200970206155	0.3006800510824402	8.69072977406233	0.315758666399765	0.09494233194280455	388	67	0.9441397228637414	0.9904734411085451	455	25996	51
ENSG00000207344	369.8191427931442	0.32193316191564003	5.673776110612005	0.20614425079520868	0.06636467046923222	171	290	0.9754618937644342	0.9582852193995381	461	49590	52
ENSG00000229273	480.6778531280057	0.37641070276256006	4.250779266041863	0.1544427714472306	0.058133912137049513	1	462	1	0.933458429561201	463	462	53
ENSG00000174365	424.8685511676527	0.3184542675034922	5.086717989222441	0.18481477739904384	0.058855054560433474	24	449	0.9966801385681293	0.9353348729792148	473	10776	54
ENSG00000212402	307.75477255895163	0.3012582105055084	13.5618307141368	0.4927394697066433	0.1484418108892565	469	10	0.9324480369515011	0.9987009237875288	479	4690	55
ENSG00000232815	341.3034279681354	0.3255666998088296	6.205596423457318	0.2254667791805145	0.07340447521432623	290	194	0.9582852193995381	0.9721420323325635	484	56260	56
ENSG00000227775	333.6602275760987	0.3114963664786995	6.9935773986873935	0.25409634520725016	0.07915008826757573	331	155	0.9523672055427251	0.9777713625866051	486	51305	57
ENSG00000134049	376.19968348170937	0.27569600737696337	6.339149716162394	0.23031914609263637	0.06349806900021138	150	337	0.9784930715935335	0.9515011547344111	487	50550	58
ENSG00000267280	343.7948506849922	0.3062976913516253	6.488426850362309	0.2357428044095272	0.07220747674339593	279	209	0.9598729792147807	0.9699769053117783	488	58311	59
ENSG00000277224	323.23412315583954	0.3156624925929251	7.278373429224258	0.26444378634696386	0.08347498474899355	372	124	0.9464491916859122	0.9822459584295612	496	46128	60
ENSG00000277775	309.2089295864832	0.30737167045450875	9.589354266185138	0.3484082227205377	0.1070908174176982	463	38	0.9333140877598153	0.9946593533487298	501	17594	61
ENSG00000262814	460.755652182255	0.33883549921428385	4.582955488298918	0.1665116682690647	0.05642006424295176	6	509	0.9992782909930716	0.9266743648960739	515	3054	62
ENSG00000203814	341.07096021059147	0.31342454826501676	6.20628121346904	0.22549165952848144	0.07067462152524326	291	227	0.9581408775981525	0.9673787528868361	518	66057	63
ENSG00000251022	383.83917412608986	0.31139706494215363	5.406792915689775	0.19644400009458354	0.06117208505494946	123	396	0.9823903002309469	0.9429849884526559	519	48708	64
ENSG00000185130	315.404306000081	0.31178264693427027	7.80581768282369	0.2836073201866459	0.08842384097772757	426	94	0.9386547344110855	0.9865762124711316	520	40044	65
ENSG00000278637	339.7014986931115	0.28828221034608265	6.800287287616476	0.2470735715982755	0.07122691533845198	300	223	0.9568418013856813	0.9679561200923787	523	66900	66
ENSG00000276966	333.66115445353483	0.31017236935974535	6.444683781211647	0.23415349562438134	0.07262794453168113	330	202	0.9525115473441108	0.9709872979214781	532	66660	67
ENSG00000207008	301.10142241755995	0.30575277317351796	9.40137743368954	0.34157849547254415	0.10443857224716832	500	41	0.9279734411085451	0.9942263279445728	541	20500	68
ENSG00000252010	291.2587658338163	0.3041846978991431	17.86166016807156	0.6489643724959325	0.1974050315949822	548	2	0.9210450346420324	0.9998556581986143	550	1096	69
ENSG00000280254	367.6965351064304	0.31788072638825593	5.346076964078482	0.19423801873186847	0.06174452248670201	182	375	0.9738741339491916	0.9460161662817552	557	68250	70
ENSG00000259663	324.37437970147715	0.27018057725721795	7.458768284455707	0.2709980390270164	0.07321840661989337	363	197	0.9477482678983834	0.9717090069284064	560	71511	71
ENSG00000273149	425.1441253826596	0.3723053721082336	4.082573809887138	0.14833139393379152	0.05522457481385324	23	544	0.996824480369515	0.921622401847575	567	12512	72
ENSG00000273344	405.1079888392324	0.31786553047728117	4.856297419412525	0.17644294974753882	0.05608513182047769	52	518	0.9926385681293303	0.9253752886836027	570	26936	73
ENSG00000274641	315.95224466567487	0.31313855446539796	7.044876499300096	0.2559601858763408	0.08015100260601192	422	148	0.9392321016166282	0.9787817551963048	570	62456	74
ENSG00000280120	440.6487251860755	0.32036024400290786	4.68301338570424	0.17014705322163362	0.054508351486458294	13	562	0.9982678983833718	0.9190242494226328	575	7306	75
ENSG00000207233	319.23231620724806	0.29120904340653236	7.172462413689517	0.26059574114342937	0.0758878364941944	401	174	0.9422632794457275	0.9750288683602771	575	69774	76
