Cell_Line,group1,group2,Description,Project_id,Disease,Origin,Stage,Primary.Metastatic,Age.at.diagnosis..months.,MYCN.amplification,Laterality.of.tumour,RB1.mutation.allele.1...allele.2,DSMZ_Cell_line_norm,PATHS,LIBRARY,PATH_CELL_LINE,PATH_alt_id,sample_name,organ,tcga_codes
EVSA-T,Breast carcinoma,Breast cancer,Breast cancer;luminal;Breast carcinoma;,NG-29643,NA,Breast carcinoma,invasive,M,NONE,NONE,NONE,NONE,EVSA_T,./NG-29643/2022-03-28/NG-29643_EVSA_T_lib581299_7997_4_1.fastq.gz,lib581299_7997_4,EVSA_T,NONE,NG-29643_EVSA_T_lib581299_7997_4,Breast,BRCA
HCC-1143,Breast ductal carcinoma,Breast cancer,Breast cancer;basal_like;Breast ductal carcinoma;triple_negative,NG-29643,NA,Breast ductal carcinoma,invasive,P,NONE,NONE,NONE,NONE,HCC_1143,./NG-29643/2022-03-28/NG-29643_HCC_1143_lib581306_7997_4_1.fastq.gz,lib581306_7997_4,HCC_1143,NONE,NG-29643_HCC_1143_lib581306_7997_4,Breast,BRCA
HCC-1599,Breast ductal carcinoma,Breast cancer,Breast cancer;basal_like;Breast ductal carcinoma;triple_negative,NG-29643,NA,Breast ductal carcinoma,invasive,P,NONE,NONE,NONE,NONE,HCC_1599,./NG-29643/2022-03-28/NG-29643_HCC_1599_lib581304_7997_4_1.fastq.gz,lib581304_7997_4,HCC_1599,NONE,NG-29643_HCC_1599_lib581304_7997_4,Breast,BRCA
HCC-1937,Breast ductal carcinoma,Breast cancer,Breast cancer;basal_like;Breast ductal carcinoma;triple_negative,NG-29643,NA,Breast ductal carcinoma,invasive,P,NONE,NONE,NONE,NONE,HCC_1937,./NG-29643/2022-03-28/NG-29643_HCC_1937_lib581305_7997_4_1.fastq.gz,lib581305_7997_4,HCC_1937,NONE,NG-29643_HCC_1937_lib581305_7997_4,Breast,BRCA
HDQ-P1,Breast ductal carcinoma,Breast cancer,Breast cancer;luminal;Breast ductal carcinoma;triple_negative,NG-29643,NA,Breast ductal carcinoma,invasive,P,NONE,NONE,NONE,NONE,HDQ_P1,./NG-29643/2022-04-04/NG-29643_HDQ_P1_lib581303_8005_3_1.fastq.gz,lib581303_8005_3,HDQ_P1,NONE,NG-29643_HDQ_P1_lib581303_8005_3,Breast,BRCA
HS-578T,Breast ductal carcinoma,Breast cancer,Breast cancer;luminal;Breast ductal carcinoma;triple_negative,NG-29643,NA,Breast carcinosarcoma,invasive,P,NONE,NONE,NONE,NONE,HS_578T,./NG-30919/2022-09-12/NG-30919_HS_578T_B_lib628473_10098_2_1.fastq.gz,lib628473_10098_2,HS_578T_B,HS_578T,NG-30919_HS_578T_B_lib628473_10098_2,Breast,BRCA
IPH-926,Breast lobular carcinoma,Breast cancer,Breast cancer;luminal;Breast lobular carcinoma;,NG-29643,NA,Breast lobular carcinoma,invasive,M,NONE,NONE,NONE,NONE,IPH_926,./NG-29643/2022-03-28/NG-29643_IPH_926_lib581313_7997_4_1.fastq.gz,lib581313_7997_4,IPH_926,NONE,NG-29643_IPH_926_lib581313_7997_4,Breast,BRCA
JIMT-1,Breast ductal carcinoma,Breast cancer,Breast cancer;luminal;Breast ductal carcinoma;,NG-29643,NA,Breast ductal carcinoma,invasive,M,NONE,NONE,NONE,NONE,JIMT_1,./NG-29643/2022-03-28/NG-29643_JIMT_1_B_lib581287_7997_4_1.fastq.gz,lib581287_7997_4,JIMT_1,NONE,NG-29643_JIMT_1_B_lib581287_7997_4,Breast,BRCA
KPL-1,Breast adenocarcinoma,Breast cancer,Breast cancer;luminal;Breast adenocarcinoma;,NG-29643,NA,Breast adenocarcinoma,invasive,M,NONE,NONE,NONE,NONE,KPL_1,./NG-29643/2022-03-28/NG-29643_KPL_1_lib581296_7997_4_1.fastq.gz,lib581296_7997_4,KPL_1,NONE,NG-29643_KPL_1_lib581296_7997_4,Breast,BRCA
MCF-7,Breast adenocarcinoma,Breast cancer,Breast cancer;luminal;Breast adenocarcinoma;,NG-29643,NA,Breast adenocarcinoma,invasive,M,NONE,NONE,NONE,NONE,MCF_7,./NG-29643/2022-03-28/NG-29643_MCF_7_lib581315_7997_4_1.fastq.gz,lib581315_7997_4,MCF_7,NONE,NG-29643_MCF_7_lib581315_7997_4,Breast,BRCA
