Cell_Line,group1,group2,Description,Project_id,Disease,Origin,Stage,Primary.Metastatic,Age.at.diagnosis..months.,MYCN.amplification,Laterality.of.tumour,RB1.mutation.allele.1...allele.2,DSMZ_Cell_line_norm,PATHS,LIBRARY,PATH_CELL_LINE,PATH_alt_id,sample_name,organ,tcga_codes
KM-H2,HL,LL-100,leukemia and lymphoma panel,NG-13640,Hodgkin lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,KM_H2,./NG-13640/2018-03-20/NG-13640_KM_H2_lib248380_5904_3_1.fastq.gz,lib248380_5904_3,KM_H2_5904_3,KM_H2,NG-13640_KM_H2_lib248380_5904_3,Lymphoid,DLBC
KMS-12-BM,MM_PCL,LL-100,leukemia and lymphoma panel,NG-13640,"Multiple myeloma, plasma cell leukemia",NA,NONE,NONE,NONE,NONE,NONE,NONE,KMS_12_BM,./NG-13640/2018-03-06/NG-13640_KMS_12_BM_lib248379_5885_5_1.fastq.gz,lib248379_5885_5,KMS_12_BM,KMS_12,NG-13640_KMS_12_BM_lib248379_5885_5,Lymphoid,DLBC
KOPN-8,Pre-B-ALL,LL-100,leukemia and lymphoma panel,NG-13640,B-cell precursor / pre-B-acute lymphoblastic leukemia,NA,NONE,NONE,NONE,NONE,NONE,NONE,KOPN_8,./NG-13640/2017-12-04/NG-13640_KOPN_8_lib227470_5697_7_1.fastq.gz,lib227470_5697_7,KOPN_8,NONE,NG-13640_KOPN_8_lib227470_5697_7,Lymphoid,DLBC
KU-812,CML_myelo,LL-100,leukemia and lymphoma panel,NG-13640,"Chronic myeloid leukemia, myeloid blast crisis",NA,NONE,NONE,NONE,NONE,NONE,NONE,KU_812,./NG-13640/2018-01-12/NG-13640_KU812_lib236377_5767_8_1.fastq.gz,lib236377_5767_8,KU812,KU_812,NG-13640_KU812_lib236377_5767_8,Myeloid,LAML
L-1236,HL,LL-100,leukemia and lymphoma panel,NG-13640,Hodgkin lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,L_1236,./NG-13640/2018-01-29/NG-13640_L_1236_lib241215_5808_7_1.fastq.gz,lib241215_5808_7,L_1236,NONE,NG-13640_L_1236_lib241215_5808_7,Lymphoid,DLBC
L-363,MM_PCL,LL-100,leukemia and lymphoma panel,NG-13640,"Multiple myeloma, plasma cell leukemia",NA,NONE,NONE,NONE,NONE,NONE,NONE,L_363,./NG-13640/2018-01-29/NG-13640_L_363_lib241210_5808_6_1.fastq.gz,lib241210_5808_6,L_363,NONE,NG-13640_L_363_lib241210_5808_6,Lymphoid,DLBC
L-428,HL,LL-100,leukemia and lymphoma panel,NG-13640,Hodgkin lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,L_428,./NG-13640/2018-01-29/NG-13640_L_428_lib241214_5808_7_1.fastq.gz,lib241214_5808_7,L_428,NONE,NG-13640_L_428_lib241214_5808_7,Lymphoid,DLBC
LAMA-84,CML_myelo,LL-100,leukemia and lymphoma panel,NG-13640,"Chronic myeloid leukemia, myeloid blast crisis",NA,NONE,NONE,NONE,NONE,NONE,NONE,LAMA_84,./NG-13640/2018-05-11/NG-13640_LAMA_84_lib259816_5981_7_1.fastq.gz,lib259816_5981_7,LAMA_84,NONE,NG-13640_LAMA_84_lib259816_5981_7,Myeloid,LAML
LP-1,MM_PCL,LL-100,leukemia and lymphoma panel,NG-13640,"Multiple myeloma, plasma cell leukemia",NA,NONE,NONE,NONE,NONE,NONE,NONE,LP_1,./NG-13640/2018-01-29/NG-13640_LP_1_lib241211_5808_7_1.fastq.gz,lib241211_5808_7,LP_1,NONE,NG-13640_LP_1_lib241211_5808_7,Lymphoid,DLBC
M-07e,AML_mega,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, megakaryocytic",NA,NONE,NONE,NONE,NONE,NONE,NONE,M_07E,./NG-13640/2018-05-11/NG-13640_M_07e_lib259810_5981_3_1.fastq.gz,lib259810_5981_3,M_07e,NONE,NG-13640_M_07e_lib259810_5981_3,Myeloid,LAML
ME-1,AML_mono,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, monocytic",NA,NONE,NONE,NONE,NONE,NONE,NONE,ME_1,./NG-13640/2018-03-06/NG-13640_ME_1_lib248393_5885_6_1.fastq.gz,lib248393_5885_6,ME_1,NONE,NG-13640_ME_1_lib248393_5885_6,Myeloid,LAML
MEC-1,PLL,LL-100,leukemia and lymphoma panel,NG-13640,NONE,NA,NONE,NONE,NONE,NONE,NONE,NONE,MEC_1,./NG-13640/2017-12-04/NG-13640_MEC_1_lib227482_5697_4_1.fastq.gz,lib227482_5697_4,MEC_1,NONE,NG-13640_MEC_1_lib227482_5697_4,Hematologic,DLBC;LAML
MEGAL,AML_mega,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, megakaryocytic",NA,NONE,NONE,NONE,NONE,NONE,NONE,MEGAL,./NG-13640/2018-05-11/NG-13640_MEGAL_lib259811_5981_3_1.fastq.gz,lib259811_5981_3,MEGAL,NONE,NG-13640_MEGAL_lib259811_5981_3,Myeloid,LAML
MINO,MCL,LL-100,leukemia and lymphoma panel,NG-13640,Mantle cell lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,MINO,./NG-13640/2018-03-06/NG-13640_MINO_lib248384_5885_5_1.fastq.gz,lib248384_5885_5,MINO,NONE,NG-13640_MINO_lib248384_5885_5,Lymphoid,DLBC
MKPL-1,AML_mega,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, megakaryocytic",NA,NONE,NONE,NONE,NONE,NONE,NONE,MKPL_1,./NG-13640/2018-05-11/NG-13640_MKPL_1_lib259812_5981_3_1.fastq.gz,lib259812_5981_3,MKPL_1,NONE,NG-13640_MKPL_1_lib259812_5981_3,Myeloid,LAML
MOLM-13,AML_mono,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, monocytic",NA,NONE,NONE,NONE,NONE,NONE,NONE,MOLM_13,./NG-13640/2018-01-12/NG-13640_MOLM13_lib236379_5767_8_1.fastq.gz,Lib236379_5767_8,MOLM13,MOLM_13,NG-13640_MOLM13_lib236379_5767_8,Myeloid,LAML
MOLM-20,CML_myelo,LL-100,leukemia and lymphoma panel,NG-13640,"Chronic myeloid leukemia, myeloid blast crisis",NA,NONE,NONE,NONE,NONE,NONE,NONE,MOLM_20,./NG-13640/2018-05-11/NG-13640_MOLM_20_lib259817_5981_7_1.fastq.gz,lib259817_5981_7,MOLM_20,NONE,NG-13640_MOLM_20_lib259817_5981_7,Myeloid,LAML
MOLT-4,T_ALL_TLL,LL-100,leukemia and lymphoma panel,NG-13640,T-acute lymphoblastic leukemia / T-lymphoblastic lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,MOLT_4,./NG-13640/2018-01-29/NG-13640_MOLT_4_lib241220_5808_2_1.fastq.gz,lib241220_5808_2,MOLT_4,NONE,NG-13640_MOLT_4_lib241220_5808_2,Lymphoid,DLBC
MONO-MAC-6,AML_mono,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, monocytic",NA,NONE,NONE,NONE,NONE,NONE,NONE,MONO_MAC_6,./NG-13640/2018-03-20/NG-13640_MONO_MAC_6_lib248394_5885_6_1.fastq.gz,lib248394_5885_6,MONO_MAC_6,MONO_MAC_5885_6,NG-13640_MONO_MAC_6_lib248394_5885_6,Myeloid,LAML
MONO-MAC-6,AML_mono,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, monocytic",NA,NONE,NONE,NONE,NONE,NONE,NONE,MONO_MAC_6,./NG-13640/2018-03-20/NG-13640_MONO_MAC_6_lib248394_5904_3_1.fastq.gz,lib248394_5904_3,MONO_MAC_6,MONO_MAC_5904_3,NG-13640_MONO_MAC_6_lib248394_5904_3,Myeloid,LAML
MOTN-1,M T MAL,LL-100,leukemia and lymphoma panel,NG-13640,NONE,NA,NONE,NONE,NONE,NONE,NONE,NONE,MOTN_1,./NG-13640/2018-03-16/NG-13640_MOTN_1_lib250968_5908_5_1.fastq.gz,lib250968_5908_5,MOTN_1,NONE,NG-13640_MOTN_1_lib250968_5908_5,Hematologic,DLBC;LAML
MUTZ-3,AML_mono,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, monocytic",NA,NONE,NONE,NONE,NONE,NONE,NONE,MUTZ_3,./NG-13640/2018-05-22/NG-13640_MUTZ_3_lib259806_5981_3_1.fastq.gz,lib259806_5981_3,MUTZ_3_5981_3,MUTZ_3,NG-13640_MUTZ_3_lib259806_5981_3,Myeloid,LAML
MUTZ-3,AML_mono,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, monocytic",NA,NONE,NONE,NONE,NONE,NONE,NONE,MUTZ_3,./NG-13640/2018-05-22/NG-13640_MUTZ_3_lib259806_5991_5_1.fastq.gz,lib259806_5991_5,MUTZ_3_5991_5,MUTZ_3,NG-13640_MUTZ_3_lib259806_5991_5,Myeloid,LAML
NALM-1,CML_lympho,LL-100,leukemia and lymphoma panel,NG-13640,"Chronic myeloid leukemia, lymphoid blast crisis",NA,NONE,NONE,NONE,NONE,NONE,NONE,NALM_1,./NG-13640/2018-05-16/NG-13640_NALM_1_lib265127_5989_8_1.fastq.gz,lib265127_5989_8,NALM_1,NONE,NG-13640_NALM_1_lib265127_5989_8,Lymphoid,DLBC
NALM-6,Pre-B-ALL,LL-100,leukemia and lymphoma panel,NG-13640,B-cell precursor / pre-B-acute lymphoblastic leukemia,NA,NONE,NONE,NONE,NONE,NONE,NONE,NALM_6,./NG-13640/2017-12-11/NALM_6_1.fastq.gz,NONE,NALM_6,NONE,NALM_6,Lymphoid,DLBC
NALM-6,Pre-B-ALL,LL-100,leukemia and lymphoma panel,NG-13640,B-cell precursor / pre-B-acute lymphoblastic leukemia,NA,NONE,NONE,NONE,NONE,NONE,NONE,NALM_6,./NG-13640/2017-12-11/NG-13640_NALM_6_lib227471_5697_7_1.fastq.gz,NONE,NALM_6,NONE,NG-13640_NALM_6_lib227471_5697_7,Lymphoid,DLBC
NALM-6,Pre-B-ALL,LL-100,leukemia and lymphoma panel,NG-13640,B-cell precursor / pre-B-acute lymphoblastic leukemia,NA,NONE,NONE,NONE,NONE,NONE,NONE,NALM_6,./NG-13640/2017-12-11//NG-13640_NALM_6_lib227471_5706_1_1.fastq.gz,NONE,NALM_6,NONE,NG-13640_NALM_6_lib227471_5706_1,Lymphoid,DLBC
NB-4,AML_myelo,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, myelocytic",NA,NONE,NONE,NONE,NONE,NONE,NONE,NB_4,./NG-13640/2018-01-12/NG-13640_NB4_lib236380_5767_8_1.fastq.gz,lib236380_5767_8,NB4,NB_4,NG-13640_NB4_lib236380_5767_8,Myeloid,LAML
NC-NC,NORMAL,LL-100,leukemia and lymphoma panel,NG-13640,NONE,NA,NONE,NONE,NONE,NONE,NONE,NONE,NC_NC,./NG-13640/2018-05-07/NG-13640_NC_NC_lib259822_5972_8_1.fastq.gz,lib259822_5972_8,NC_NC,NONE,NG-13640_NC_NC_lib259822_5972_8,Hematologic,DLBC;LAML
NK-92,NK MAL,LL-100,leukemia and lymphoma panel,NG-13640,Natural killer malignancy,NA,NONE,NONE,NONE,NONE,NONE,NONE,NK_92,./NG-13640/2017-11-24/NG-13640_NK_92_lib227486_5684_6_1.fastq.gz,lib227486_5684_6,NK_92,NONE,NG-13640_NK_92_lib227486_5684_6,Lymphoid,DLBC
NU-DHL-1,DLBCL_ABC,LL-100,leukemia and lymphoma panel,NG-13640,"Diffuse large B-cell lymphoma, activated B-cell",NA,NONE,NONE,NONE,NONE,NONE,NONE,NU_DHL_1,./NG-13640/2017-12-04/NG-13640_NU_DHL_1_lib227484_5697_4_1.fastq.gz,lib227484_5697_4,NU_DHL_1,NONE,NG-13640_NU_DHL_1_lib227484_5697_4,Lymphoid,DLBC
OCI-AML3,AML_myelo,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, myelocytic",NA,NONE,NONE,NONE,NONE,NONE,NONE,OCI_AML3,./NG-13640/2018-03-06/NG-13640_OCI_AML_3_lib248392_5885_6_1.fastq.gz,lib248392_5885_6,OCI_AML_3,OCI_AML3,NG-13640_OCI_AML_3_lib248392_5885_6,Myeloid,LAML
OCI-LY19,DLBCL_GCB,LL-100,leukemia and lymphoma panel,NG-13640,"Diffuse large B-cell lymphoma, germinal center B-cell",NA,NONE,NONE,NONE,NONE,NONE,NONE,OCI_LY19,./NG-13640/2018-01-15/NG-13640_OCILY19_lib236388_5774_8_1.fastq.gz,lib236388_5774_8,OCILY19,OCI_LY19,NG-13640_OCILY19_lib236388_5774_8,Lymphoid,DLBC
OCI-LY3,DLBCL_ABC,LL-100,leukemia and lymphoma panel,NG-13640,"Diffuse large B-cell lymphoma, activated B-cell",NA,NONE,NONE,NONE,NONE,NONE,NONE,OCI_LY3,./NG-13640/2018-01-29/NG-13640_OCI_LY_3_lib241204_5808_6_1.fastq.gz,lib241204_5808_6,OCI_LY_3,OCI_LY3,NG-13640_OCI_LY_3_lib241204_5808_6,Lymphoid,DLBC
OCI-LY7,DLBCL_GCB,LL-100,leukemia and lymphoma panel,NG-13640,"Diffuse large B-cell lymphoma, germinal center B-cell",NA,NONE,NONE,NONE,NONE,NONE,NONE,OCI_LY7,./NG-13640/2018-01-15/NG-13640_OCILY7_lib236387_5774_8_1.fastq.gz,lib236387_5774_8,OCILY7,OCI_LY7,NG-13640_OCILY7_lib236387_5774_8,Lymphoid,DLBC
OCI-M2,AML_ery,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, erythroid",NA,NONE,NONE,NONE,NONE,NONE,NONE,OCI_M2,./NG-13640/2018-05-11/NG-13640_OCI_M2_lib259807_5981_3_1.fastq.gz,lib259807_5981_3,OCI_M2,NONE,NG-13640_OCI_M2_lib259807_5981_3,Myeloid,LAML
OPM-2,MM_PCL,LL-100,leukemia and lymphoma panel,NG-13640,"Multiple myeloma, plasma cell leukemia",NA,NONE,NONE,NONE,NONE,NONE,NONE,OPM_2,./NG-13640/2018-01-12/NG-13640_OPM2_lib236378_5767_8_1.fastq.gz,lib236378_5767_8,OPM2,OPM_2,NG-13640_OPM2_lib236378_5767_8,Lymphoid,DLBC
PGA-1,PLL,LL-100,leukemia and lymphoma panel,NG-13640,NONE,NA,NONE,NONE,NONE,NONE,NONE,NONE,PGA_1,./NG-13640/2017-12-04/NG-13640_PGA_1_lib227483_5697_4_1.fastq.gz,lib227483_5697_4,PGA_1,NONE,NG-13640_PGA_1_lib227483_5697_4,Hematologic,DLBC;LAML
RAJI,BURKITT B ALL,LL-100,leukemia and lymphoma panel,NG-13640,NONE,NA,NONE,NONE,NONE,NONE,NONE,NONE,RAJI,./NG-13640/2017-11-24/NG-13640_RAJI_lib227476_5684_6_1.fastq.gz,lib227476_5684_6,RAJI,NONE,NG-13640_RAJI_lib227476_5684_6,Hematologic,DLBC;LAML
RAMOS,BURKITT B ALL,LL-100,leukemia and lymphoma panel,NG-13640,NONE,NA,NONE,NONE,NONE,NONE,NONE,NONE,RAMOS,./NG-13640/2017-12-04/NG-13640_RAMOS_lib227477_5697_7_1.fastq.gz,lib227477_5697_7,RAMOS,NONE,NG-13640_RAMOS_lib227477_5697_7,Hematologic,DLBC;LAML
REC-1,MCL,LL-100,leukemia and lymphoma panel,NG-13640,Mantle cell lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,REC_1,./NG-13640/2018-01-29/NG-13640_REC_1_lib241207_5808_6_1.fastq.gz,lib241207_5808_6,REC_1,NONE,NG-13640_REC_1_lib241207_5808_6,Lymphoid,DLBC
REH,PRE B ALL,LL-100,leukemia and lymphoma panel,NG-13640,B-cell precursor / pre-B-acute lymphoblastic leukemia,NA,NONE,NONE,NONE,NONE,NONE,NONE,REH,./NG-13640/2017-12-04/NG-13640_REH_lib227472_5697_7_1.fastq.gz,lib227472_5697_7,REH,NONE,NG-13640_REH_lib227472_5697_7,Lymphoid,DLBC
RI-1,DLBCL_ABC,LL-100,leukemia and lymphoma panel,NG-13640,"Diffuse large B-cell lymphoma, activated B-cell",NA,NONE,NONE,NONE,NONE,NONE,NONE,RI_1,./NG-13640/2018-01-29/NG-13640_Ri_1_lib241203_5808_6_1.fastq.gz,lib241203_5808_6,Ri_1,RI_1,NG-13640_Ri_1_lib241203_5808_6,Lymphoid,DLBC
RPMI-8226,MM_PCL,LL-100,leukemia and lymphoma panel,NG-13640,"Multiple myeloma, plasma cell leukemia",NA,NONE,NONE,NONE,NONE,NONE,NONE,RPMI_8226,./NG-13640/2018-01-29/NG-13640_RPMI_8226_lib241212_5808_7_1.fastq.gz,lib241212_5808_7,RPMI_8226,NONE,NG-13640_RPMI_8226_lib241212_5808_7,Lymphoid,DLBC
RPMI-8402,T_ALL_TLL,LL-100,leukemia and lymphoma panel,NG-13640,T-acute lymphoblastic leukemia / T-lymphoblastic lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,RPMI_8402,./NG-13640/2018-01-29/NG-13640_RPMI_8402_lib241221_5808_2_1.fastq.gz,lib241221_5808_2,RPMI_8402,NONE,NG-13640_RPMI_8402_lib241221_5808_2,Lymphoid,DLBC
SEM,pre_B_ALL,LL-100,leukemia and lymphoma panel,NG-13640,B-cell precursor / pre-B-acute lymphoblastic leukemia,NA,NONE,NONE,NONE,NONE,NONE,NONE,SEM,./NG-13640/2017-12-04/NG-13640_SEM_lib227473_5697_7_1.fastq.gz,lib227473_5697_7,SEM,NONE,NG-13640_SEM_lib227473_5697_7,Lymphoid,DLBC
SET-2,MYELOPRO NEO,LL-100,leukemia and lymphoma panel,NG-13640,NONE,NA,NONE,NONE,NONE,NONE,NONE,NONE,SET_2,./NG-13640/2018-05-11/NG-13640_SET_2_lib259821_5981_7_1.fastq.gz,lib259821_5981_7,SET_2,NONE,NG-13640_SET_2_lib259821_5981_7,Hematologic,DLBC;LAML
SKNO-1,AML_myelo,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, myelocytic",NA,NONE,NONE,NONE,NONE,NONE,NONE,SKNO_1,./NG-13640/2018-05-22/NG-13640_SKNO_1_lib259805_5981_3_1.fastq.gz,Lib259805_5981_3,SKNO_1_5981_3,SKNO_1,NG-13640_SKNO_1_lib259805_5981_3,Myeloid,LAML
SKNO-1,AML_myelo,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, myelocytic",NA,NONE,NONE,NONE,NONE,NONE,NONE,SKNO_1,./NG-13640/2018-05-22/NG-13640_SKNO_1_lib259805_5991_5_1.fastq.gz,lib259805_5991_5,SKNO_1_5991_5,SKNO_1,NG-13640_SKNO_1_lib259805_5991_5,Myeloid,LAML
SR-786,ALCL,LL-100,leukemia and lymphoma panel,NG-13640,Anaplastic large cell lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,SR_786,./NG-13640/2018-03-06/NG-13640_SR_786_lib248387_5885_5_1.fastq.gz,lib248387_5885_5,SR_786,NONE,NG-13640_SR_786_lib248387_5885_5,Lymphoid,DLBC
SU-DHL-1,ALCL,LL-100,leukemia and lymphoma panel,NG-13640,Anaplastic large cell lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,SU_DHL_1,./NG-13640/2018-03-06/NG-13640_SU_DHL_1_lib248388_5885_6_1.fastq.gz,lib248388_5885_6,SU_DHL_1,NONE,NG-13640_SU_DHL_1_lib248388_5885_6,Lymphoid,DLBC
SU-DHL-4,DLBCL_GCB,LL-100,leukemia and lymphoma panel,NG-13640,"Diffuse large B-cell lymphoma, germinal center B-cell",NA,NONE,NONE,NONE,NONE,NONE,NONE,SU_DHL_4,./NG-13640/2018-01-15/NG-13640_SUDHL4_lib236389_5774_5_1.fastq.gz,lib236389_5774_5,SUDHL4,SU_DHL_4,NG-13640_SUDHL4_lib236389_5774_5,Lymphoid,DLBC
SU-DHL-6,DLBCL_GCB,LL-100,leukemia and lymphoma panel,NG-13640,"Diffuse large B-cell lymphoma, germinal center B-cell",NA,NONE,NONE,NONE,NONE,NONE,NONE,SU_DHL_6,./NG-13640/2018-01-15/NG-13640_SUDHL6_lib236390_5774_5_1.fastq.gz,lib236390_5774_5,SUDHL6,SU_DHL_6,NG-13640_SUDHL6_lib236390_5774_5,Lymphoid,DLBC
SUP-HD1,HL,LL-100,leukemia and lymphoma panel,NG-13640,Hodgkin lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,SUP_HD1,./NG-13640/2018-01-29/NG-13640_SUP_HD_1_lib241216_5808_7_1.fastq.gz,lib241216_5808_7,SUP_HD1,SUP_HD_1,NG-13640_SUP_HD_1_lib241216_5808_7,Lymphoid,DLBC
SUP-M2,ALCL,LL-100,leukemia and lymphoma panel,NG-13640,Anaplastic large cell lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,SUP_M2,./NG-13640/2018-03-20/NG-13640_SUP_M2_lib248389_5885_6_1.fastq.gz,lib248389_5885_6,SUP_M2_5885_6,SUP_M2,NG-13640_SUP_M2_lib248389_5885_6,Lymphoid,DLBC
SUP-M2,ALCL,LL-100,leukemia and lymphoma panel,NG-13640,Anaplastic large cell lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,SUP_M2,./NG-13640/2018-03-20/NG-13640_SUP_M2_lib248389_5904_3_1.fastq.gz,lib248389_5904_3,SUP_M2_5904_3,SUP_M2,NG-13640_SUP_M2_lib248389_5904_3,Lymphoid,DLBC
TF-1,AML_ery,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, erythroid",NA,NONE,NONE,NONE,NONE,NONE,NONE,TF_1,./NG-13640/2018-05-07/NG-13640_TF_1_lib259824_5972_8_1.fastq.gz,lib259824_5972_8,TF_1,NONE,NG-13640_TF_1_lib259824_5972_8,Myeloid,LAML
THP-1,AML_mono,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, monocytic",NA,NONE,NONE,NONE,NONE,NONE,NONE,THP_1,./NG-13640/2018-03-06/NG-13640_THP_1_lib248383_5885_5_1.fastq.gz,lib248383_5885_5,THP_1,NONE,NG-13640_THP_1_lib248383_5885_5,Myeloid,LAML
TK-6,CML_lympho,LL-100,leukemia and lymphoma panel,NG-13640,"Chronic myeloid leukemia, lymphoid blast crisis",NA,NONE,NONE,NONE,NONE,NONE,NONE,TK_6,./NG-13640/2018-05-11/NG-13640_TK_6_lib259820_5981_7_1.fastq.gz,lib259820_5981_7,TK_6,NONE,NG-13640_TK_6_lib259820_5981_7,Lymphoid,DLBC
U-266,MM_PCL,LL-100,leukemia and lymphoma panel,NG-13640,"Multiple myeloma, plasma cell leukemia",NA,NONE,NONE,NONE,NONE,NONE,NONE,U_266,./NG-13640/2018-01-29/NG-13640_U_266_lib241213_5808_7_1.fastq.gz,lib241213_5808_7,U_266,NONE,NG-13640_U_266_lib241213_5808_7,Lymphoid,DLBC
U-2932,DLBCL_ABC,LL-100,leukemia and lymphoma panel,NG-13640,"Diffuse large B-cell lymphoma, activated B-cell",NA,NONE,NONE,NONE,NONE,NONE,NONE,U_2932,./NG-13640/2018-01-29/NG-13640_U_2932_lib241205_5808_6_1.fastq.gz,lib241205_5808_6,U_2932,NONE,NG-13640_U_2932_lib241205_5808_6,Lymphoid,DLBC
U-2940,PMBL,LL-100,leukemia and lymphoma panel,NG-13640,Primary mediastinal B-cell lymphoma,NA,NONE,NONE,NONE,NONE,NONE,NONE,U_2940,./NG-13640/2018-03-06/NG-13640_U_2940_lib248378_5885_5_1.fastq.gz,lib248378_5885_5,U_2940,NONE,NG-13640_U_2940_lib248378_5885_5,Lymphoid,DLBC
U-2946,DLBCL_ABC,LL-100,leukemia and lymphoma panel,NG-13640,"Diffuse large B-cell lymphoma, activated B-cell",NA,NONE,NONE,NONE,NONE,NONE,NONE,U_2946,./NG-13640/2018-01-12/NG-13640_U2946_lib236385_5767_8_1.fastq.gz,lib236385_5767_8,U_2946,U2946,NG-13640_U2946_lib236385_5767_8,Lymphoid,DLBC
U-937,AML_mono,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, monocytic",NA,NONE,NONE,NONE,NONE,NONE,NONE,U_937,./NG-13640/2018-03-06/NG-13640_U_937_lib248395_5885_6_1.fastq.gz,lib248395_5885_6,U_937,NONE,NG-13640_U_937_lib248395_5885_6,Myeloid,LAML
UT-7,AML_mega,LL-100,leukemia and lymphoma panel,NG-13640,"Acute myeloid leukemia, megakaryocytic",NA,NONE,NONE,NONE,NONE,NONE,NONE,UT_7,./NG-13640/2018-05-11/NG-13640_UT_7_lib259813_5981_7_1.fastq.gz,lib259813_5981_7,UT_7,NONE,NG-13640_UT_7_lib259813_5981_7,Myeloid,LAML
VAL,BURKITT B ALL,LL-100,leukemia and lymphoma panel,NG-13640,NONE,NA,NONE,NONE,NONE,NONE,NONE,NONE,VAL,./NG-13640/2017-12-04/NG-13640_VAL_lib227478_5697_4_1.fastq.gz,lib227478_5697_4,VAL,NONE,NG-13640_VAL_lib227478_5697_4,Hematologic,DLBC;LAML
WSU-DLCL2,DLBCL_GCB,LL-100,leukemia and lymphoma panel,NG-13640,"Diffuse large B-cell lymphoma, germinal center B-cell",NA,NONE,NONE,NONE,NONE,NONE,NONE,WSU_DLCL2,./NG-13640/2018-01-15/NG-13640_WSUDLCL2_lib236391_5774_5_1.fastq.gz,lib236391_5774_5,WSUDLCL2,WSU_DLCL2,NG-13640_WSUDLCL2_lib236391_5774_5,Lymphoid,DLBC
YT,NK MAL,LL-100,leukemia and lymphoma panel,NG-13640,Natural killer malignancy,NA,NONE,NONE,NONE,NONE,NONE,NONE,YT,./NG-13640/2018-03-06/NG-13640_YT_lib248385_5885_5_1.fastq.gz,lib248385_5885_5,YT,NONE,NG-13640_YT_lib248385_5885_5,Lymphoid,DLBC
CCLF_PEDS_0051_T,Nb2,Neuroblastoma,Neuroblastoma,NG-A2798,Neuroblastoma,pleural cavity,NONE,NONE,24,No,NONE,NONE,CCLF_PEDS_0051_T,./NG-A2798/2024-09-06/NG-A2798_CCLF_PEDS_0051_T_libLAI2540_1.fastq.gz,libLAI2540,CCLF_PEDS_0051_T,NONE,NG-A2798_CCLF_PEDS_0051_T_libLAI2540,Adrenal/SNS,ACC;PCPG
CHP-126,Nb1,Neuroblastoma,Neuroblastoma,NG-A0611,Neuroblastoma,abdomen,NONE,NONE,14,Yes,NONE,NONE,CHP_126,./NG-A0611/2024-01-12/NG-A0611_CHP126_libLAB6088_1.fastq.gz,libLAB6088,CHP126,CHP_126,NG-A0611_CHP126_libLAB6088,Adrenal/SNS,ACC;PCPG
CHP-134,Nb1,Neuroblastoma,Neuroblastoma,NG-A0611,Neuroblastoma,adrenal gland,NONE,NONE,13,Yes,NONE,NONE,CHP_134,./NG-A0611/2024-01-12/NG-A0611_CHP134_libLAB6074_1.fastq.gz,libLAB6074,CHP134,CHP_134,NG-A0611_CHP134_libLAB6074,Adrenal/SNS,ACC;PCPG
GI-ME-N,Nb2,Neuroblastoma,Neuroblastoma,NG-A0611,Neuroblastoma,bone marrow,NONE,NONE,42,No,NONE,NONE,GI_ME_N,./NG-A0611/2024-01-12/NG-A0611_GIMEN_libLAB6073_1.fastq.gz,libLAB6073,GIMEN,GI_ME_N,NG-A0611_GIMEN_libLAB6073,Adrenal/SNS,ACC;PCPG
IMR-32,Nb1,Neuroblastoma,Neuroblastoma,NG-A0611,Neuroblastoma,abdomen,NONE,NONE,12,Yes,NONE,NONE,IMR_32,./NG-A0611/2024-01-12/NG-A0611_IMR32_libLAB6079_1.fastq.gz,libLAB6079,IMR32,IMR_32,NG-A0611_IMR32_libLAB6079,Adrenal/SNS,ACC;PCPG
