organ,n,mean,sd,se,ci95_low,ci95_high
Adrenal/SNS,18,0.6241142407028432,0.03215270935052983,0.007578466271759919,0.6092604468101938,0.6389680345954926
Breast,29,0.6036181126518794,0.037413586917144886,0.006947528674995743,0.5900009564488877,0.617235268854871
Uveal/Eye,11,0.5966332815638504,0.024086193711746456,0.007262260651789149,0.5823992506863437,0.6108673124413572
Hematologic-Myeloid,37,0.5003017806261878,0.03266154976766235,0.005369525705627218,0.48977751024315846,0.5108260510092172
Hematologic-Lymphoid,72,0.48089641901245933,0.05803062654689102,0.006838974924635121,0.4674920281601745,0.4943008098647442
