profile	direction	feature_method	distance_metric	clustering_algorithms	k_grid	consensus_metric	strong_support_threshold	ranking_fields
nbl	Variance_euc	Variance	euc	hierarchical;kmeans	2;3;4;5;6;7;8	p_consensus	0.7	composite_score;frac_ge_thr;median_p;max_p
nbl	Variance_corr	Variance	corr	hierarchical;kmeans	2;3;4;5;6;7;8	p_consensus	0.7	composite_score;frac_ge_thr;median_p;max_p
nbl	MAD_euc	MAD	euc	hierarchical;kmeans	2;3;4;5;6;7;8	p_consensus	0.7	composite_score;frac_ge_thr;median_p;max_p
nbl	MAD_corr	MAD	corr	hierarchical;kmeans	2;3;4;5;6;7;8	p_consensus	0.7	composite_score;frac_ge_thr;median_p;max_p
nbl	MeanAbsDev_euc	MeanAbsDev	euc	hierarchical;kmeans	2;3;4;5;6;7;8	p_consensus	0.7	composite_score;frac_ge_thr;median_p;max_p
nbl	MeanAbsDev_corr	MeanAbsDev	corr	hierarchical;kmeans	2;3;4;5;6;7;8	p_consensus	0.7	composite_score;frac_ge_thr;median_p;max_p
nbl	Entropy_euc	Entropy	euc	hierarchical;kmeans	2;3;4;5;6;7;8	p_consensus	0.7	composite_score;frac_ge_thr;median_p;max_p
nbl	Entropy_corr	Entropy	corr	hierarchical;kmeans	2;3;4;5;6;7;8	p_consensus	0.7	composite_score;frac_ge_thr;median_p;max_p
nbl	PCA_euc	PCA	euc	hierarchical;kmeans	2;3;4;5;6;7;8	p_consensus	0.7	composite_score;frac_ge_thr;median_p;max_p
nbl	PCA_corr	PCA	corr	hierarchical;kmeans	2;3;4;5;6;7;8	p_consensus	0.7	composite_score;frac_ge_thr;median_p;max_p
nbl	Spearman_euc	Spearman	euc	hierarchical;kmeans	2;3;4;5;6;7;8	p_consensus	0.7	composite_score;frac_ge_thr;median_p;max_p
nbl	Spearman_corr	Spearman	corr	hierarchical;kmeans	2;3;4;5;6;7;8	p_consensus	0.7	composite_score;frac_ge_thr;median_p;max_p
nbl	MX_euc	MX	euc	hierarchical;kmeans	2;3;4;5;6;7;8	p_consensus	0.7	composite_score;frac_ge_thr;median_p;max_p
nbl	MX_corr	MX	corr	hierarchical;kmeans	2;3;4;5;6;7;8	p_consensus	0.7	composite_score;frac_ge_thr;median_p;max_p
nbl	kTotal_euc	kTotal	euc	hierarchical;kmeans	2;3;4;5;6;7;8	p_consensus	0.7	composite_score;frac_ge_thr;median_p;max_p
nbl	kTotal_corr	kTotal	corr	hierarchical;kmeans	2;3;4;5;6;7;8	p_consensus	0.7	composite_score;frac_ge_thr;median_p;max_p
nbl	HVG_euc	HVG	euc	hierarchical;kmeans	2;3;4;5;6;7;8	p_consensus	0.7	composite_score;frac_ge_thr;median_p;max_p
nbl	HVG_corr	HVG	corr	hierarchical;kmeans	2;3;4;5;6;7;8	p_consensus	0.7	composite_score;frac_ge_thr;median_p;max_p
