file_path	file_role	sha256
supplementary_data/data_description/README.md	curated_data_description_file	29eaf2e6204d871a65ff5571bac2b5a749ceb160827f732424bcdbf85ce1e90f
supplementary_data/data_description/analysis_input_files.tsv	curated_data_description_file	840b82d11f561e575c86ee71bff081da1618ba400d9a4d28539df120ba29307e
supplementary_data/data_description/cell_line_sample_ids_by_cohort.tsv	curated_data_description_file	8fe926fea6ee0a5c36fe347ef1242645f3540d5b5c82292790527db578546c50
supplementary_data/data_description/data_availability_statement.md	curated_data_description_file	8f44a701072a68003751203e5ad58f1257b0ff99a2f221eb79a0260bb4522f4f
supplementary_data/data_description/dsmz_167_cell_line_ids.tsv	curated_data_description_file	cfc997920f5363171e2a038e3103826858086211d7db231ccc0914bd8131e8e0
supplementary_data/data_description/dsmz_167_cell_line_metadata.tsv	curated_data_description_file	940c8e2302356f1309d612b5f3010fd810d2f414270a91030f41e0bf685802fd
supplementary_data/data_description/dsmz_rbl_cell_line_subset.tsv	curated_data_description_file	bc947ab837fcb58ae6ec5f7a957567653c31615a21ad02dc660e8b6edd54a498
supplementary_data/data_description/excluded_or_not_available_sources.tsv	curated_data_description_file	1fe352baa05aebd1aa06153cd107d9f3a5fdf8e7a0881f9ffe2599384a6f31f6
supplementary_data/data_description/processing_summary.md	curated_data_description_file	a78204851833db251831e5dcce9f3ec9dbdb742905f350d2f3b95aa4d629e79b
supplementary_data/data_description/tumour_purity_passed_sample_ids.tsv	curated_data_description_file	f327697d0f01359aa1d737993bec377da60e36436fc8931bd7df004749c11f58
