sample_name	Cell_Line	DSMZ_Cell_line_norm	Disease	Project_id	organ	PATH_CELL_LINE	PATH_alt_id
NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	Neuroblastoma	NG-A2798	Adrenal/SNS	CCLF_PEDS_0051_T	NONE
NG-A0611_CHP126_libLAB6088	CHP-126	CHP_126	Neuroblastoma	NG-A0611	Adrenal/SNS	CHP126	CHP_126
NG-A0611_CHP134_libLAB6074	CHP-134	CHP_134	Neuroblastoma	NG-A0611	Adrenal/SNS	CHP134	CHP_134
NG-A0611_GIMEN_libLAB6073	GI-ME-N	GI_ME_N	Neuroblastoma	NG-A0611	Adrenal/SNS	GIMEN	GI_ME_N
NG-A0611_IMR32_libLAB6079	IMR-32	IMR_32	Neuroblastoma	NG-A0611	Adrenal/SNS	IMR32	IMR_32
NG-A0611_KELLY_libLAB6075	KELLY	KELLY	Neuroblastoma	NG-A0611	Adrenal/SNS	KELLY	NONE
NG-A0611_LAN1_libLAB6085	LAN-1	LAN1	Neuroblastoma	NG-A0611	Adrenal/SNS	LAN1	NONE
NG-A0611_LAN2_libLAB6083	LAN-2	LAN2	Neuroblastoma	NG-A0611	Adrenal/SNS	LAN2	NONE
NG-A0611_LAN5_libLAB6087	LAN-5	LAN5	Neuroblastoma	NG-A0611	Adrenal/SNS	LAN5	NONE
NG-A0611_LAN6_libLAB6089	LAN-6	LAN6	Neuroblastoma	NG-A0611	Adrenal/SNS	LAN6	NONE
NG-A0611_LS_libLAB6078	LS	LS	Neuroblastoma	NG-A0611	Adrenal/SNS	LS	NONE
NG-A0611_MHHNB11_libLAB6084	MHH-NB-11	MHH_NB_11	Neuroblastoma	NG-A0611	Adrenal/SNS	MHHNB11	MHH_NB_11
NG-A0611_NBLS_libLAB6077	NBL-S	NBL_S	Neuroblastoma	NG-A0611	Adrenal/SNS	NBLS	NBL_S
NG-A0611_NGP_libLAB6082	NGP	NGP	Neuroblastoma	NG-A0611	Adrenal/SNS	NGP	NONE
NG-A0611_NMB_libLAB6080	NMB	NMB	Neuroblastoma	NG-A0611	Adrenal/SNS	NMB	NONE
NG-A0611_SHSY5Y_libLAB6081	SH-SY5Y	SH_SY5Y	Neuroblastoma	NG-A0611	Adrenal/SNS	SHSY5Y	SH_SY5Y
NG-A0611_SIMA_libLAB6086	SIMA	SIMA	Neuroblastoma	NG-A0611	Adrenal/SNS	SIMA	NONE
NG-A0611_SKNBE2_libLAB6076	SK-N-BE-2	SK_N_BE_2	Neuroblastoma	NG-A0611	Adrenal/SNS	SKNBE2	SK_N_BE_2
NG-29643_CAL_120_lib581301_8005_3	CAL-120	CAL_120	Breast cancer	NG-29643	Breast	CAL_120	NONE
NG-29643_CAL_148_lib581302_7997_4	CAL-148	CAL_148	Breast cancer	NG-29643	Breast	CAL_148	NONE
NG-29643_CAL_51_lib581295_7997_4	CAL-51	CAL_51	Breast cancer	NG-29643	Breast	CAL_51	NONE
NG-29643_CAL_85_1_lib581300_7997_4	CAL-85-1	CAL_85_1	Breast cancer	NG-29643	Breast	CAL_85_1	NONE
NG-29643_COLO_824_lib581290_7997_4	COLO-824	COLO_824	Breast cancer	NG-29643	Breast	COLO_824	NONE
NG-29643_DU_4475_lib581298_7997_4	DU-4475	DU_4475	Breast cancer	NG-29643	Breast	DU_4475	NONE
NG-29643_EFM_19_lib581291_7997_4	EFM-19	EFM_19	Breast cancer	NG-29643	Breast	EFM_19	NONE
NG-29643_EFM_192A_lib581292_7997_4	EFM-192A	EFM_192A	Breast cancer	NG-29643	Breast	EFM_192A	NONE
NG-29643_EFM_192B_lib581293_7997_4	EFM-192B	EFM_192B	Breast cancer	NG-29643	Breast	EFM_192B	NONE
NG-29643_EFM_192C_lib581294_7997_4	EFM-192C	EFM_192C	Breast cancer	NG-29643	Breast	EFM_192C	NONE
NG-29643_ETCC_006_lib581311_8005_3	ETCC-006	ETCC_006	Breast cancer	NG-29643	Breast	ETCC_006	NONE
NG-29643_ETCC_007_lib581312_7997_4	ETCC-007	ETCC_007	Breast cancer	NG-29643	Breast	ETCC_007	NONE
NG-29643_EVSA_T_lib581299_7997_4	EVSA-T	EVSA_T	Breast cancer	NG-29643	Breast	EVSA_T	NONE
NG-29643_HCC_1143_lib581306_7997_4	HCC-1143	HCC_1143	Breast cancer	NG-29643	Breast	HCC_1143	NONE
NG-29643_HCC_1599_lib581304_7997_4	HCC-1599	HCC_1599	Breast cancer	NG-29643	Breast	HCC_1599	NONE
NG-29643_HCC_1937_lib581305_7997_4	HCC-1937	HCC_1937	Breast cancer	NG-29643	Breast	HCC_1937	NONE
NG-29643_HDQ_P1_lib581303_8005_3	HDQ-P1	HDQ_P1	Breast cancer	NG-29643	Breast	HDQ_P1	NONE
NG-30919_HS_578T_B_lib628473_10098_2	HS-578T	HS_578T	Breast cancer	NG-29643	Breast	HS_578T_B	HS_578T
NG-29643_IPH_926_lib581313_7997_4	IPH-926	IPH_926	Breast cancer	NG-29643	Breast	IPH_926	NONE
NG-29643_JIMT_1_B_lib581287_7997_4	JIMT-1	JIMT_1	Breast cancer	NG-29643	Breast	JIMT_1	NONE
NG-29643_KPL_1_lib581296_7997_4	KPL-1	KPL_1	Breast cancer	NG-29643	Breast	KPL_1	NONE
NG-29643_MCF_7_lib581315_7997_4	MCF-7	MCF_7	Breast cancer	NG-29643	Breast	MCF_7	NONE
NG-29643_MDA_MB_231_lib581314_8005_3	MDA-MB-231	MDA_MB_231	Breast cancer	NG-29643	Breast	MDA_MB_231	NONE
NG-29643_MDA_MB_453_lib581289_7997_4	MDA-MB-453	MDA_MB_453	Breast cancer	NG-29643	Breast	MDA_MB_453	NONE
NG-30919_MDA_MB_468_B_lib628474_10098_2	MDA-MB-468	MDA_MB_468	Breast cancer	NG-29643	Breast	MDA_MB_468_B	MDA_MB_468
NG-29643_MFM_223_lib581297_7997_4	MFM-223	MFM_223	Breast cancer	NG-29643	Breast	MFM_223	NONE
NG-29643_SK_BR_3_lib581307_7997_4	SK-BR-3	SK_BR_3	Breast cancer	NG-29643	Breast	SK_BR_3	NONE
NG-29643_T_47D_lib581309_8005_3	T-47D	T_47D	Breast cancer	NG-29643	Breast	T_47D	NONE
NG-29643_BT_474_lib581288_7997_4	BT-474	BT_474	Breast Cancer	NG-29643	Breast	BT_474	NONE
NG-13640_BC3_lib236396_5774_5	BC-3	BC_3	Primary effusion lymphoma	NG-13640	Hematologic-Lymphoid	BC_3	BC3
NG-13640_BCBL_1_lib241208_5808_6	BCBL-1	BCBL_1	Primary effusion lymphoma	NG-13640	Hematologic-Lymphoid	BCBL_1	NONE
NG-13640_BJAB_lib227474_5697_7	BJAB	BJAB	Burkitt lymphoma / B-acute lymphoblastic leukemia	NG-13640	Hematologic-Lymphoid	BJAB	NONE
NG-13640_DAUDI_lib227475_5697_7	DAUDI	DAUDI	Burkitt lymphoma / B-acute lymphoblastic leukemia	NG-13640	Hematologic-Lymphoid	DAUDI	NONE
NG-13640_DERL7_lib236383_5767_8	DERL-7	DERL_7	Mature T-malignancy 	NG-13640	Hematologic-Lymphoid	DERL7	DERL_7
NG-13640_HG_3_lib227479_5697_4	HG-3	HG_3	Chronic lymphocytic leukemia / prolymphocytic leukemia 	NG-13640	Hematologic-Lymphoid	HG_3	NONE
NG-13640_HH_lib241222_5808_1	HH	HH	Mature T-malignancy 	NG-13640	Hematologic-Lymphoid	HH	NONE
NG-13640_HT_1080_lib259823_5972_8	HT-1080	HT_1080	NONE	NG-13640	Hematologic-Lymphoid	HT_1080_5972_8	HT_1080
NG-13640_HT_1080_lib259823_5988_1	HT-1080	HT_1080	NONE	NG-13640	Hematologic-Lymphoid	HT_1080_5988_1	HT_1080
NG-13640_JVM_13_lib227481_5697_4	JVM-13	JVM_13	Chronic lymphocytic leukemia / prolymphocytic leukemia 	NG-13640	Hematologic-Lymphoid	JVM_13	NONE
NG-13640_JVM_3_lib227480_5697_4	JVM-3	JVM_3	Chronic lymphocytic leukemia / prolymphocytic leukemia 	NG-13640	Hematologic-Lymphoid	JVM_3	NONE
NG-13640_MEC_1_lib227482_5697_4	MEC-1	MEC_1	Chronic lymphocytic leukemia / prolymphocytic leukemia 	NG-13640	Hematologic-Lymphoid	MEC_1	NONE
NG-13640_MOTN_1_lib250968_5908_5	MOTN-1	MOTN_1	Mature T-malignancy 	NG-13640	Hematologic-Lymphoid	MOTN_1	NONE
NG-13640_NC_NC_lib259822_5972_8	NC-NC	NC_NC	DLBCL-Cell_Control	NG-13640	Hematologic-Lymphoid	NC_NC	NONE
NG-13640_PGA_1_lib227483_5697_4	PGA-1	PGA_1	Chronic lymphocytic leukemia / prolymphocytic leukemia 	NG-13640	Hematologic-Lymphoid	PGA_1	NONE
NG-13640_RAJI_lib227476_5684_6	RAJI	RAJI	Burkitt lymphoma / B-acute lymphoblastic leukemia 	NG-13640	Hematologic-Lymphoid	RAJI	NONE
NG-13640_RAMOS_lib227477_5697_7	RAMOS	RAMOS	Burkitt lymphoma / B-acute lymphoblastic leukemia 	NG-13640	Hematologic-Lymphoid	RAMOS	NONE
NG-13640_VAL_lib227478_5697_4	VAL	VAL	Burkitt lymphoma / B-acute lymphoblastic leukemia 	NG-13640	Hematologic-Lymphoid	VAL	NONE
NG-13640_BONNA12_lib236392_5774_5	BONNA-12	BONNA_12	Hairy cell leukemia	NG-13640	Hematologic-Lymphoid	BONNA12	BONNA_12
NG-13640_CCRF_CEM_lib241217_5826_6	CCRF-CEM	CCRF_CEM	T-acute lymphoblastic leukemia / T-lymphoblastic lymphoma	NG-13640	Hematologic-Lymphoid	CCRF_CEM	NONE
NG-13640_CRO_AP2_lib241209_5808_6	CRO-AP2	CRO_AP2	Primary effusion lymphoma	NG-13640	Hematologic-Lymphoid	CRO_AP2	NONE
NG-13640_CRO_AP5_lib227485_5684_6	CRO-AP5	CRO_AP5	Primary effusion lymphoma	NG-13640	Hematologic-Lymphoid	CRO_AP5	NONE
NG-13640_DND_41_lib241218_5808_7	DND-41	DND_41	T-acute lymphoblastic leukemia / T-lymphoblastic lymphoma	NG-13640	Hematologic-Lymphoid	DND_41	NONE
NG-13640_DOHH2_lib236386_5774_8	DOHH-2	DOHH_2	Diffuse large B-cell lymphoma, germinal center B-cell	NG-13640	Hematologic-Lymphoid	DOHH2	DOHH_2
NG-13640_GRANTA_519_lib241206_5808_6	GRANTA-519	GRANTA_519	Mantle cell lymphoma	NG-13640	Hematologic-Lymphoid	GRANTA_519	NONE
NG-13640_HAIRM_lib236393_5774_5	HAIR-M	HAIR_M	Hairy cell leukemia	NG-13640	Hematologic-Lymphoid	HAIRM	HAIR_M
NG-13640_HC1_lib236394_5774_5	HC-1	HC_1	Hairy cell leukemia	NG-13640	Hematologic-Lymphoid	HC1	HC_1
NG-13640_HDLM_2_lib227487_5697_4	HDLM-2	HDLM_2	Hodgkin lymphoma	NG-13640	Hematologic-Lymphoid	HDLM_2	NONE
NG-13640_HPB_ALL_lib241219_5808_7	HPB-ALL	HPB_ALL	T-acute lymphoblastic leukemia / T-lymphoblastic lymphoma	NG-13640	Hematologic-Lymphoid	HPB_ALL	NONE
