cell_line_group	cell_line_cancer_type	top_n_cutoff_used	component_id	component_label	component_dominant_lineage	component_size	component_tumour_count	component_purity	n_top50_tumours_retained	n_top50_tumours_in_component	fraction_top50_tumours_in_component	n_same_cancer_type_tumours_in_top50	fraction_top50_tumours_matching_cell_line_cancer_type
BT_474	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	49	0.98	50	1
BT_474	BRCA	50	7	Component 7	BRCA	4	4	1	50	1	0.02	50	1
CAL_120	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	49	0.98	50	1
CAL_120	BRCA	50	12	Component 12	BRCA	2	2	1	50	1	0.02	50	1
CAL_148	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	50	1
CAL_51	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	47	0.94	50	1
CAL_51	BRCA	50	18	Component 18	BRCA	1	1	1	50	1	0.02	50	1
CAL_51	BRCA	50	21	Component 21	BRCA	1	1	1	50	1	0.02	50	1
CAL_51	BRCA	50	35	Component 35	BRCA	2	2	1	50	1	0.02	50	1
CAL_85_1	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	50	1
COLO_824	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	50	1
DU_4475	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	45	0.9	50	1
DU_4475	BRCA	50	2	Component 2	BRCA	5	4	1	50	2	0.04	50	1
DU_4475	BRCA	50	11	Component 11	BRCA	1	1	1	50	1	0.02	50	1
DU_4475	BRCA	50	41	Component 41	BRCA	1	1	1	50	1	0.02	50	1
DU_4475	BRCA	50	52	Component 52	BRCA	1	1	1	50	1	0.02	50	1
EFM_19	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	50	1
EFM_192A	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	50	1
EFM_192B	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	50	1
EFM_192C	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	50	1
ETCC_006	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	49	0.98	50	1
ETCC_006	BRCA	50	12	Component 12	BRCA	2	2	1	50	1	0.02	50	1
ETCC_007	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	50	1
EVSA_T	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	49	0.98	50	1
EVSA_T	BRCA	50	16	Component 16	BRCA	2	2	1	50	1	0.02	50	1
HCC_1143	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	50	1
HCC_1599	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	50	1	50	1
HCC_1937	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	48	0.96	50	1
HCC_1937	BRCA	50	16	Component 16	BRCA	2	2	1	50	1	0.02	50	1
HCC_1937	BRCA	50	8	Component 8	BRCA	1	1	1	50	1	0.02	50	1
HDQ_P1	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	48	0.96	50	1
HDQ_P1	BRCA	50	12	Component 12	BRCA	2	2	1	50	1	0.02	50	1
HDQ_P1	BRCA	50	14	Component 14	BRCA	1	1	1	50	1	0.02	50	1
HS_578T_B	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	48	0.96	47	0.94
HS_578T_B	BRCA	50	12	Component 12	BRCA	2	2	1	50	1	0.02	47	0.94
HS_578T_B	BRCA	50	18	Component 18	BRCA	1	1	1	50	1	0.02	47	0.94
IPH_926	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	49	0.98	50	1
IPH_926	BRCA	50	8	Component 8	BRCA	1	1	1	50	1	0.02	50	1
JIMT_1_B	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	49	0.98	50	1
JIMT_1_B	BRCA	50	12	Component 12	BRCA	2	2	1	50	1	0.02	50	1
KPL_1	BRCA	50	1	Component 1	BRCA	1079	1038	0.720616570327553	50	49	0.98	50	1
KPL_1	BRCA	50	52	Component 52	BRCA	1	1	1	50	1	0.02	50	1
