"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",1,0.161741835147745,0.929245283018868,0.180064308681672,0.335347432024169,0.804075235109718,0,0,0,0,0.419106317411402,0.167692307692308,0.0977564102564103,0.151960784313725,0.152410575427683,0.156957928802589,0.181672025723473,0.0343213728549142,0.19422150882825,0.842923794712286,0,0,1,0.158908507223114,0.14873417721519,0.136858475894246,0.283891547049442,0,0
"2",0.161741835147745,1,0.278481012658228,0,0.00902255639097744,0.400316455696203,0.388178913738019,0.43217665615142,0.4170692431562,0.375594294770206,0.00313971742543171,0,0.955128205128205,0,0,0,0,0.00313479623824451,0.973983739837398,0.270866141732283,0.407590759075908,0.395275590551181,0.219135802469136,0.962843295638126,0,1,0.993670886075949,0.366987179487179,0.423014586709887
"3",0.929245283018868,0.278481012658228,1,0.0402576489533011,0.205246913580247,0.871835443037975,0,0,0,0,0.261562998405104,0.185758513931889,0.217886178861789,0.0267111853088481,0.0110935023771791,0.0343698854337152,0.0309446254071661,0.0189274447949527,0.308072487644152,0.767550702028081,0,0,1,0.292880258899676,0.033175355450237,0.249206349206349,0.419354838709677,0,0
"4",0.180064308681672,0,0.0402576489533011,1,0.852664576802508,0.0604575163398693,0,0,0,0,0.678913738019169,0.00475435816164818,0,1,1,1,1,0,0,0.221324717285945,0,0,0.0669934640522876,0,1,0,0,0,0
"5",0.335347432024169,0.00902255639097744,0.205246913580247,0.852664576802508,1,0.125574272588055,0,0,0,0,0.821917808219178,0.0508982035928144,0.0093167701863354,0.841521394611727,0.972477064220184,0.84375,0.85062893081761,0.00914634146341463,0.0078003120124805,0.298484848484848,0,0,0.225460122699387,0.00784929356357928,0.84331797235023,0.00459418070444104,0.0232558139534884,0,0
"6",0.804075235109718,0.400316455696203,0.871835443037975,0.0604575163398693,0.125574272588055,1,0.00318471337579618,0.00938967136150235,0.00807754442649435,0.00792393026941363,0.187106918238994,0.0998463901689708,0.331179321486268,0.0413907284768212,0.0286168521462639,0.0568181818181818,0.0506535947712418,0.00783699059561128,0.429032258064516,0.953343701399689,0.00996677740863787,0.00636942675159236,0.820592823712949,0.392384105960265,0.0398089171974522,0.364353312302839,0.565495207667732,0.0113085621970921,0.00643086816720257
"7",0,0.388178913738019,0,0,0,0.00318471337579618,1,1,1,1,0,0,0.427392739273927,0,0,0,0,0,0.397058823529412,0.00157977883096367,1,0.998412698412698,0,0.346026490066225,0,0.427652733118971,0.239935587761675,1,1
"8",0,0.43217665615142,0,0,0,0.00938967136150235,1,1,1,1,0,0,0.476650563607085,0,0,0,0,0,0.448717948717949,0.003125,0.998344370860927,0.996835443037975,0,0.397745571658615,0,0.467817896389325,0.293838862559242,0.998387096774194,0.998357963875205
"9",0,0.4170692431562,0,0,0,0.00807754442649435,1,1,1,1,0,0,0.465346534653465,0,0,0,0,0,0.44205298013245,0.00161030595813205,0.996627318718381,0.995098039215686,0,0.394822006472492,0,0.46742671009772,0.2752,0.996699669966997,0.99670510708402
"10",0,0.375594294770206,0,0,0,0.00792393026941363,1,1,1,1,0,0,0.437201907790143,0,0,0,0,0,0.39873417721519,0,1,0.998415213946117,0,0.359805510534846,0,0.423756019261637,0.23961661341853,1,1
