"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",1,0,0,0.515806988352745,0,0,0,0,0,0,0.00337837837837838,0,0,0,0,0.00337268128161889,0,0.00329489291598023
"2",0,1,0.0451505016722408,0,0.123397435897436,0.43448275862069,0.983221476510067,0.454545454545455,0.707692307692308,0.00859106529209622,0,0.366942148760331,0.020066889632107,0.116814159292035,0.927487352445194,0,0.021558872305141,0
"3",0,0.0451505016722408,1,0,1,0.0319327731092437,0.0617696160267112,0.0774410774410774,0.0290598290598291,0,0.0571428571428571,0.00332225913621262,0,0.794827586206897,0.0315614617940199,0,0,0
"4",0.515806988352745,0,0,1,0,0,0,0,0,0,0.0167785234899329,0,0,0,0,0.0234113712374582,0,0.0229885057471264
"5",0,0.123397435897436,1,0,1,0.014827018121911,0.182119205298013,0.0197368421052632,0.149328859060403,0,0.0635179153094463,0.0547504025764895,0.00324149108589951,0.802030456852792,0.0463258785942492,0,0,0
"6",0,0.43448275862069,0.0319327731092437,0,0.014827018121911,1,0.40695652173913,0.759358288770054,0.301953818827709,0.0642361111111111,0,0.627946127946128,0.0767946577629382,0.0233393177737881,0.672443674176776,0,0.0186757215619694,0
"7",0,0.983221476510067,0.0617696160267112,0,0.182119205298013,0.40695652173913,1,0.407216494845361,0.717241379310345,0.00683760683760684,0,0.380634390651085,0.0166666666666667,0.174067495559503,0.880672268907563,0,0.0149006622516556,0
"8",0,0.454545454545455,0.0774410774410774,0,0.0197368421052632,0.759358288770054,0.407216494845361,1,0.219130434782609,0.023728813559322,0,0.221476510067114,0.0050761421319797,0.0106007067137809,0.641025641025641,0,0.00329489291598023,0
"9",0,0.707692307692308,0.0290598290598291,0,0.149328859060403,0.301953818827709,0.717241379310345,0.219130434782609,1,0.0264084507042254,0.00514579759862779,0.81692573402418,0.0287162162162162,0.0738007380073801,0.533795493934142,0.0139130434782609,0.0615384615384615,0.0033500837520938
"10",0,0.00859106529209622,0,0,0,0.0642361111111111,0.00683760683760684,0.023728813559322,0.0264084507042254,1,0,0.0834724540901502,0.964765100671141,0.0017825311942959,0.00684931506849315,0.0335570469798658,0.941763727121464,0.00830564784053156
"11",0.00337837837837838,0,0.0571428571428571,0.0167785234899329,0.0635179153094463,0,0,0,0.00514579759862779,0,1,0.00333333333333333,0,0.0549645390070922,0,0.757071547420965,0,0.731023102310231
"12",0,0.366942148760331,0.00332225913621262,0,0.0547504025764895,0.627946127946128,0.380634390651085,0.221476510067114,0.81692573402418,0.0834724540901502,0.00333333333333333,1,0.120915032679739,0.031304347826087,0.410684474123539,0.0132890365448505,0.108943089430894,0.00326797385620915
"13",0,0.020066889632107,0,0,0.00324149108589951,0.0767946577629382,0.0166666666666667,0.0050761421319797,0.0287162162162162,0.964765100671141,0,0.120915032679739,1,0.0189982728842832,0.0114566284779051,0.00163398692810458,0.996789727126806,0.00163132137030995
"14",0,0.116814159292035,0.794827586206897,0,0.802030456852792,0.0233393177737881,0.174067495559503,0.0106007067137809,0.0738007380073801,0.0017825311942959,0.0549645390070922,0.031304347826087,0.0189982728842832,1,0.072310405643739,0,0,0
"15",0,0.927487352445194,0.0315614617940199,0,0.0463258785942492,0.672443674176776,0.880672268907563,0.641025641025641,0.533795493934142,0.00684931506849315,0,0.410684474123539,0.0114566284779051,0.072310405643739,1,0,0.00493421052631579,0
"16",0.00337268128161889,0,0,0.0234113712374582,0,0,0,0,0.0139130434782609,0.0335570469798658,0.757071547420965,0.0132890365448505,0.00163398692810458,0,0,1,0.00332778702163062,0.938511326860841
"17",0,0.021558872305141,0,0,0,0.0186757215619694,0.0149006622516556,0.00329489291598023,0.0615384615384615,0.941763727121464,0,0.108943089430894,0.996789727126806,0,0.00493421052631579,0.00332778702163062,1,0.00161812297734628
"18",0.00329489291598023,0,0,0.0229885057471264,0,0,0,0,0.0033500837520938,0.00830564784053156,0.731023102310231,0.00326797385620915,0.00163132137030995,0,0,0.938511326860841,0.00161812297734628,1
