community_leiden	n_members	members	mean_degree	mean_mean_edge_sim
1	1	CHP_134	4	0.5678571428571428
10	1	NGP	2	0.5567765567765568
11	1	KELLY	2	0.5346153846153846
12	1	NBL_S	1	0.6010989010989011
13	1	LAN2	1	0.46813186813186813
14	1	NMB	1	0.46813186813186813
15	1	LAN6	0	NA
16	1	MHH_NB_11	0	NA
17	1	SH_SY5Y	0	NA
18	1	SIMA	0	NA
2	1	SK_N_BE_2	3	0.6158730158730159
3	1	CHP_126	3	0.5863247863247864
4	1	GI_ME_N	3	0.5863247863247864
5	1	LAN1	3	0.5863247863247864
6	1	CCLF_PEDS_0051_T	3	0.5715506715506715
7	1	IMR_32	3	0.5124542124542124
8	1	LAN5	3	0.4976800976800977
9	1	LS	2	0.5789377289377289
