cell_line	degree	mean_edge_sim	max_edge_sim	is_outlier	sample_id	cell_tech_id	cell_line_display
BT_474	7	0.6253659815117683	0.7353336979718494	FALSE	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474
MDA_MB_453	7	0.5941160661020036	0.6697323789871795	FALSE	NG-29643_MDA_MB_453_lib581289_7997_4	MDA_MB_453	MDA_MB_453
EFM_192C	6	0.5974166771405867	0.6927575310395195	FALSE	NG-29643_EFM_192C_lib581294_7997_4	EFM_192C	EFM_192C
KPL_1	5	0.6343085046289292	0.8298625697653483	FALSE	NG-29643_KPL_1_lib581296_7997_4	KPL_1	KPL_1
MFM_223	5	0.6306278157643478	0.7353336979718494	FALSE	NG-29643_MFM_223_lib581297_7997_4	MFM_223	MFM_223
T_47D	5	0.5798610024569409	0.6498253807024656	FALSE	NG-29643_T_47D_lib581309_8005_3	T_47D	T_47D
ETCC_007	4	0.6425126992765953	0.7768753562167046	FALSE	NG-29643_ETCC_007_lib581312_7997_4	ETCC_007	ETCC_007
HCC_1143	4	0.6223684210526316	0.6684210526315789	FALSE	NG-29643_HCC_1143_lib581306_7997_4	HCC_1143	HCC_1143
CAL_85_1	3	0.7421052631578947	0.8526315789473684	FALSE	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1	CAL_85_1
HDQ_P1	3	0.6807017543859649	0.8526315789473684	FALSE	NG-29643_HDQ_P1_lib581303_8005_3	HDQ_P1	HDQ_P1
CAL_148	3	0.6483132518484047	0.6697323789871795	FALSE	NG-29643_CAL_148_lib581302_7997_4	CAL_148	CAL_148
EFM_192A	3	0.6319965632847218	0.7343428914687108	FALSE	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A	EFM_192A
JIMT_1	3	0.619298245614035	0.7052631578947368	FALSE	NG-29643_JIMT_1_B_lib581287_7997_4	JIMT_1	JIMT_1
SK_BR_3	3	0.5721704873761694	0.5862117456537166	FALSE	NG-29643_SK_BR_3_lib581307_7997_4	SK_BR_3	SK_BR_3
ETCC_006	2	0.7879796008730513	0.7990838455293982	FALSE	NG-29643_ETCC_006_lib581311_8005_3	ETCC_006	ETCC_006
HS_578T	2	0.7321551607829604	0.7990838455293982	FALSE	NG-30919_HS_578T_B_lib628473_10098_2	HS_578T	HS_578T
MCF_7	2	0.692807417631879	0.8298625697653483	FALSE	NG-29643_MCF_7_lib581315_7997_4	MCF_7	MCF_7
HCC_1599	2	0.6868421052631579	0.7052631578947368	FALSE	NG-29643_HCC_1599_lib581304_7997_4	HCC_1599	HCC_1599
EFM_192B	2	0.6602773185612136	0.7343428914687108	FALSE	NG-29643_EFM_192B_lib581293_7997_4	EFM_192B	EFM_192B
EFM_19	2	0.6460317699500313	0.6927575310395195	FALSE	NG-29643_EFM_19_lib581291_7997_4	EFM_19	EFM_19
EVSA_T	2	0.5742390500348905	0.5973522500247858	FALSE	NG-29643_EVSA_T_lib581299_7997_4	EVSA_T	EVSA_T
IPH_926	2	0.5723714139619813	0.5824729319556583	FALSE	NG-29643_IPH_926_lib581313_7997_4	IPH_926	IPH_926
COLO_824	1	0.7052631578947368	0.7052631578947368	FALSE	NG-29643_COLO_824_lib581290_7997_4	COLO_824	COLO_824
HCC_1937	1	0.631578947368421	0.631578947368421	FALSE	NG-29643_HCC_1937_lib581305_7997_4	HCC_1937	HCC_1937
MDA_MB_468	1	0.631578947368421	0.631578947368421	FALSE	NG-30919_MDA_MB_468_B_lib628474_10098_2	MDA_MB_468	MDA_MB_468
CAL_120	1	0.5639744824265768	0.5639744824265768	FALSE	NG-29643_CAL_120_lib581301_8005_3	CAL_120	CAL_120
MDA_MB_231	1	0.5639744824265768	0.5639744824265768	FALSE	NG-29643_MDA_MB_231_lib581314_8005_3	MDA_MB_231	MDA_MB_231
CAL_51	0	NA	NA	TRUE	NG-29643_CAL_51_lib581295_7997_4	CAL_51	CAL_51
DU_4475	0	NA	NA	TRUE	NG-29643_DU_4475_lib581298_7997_4	DU_4475	DU_4475
