community_leiden	n_members	members	mean_degree	mean_mean_edge_sim
1	1	BT_474	7	0.6253659815117683
10	1	HDQ_P1	3	0.6807017543859649
11	1	CAL_148	3	0.6483132518484047
12	1	EFM_192A	3	0.6319965632847218
13	1	JIMT_1	3	0.619298245614035
14	1	SK_BR_3	3	0.5721704873761694
15	1	ETCC_006	2	0.7879796008730513
16	1	HS_578T	2	0.7321551607829604
17	1	MCF_7	2	0.692807417631879
18	1	HCC_1599	2	0.6868421052631579
19	1	EFM_192B	2	0.6602773185612136
2	1	MDA_MB_453	7	0.5941160661020036
20	1	EFM_19	2	0.6460317699500313
21	1	EVSA_T	2	0.5742390500348905
22	1	IPH_926	2	0.5723714139619813
23	1	COLO_824	1	0.7052631578947368
24	1	HCC_1937	1	0.631578947368421
25	1	MDA_MB_468	1	0.631578947368421
26	1	CAL_120	1	0.5639744824265768
27	1	MDA_MB_231	1	0.5639744824265768
28	1	CAL_51	0	NA
29	1	DU_4475	0	NA
3	1	EFM_192C	6	0.5974166771405867
4	1	KPL_1	5	0.6343085046289292
5	1	MFM_223	5	0.6306278157643478
6	1	T_47D	5	0.5798610024569409
7	1	ETCC_007	4	0.6425126992765953
8	1	HCC_1143	4	0.6223684210526316
9	1	CAL_85_1	3	0.7421052631578947
