Sample	SAMPLE_NAME	MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
SRR7828562_FR	SRR7828562	329.0	263.0	117.0	23.0	2554709.0	342.617306	211.991169	38430661.0	FR	45.0	89.0	133.0	181.0	235.0	303.0	411.0	1129.0	8009.0	19525.0	87811.0			
SRR7828563_FR	SRR7828563	359.0	263.0	138.0	23.0	1379811.0	384.629292	255.346171	31928787.0	FR	55.0	109.0	163.0	219.0	277.0	351.0	467.0	1139.0	8047.0	18749.0	83541.0			
SRR7828564_FR	SRR7828564	379.0	263.0	170.0	21.0	1569479.0	428.713544	363.419742	37170965.0	FR	69.0	137.0	201.0	267.0	341.0	445.0	837.0	4329.0	13839.0	28503.0	110047.0			
SRR7828565_FR	SRR7828565	409.0	240.0	225.0	18.0	1526698.0	526.896931	543.324719	30236577.0	FR	105.0	201.0	285.0	365.0	451.0	593.0	2023.0	5981.0	15795.0	30881.0	123601.0			
SRR7828566_FR	SRR7828566	359.0	245.0	166.0	21.0	1201114.0	412.415707	359.917628	37605171.0	FR	67.0	133.0	195.0	259.0	333.0	437.0	923.0	4263.0	13055.0	26605.0	104137.0			
SRR7828567_FR	SRR7828567	418.0	261.0	209.0	20.0	1785960.0	501.545478	478.381929	33135354.0	FR	91.0	177.0	257.0	333.0	419.0	553.0	1697.0	5849.0	15963.0	30711.0	114409.0			
SRR7828568_FR	SRR7828568	408.0	240.0	211.0	18.0	1605821.0	497.196718	481.666714	34525535.0	FR	93.0	181.0	263.0	341.0	423.0	541.0	1521.0	5419.0	15167.0	29135.0	111635.0			
SRR7828569_FR	SRR7828569	352.0	252.0	152.0	22.0	1956676.0	386.784827	308.51177	31957373.0	FR	61.0	121.0	179.0	239.0	305.0	395.0	597.0	3475.0	12055.0	24545.0	94519.0			
SRR7828570_FR	SRR7828570	422.0	254.0	212.0	23.0	1767490.0	511.411298	486.242812	33919661.0	FR	93.0	181.0	261.0	339.0	425.0	555.0	1561.0	5533.0	15577.0	30761.0	121509.0			
SRR7828571_FR	SRR7828571	383.0	261.0	177.0	21.0	1144259.0	436.727565	379.390994	30666937.0	FR	75.0	145.0	213.0	281.0	355.0	459.0	879.0	4495.0	13641.0	27125.0	103449.0			
SRR7828572_FR	SRR7828572	373.0	261.0	157.0	21.0	1613330.0	410.138741	318.654865	29848314.0	FR	63.0	125.0	185.0	247.0	315.0	407.0	615.0	3409.0	12137.0	25351.0	105237.0			
SRR7828573_FR	SRR7828573	339.0	281.0	100.0	20.0	1795380.0	357.881124	163.662101	40564555.0	FR	39.0	77.0	115.0	157.0	201.0	253.0	317.0	417.0	675.0	3571.0	48913.0			
SRR7828574_FR	SRR7828574	396.0	279.0	174.0	23.0	1666262.0	442.942941	365.528802	33653186.0	FR	71.0	139.0	207.0	273.0	349.0	455.0	735.0	4163.0	13813.0	28817.0	140787.0			
SRR7828575_FR	SRR7828575	376.0	253.0	177.0	26.0	1785961.0	434.303438	388.114465	34995032.0	FR	75.0	145.0	213.0	281.0	355.0	463.0	1125.0	4825.0	14191.0	28497.0	109263.0			
SRR7828576_FR	SRR7828576	346.0	251.0	148.0	19.0	1820177.0	380.413674	299.943524	34496824.0	FR	59.0	117.0	175.0	233.0	297.0	383.0	583.0	3407.0	12325.0	26629.0	114111.0			
