Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR7828562_1	SRR7828562_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41097487.0	0.0	50.0	42.0	63.30038581837282	50.0	50	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	pass
SRR7828562_2	SRR7828562_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41097487.0	0.0	50.0	42.0	64.81551020660244	50.0	50	pass	pass	fail	pass	fail	warn	pass	pass	warn	warn	pass
SRR7828563_1	SRR7828563_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34010474.0	0.0	50.0	42.0	65.70750627092579	50.0	50	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	pass
SRR7828563_2	SRR7828563_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34010474.0	0.0	50.0	42.0	66.92338706272102	50.0	50	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	pass
SRR7828564_1	SRR7828564_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39646036.0	0.0	50.0	43.0	52.66939518601276	50.0	50	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	pass
SRR7828564_2	SRR7828564_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39646036.0	0.0	50.0	43.0	55.72906639172689	50.0	50	pass	pass	fail	pass	fail	warn	pass	pass	warn	warn	pass
SRR7828565_1	SRR7828565_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32047046.0	0.0	50.0	44.0	47.4740768739235	50.0	50	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass
SRR7828565_2	SRR7828565_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32047046.0	0.0	50.0	44.0	49.09082745511803	50.0	50	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
SRR7828566_1	SRR7828566_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40355699.0	0.0	50.0	43.0	52.38082863817603	50.0	50	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	pass
SRR7828566_2	SRR7828566_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40355699.0	0.0	50.0	43.0	51.74412224407876	50.0	50	pass	pass	fail	pass	fail	warn	pass	pass	warn	warn	pass
SRR7828567_1	SRR7828567_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34954611.0	0.0	50.0	43.0	54.352293033020395	50.0	50	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	pass
SRR7828567_2	SRR7828567_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34954611.0	0.0	50.0	43.0	55.87707563545443	50.0	50	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	pass
SRR7828568_1	SRR7828568_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36440832.0	0.0	50.0	43.0	51.818930483029604	50.0	50	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	pass
SRR7828568_2	SRR7828568_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36440832.0	0.0	50.0	43.0	53.408636643986064	50.0	50	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	pass
SRR7828569_1	SRR7828569_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34307581.0	0.0	50.0	41.0	58.12918552802174	50.0	50	pass	fail	warn	pass	fail	warn	pass	pass	warn	warn	pass
SRR7828569_2	SRR7828569_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34307581.0	0.0	50.0	42.0	62.750796107386776	50.0	50	pass	pass	fail	pass	fail	warn	pass	pass	warn	warn	pass
SRR7828570_1	SRR7828570_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35856632.0	0.0	50.0	43.0	55.444646217879004	50.0	50	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	pass
SRR7828570_2	SRR7828570_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35856632.0	0.0	50.0	44.0	55.57325375208554	50.0	50	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	pass
SRR7828571_1	SRR7828571_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32347607.0	0.0	50.0	42.0	57.035223974320935	50.0	50	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	pass
SRR7828571_2	SRR7828571_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32347607.0	0.0	50.0	43.0	58.35273718912074	50.0	50	pass	pass	fail	pass	fail	warn	pass	pass	warn	warn	pass
