Sample	Picard_mqc-generalstats-picard-TOTAL_READS	Picard_mqc-generalstats-picard-PCT_PF_READS_ALIGNED	Picard_mqc-generalstats-picard-summed_median	Picard_mqc-generalstats-picard-summed_mean	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR7828562	76861322	1.0	295	342.617306	87.97	36151416.0						
SRR7828562._STARpass1					87.99	36160608.0						
SRR7828562_1							36.69961418162718	42.0	50.0	50	9.090909090909092	41097487.0
SRR7828562_2							35.18448979339756	42.0	50.0	50	18.181818181818183	41097487.0
SRR7828563	63857574	1.0	319	384.629292	89.11	30307696.0						
SRR7828563._STARpass1					89.12	30309039.0						
SRR7828563_1							34.29249372907421	42.0	50.0	50	9.090909090909092	34010474.0
SRR7828563_2							33.07661293727898	42.0	50.0	50	9.090909090909092	34010474.0
SRR7828564	74341930	1.0	316	428.713544	88.49	35082558.0						
SRR7828564._STARpass1					88.51	35091004.0						
SRR7828564_1							47.33060481398724	43.0	50.0	50	9.090909090909092	39646036.0
SRR7828564_2							44.27093360827311	43.0	50.0	50	18.181818181818183	39646036.0
SRR7828565	60473154	1.0	319	526.896931	88.8	28456256.0						
SRR7828565._STARpass1					88.83	28467392.0						
SRR7828565_1							52.5259231260765	44.0	50.0	50	18.181818181818183	32047046.0
SRR7828565_2							50.90917254488197	44.0	50.0	50	27.27272727272727	32047046.0
SRR7828566	75210342	1.0	299	412.415707	87.8	35433142.0						
SRR7828566._STARpass1					87.83	35444095.0						
SRR7828566_1							47.61917136182397	43.0	50.0	50	9.090909090909092	40355699.0
SRR7828566_2							48.25587775592124	43.0	50.0	50	18.181818181818183	40355699.0
SRR7828567	66270708	1.0	336	501.545478	89.76	31375408.0						
SRR7828567._STARpass1					89.78	31383532.0						
SRR7828567_1							45.647706966979605	43.0	50.0	50	18.181818181818183	34954611.0
SRR7828567_2							44.12292436454557	43.0	50.0	50	9.090909090909092	34954611.0
SRR7828568	69051070	1.0	326	497.196718	89.54	32627655.0						
SRR7828568._STARpass1					89.62	32656838.0						
SRR7828568_1							48.181069516970396	43.0	50.0	50	9.090909090909092	36440832.0
SRR7828568_2							46.591363356013936	43.0	50.0	50	9.090909090909092	36440832.0
SRR7828569	63914746	1.0	298	386.784827	88.27	30281841.0						
SRR7828569._STARpass1					88.27	30284113.0						
SRR7828569_1							41.87081447197826	41.0	50.0	50	18.181818181818183	34307581.0
SRR7828569_2							37.249203892613224	42.0	50.0	50	18.181818181818183	34307581.0
SRR7828570	67839322	1.0	340	511.411298	88.97	31902374.0						
SRR7828570._STARpass1					89.04	31928024.0						
SRR7828570_1							44.555353782120996	43.0	50.0	50	18.181818181818183	35856632.0
SRR7828570_2							44.42674624791446	44.0	50.0	50	9.090909090909092	35856632.0
SRR7828571	61333874	1.0	317	436.727565	89.78	29042809.0						
SRR7828571._STARpass1					89.8	29049578.0						
SRR7828571_1							42.964776025679065	42.0	50.0	50	9.090909090909092	32347607.0
SRR7828571_2							41.64726281087926	43.0	50.0	50	18.181818181818183	32347607.0
SRR7828572	59696628	1.0	318	410.13874100000004	88.42	28196644.0						
SRR7828572._STARpass1					88.45	28207395.0						
SRR7828572_1							38.96129601985323	43.0	50.0	50	9.090909090909092	31890916.0
SRR7828572_2							36.761817262520104	43.0	50.0	50	18.181818181818183	31890916.0
SRR7828573	81129110	1.0	328	357.881124	90.07	38954679.0						
SRR7828573._STARpass1					90.08	38959137.0						
SRR7828573_1							18.81856796137521	40.0	50.0	50	9.090909090909092	43247592.0
SRR7828573_2							17.80641150422511	40.0	50.0	50	9.090909090909092	43247592.0
SRR7828574	67306372	1.0	333	442.942941	88.73	31868876.0						
SRR7828574._STARpass1					88.78	31886551.0						
SRR7828574_1							44.97487372247618	43.0	50.0	50	9.090909090909092	35915255.0
SRR7828574_2							42.91951483130023	43.0	50.0	50	9.090909090909092	35915255.0
SRR7828575	69990064	1.0	309	434.303438	88.28	33181091.0						
SRR7828575._STARpass1					88.3	33190784.0						
SRR7828575_1							48.36338341344659	43.0	50.0	50	9.090909090909092	37586621.0
SRR7828575_2							43.3120751666604	43.0	50.0	50	18.181818181818183	37586621.0
SRR7828576	68993648	1.0	294	380.413674	87.45	32804726.0						
SRR7828576._STARpass1					87.47	32812281.0						
SRR7828576_1							48.274405145750244	43.0	50.0	50	9.090909090909092	37514010.0
SRR7828576_2							45.29783967151025	43.0	50.0	50	18.181818181818183	37514010.0
