Sample	CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	SD_READ_LENGTH	MEDIAN_READ_LENGTH	MAD_READ_LENGTH	MIN_READ_LENGTH	MAX_READ_LENGTH	MEAN_ALIGNED_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	PF_READS_IMPROPER_PAIRS	PCT_PF_READS_IMPROPER_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	PCT_SOFTCLIP	PCT_HARDCLIP	AVG_POS_3PRIME_SOFTCLIP_LENGTH	SAMPLE	LIBRARY	READ_GROUP
SRR7828562	PAIR	76861322.0	76861322.0	1.0	0.0	76861322.0	1.0	3811606768.0	72302832.0	3588214332.0	3460604977.0	0.0	0.003731	0.003352	0.000127	50.0	0.0	50.0	0.0	50.0	50.0	49.593743	76861322.0	1.0	0.0	0.0	0.0	0.5	0.003658	0.0	0.008125	0.0	4.696916			
SRR7828563	PAIR	63857574.0	63857574.0	1.0	0.0	63857574.0	1.0	3165500930.0	60615392.0	3006622879.0	2910425466.0	0.0	0.003346	0.003009	0.000121	50.0	0.0	50.0	0.0	50.0	50.0	49.574165	63857574.0	1.0	0.0	0.0	0.0	0.5	0.003522	0.0	0.008517	0.0	4.329888			
SRR7828564	PAIR	74341930.0	74341930.0	1.0	0.0	74341930.0	1.0	3685427404.0	70165116.0	3480019776.0	3345234881.0	0.0	0.00293	0.002833	0.000107	50.0	0.0	50.0	0.0	50.0	50.0	49.576328	74341930.0	1.0	0.0	0.0	0.0	0.5	0.004483	0.0	0.008473	0.0	4.40682			
SRR7828565	PAIR	60473154.0	60473154.0	1.0	0.0	60473154.0	1.0	2994605128.0	56912512.0	2819863913.0	2738901090.0	0.0	0.0027	0.002641	0.000107	50.0	0.0	50.0	0.0	50.0	50.0	49.521812	60473154.0	1.0	0.0	0.0	0.0	0.5	0.005119	0.0	0.009564	0.0	4.342784			
SRR7828566	PAIR	75210342.0	75210342.0	1.0	0.0	75210342.0	1.0	3727963427.0	70866284.0	3514320522.0	3351805562.0	0.0	0.003444	0.003297	0.00011	50.0	0.0	50.0	0.0	50.0	50.0	49.569527	75210342.0	1.0	0.0	0.0	0.0	0.5	0.00396	0.0	0.008609	0.0	3.843034			
SRR7828567	PAIR	66270708.0	66270708.0	1.0	0.0	66270708.0	1.0	3289464372.0	62750816.0	3115779340.0	3001578497.0	0.0	0.002718	0.002684	0.000101	50.0	0.0	50.0	0.0	50.0	50.0	49.638896	66270708.0	1.0	0.0	0.0	0.0	0.5	0.004541	0.0	0.007222	0.0	4.089195			
SRR7828568	PAIR	69051070.0	69051070.0	1.0	0.0	69051070.0	1.0	3425592907.0	65255310.0	3238678044.0	3151253310.0	0.0	0.002534	0.002509	0.000101	50.0	0.0	50.0	0.0	50.0	50.0	49.611644	69051070.0	1.0	0.0	0.0	0.0	0.5	0.004597	0.0	0.007767	0.0	4.013477			
SRR7828569	PAIR	63914746.0	63914746.0	1.0	0.0	63914746.0	1.0	3169842539.0	60563682.0	3004956637.0	2844270489.0	0.0	0.003637	0.003522	0.00011	50.0	0.0	50.0	0.0	50.0	50.0	49.597254	63914746.0	1.0	0.0	0.0	0.0	0.5	0.003684	0.0	0.008055	0.0	4.352272			
SRR7828570	PAIR	67839322.0	67839322.0	1.0	0.0	67839322.0	1.0	3364709940.0	63804748.0	3165970692.0	3051958863.0	0.0	0.002794	0.002745	0.000104	50.0	0.0	50.0	0.0	50.0	50.0	49.60052	67839322.0	1.0	0.0	0.0	0.0	0.5	0.005149	0.0	0.00799	0.0	4.196635			
SRR7828571	PAIR	61333874.0	61333874.0	1.0	0.0	61333874.0	1.0	3043893421.0	58085618.0	2883748563.0	2801920192.0	0.0	0.002583	0.002539	0.000109	50.0	0.0	50.0	0.0	50.0	50.0	49.630561	61333874.0	1.0	0.0	0.0	0.0	0.5	0.004132	0.0	0.007389	0.0	4.467334			
SRR7828572	PAIR	59696628.0	59696628.0	1.0	0.0	59696628.0	1.0	2959689694.0	56393288.0	2797577984.0	2690366140.0	0.0	0.003369	0.003094	0.000116	50.0	0.0	50.0	0.0	50.0	50.0	49.581431	59696628.0	1.0	0.0	0.0	0.0	0.5	0.004761	0.0	0.008371	0.0	4.5059			
SRR7828573	PAIR	81129110.0	81129110.0	1.0	0.0	81129110.0	1.0	4028882854.0	77909358.0	3870901944.0	3749746775.0	0.0	0.003547	0.003146	0.00014	50.0	0.0	50.0	0.0	50.0	50.0	49.663593	81129110.0	1.0	0.0	0.0	0.0	0.5	0.002823	0.0	0.006728	0.0	5.121396			
SRR7828574	PAIR	67306372.0	67306372.0	1.0	0.0	67306372.0	1.0	3336605840.0	63737752.0	3160911392.0	3069984306.0	0.0	0.002972	0.002913	0.000114	50.0	0.0	50.0	0.0	50.0	50.0	49.575794	67306372.0	1.0	0.0	0.0	0.0	0.5	0.006881	0.0	0.008484	0.0	4.249137			
SRR7828575	PAIR	69990064.0	69990064.0	1.0	0.0	69990064.0	1.0	3470123336.0	66362182.0	3291592780.0	3127766753.0	0.0	0.003483	0.003453	0.000107	50.0	0.0	50.0	0.0	50.0	50.0	49.582413	69990064.0	1.0	0.0	0.0	0.0	0.5	0.004126	0.0	0.008352	0.0	3.681973			
SRR7828576	PAIR	68993648.0	68993648.0	1.0	0.0	68993648.0	1.0	3418906199.0	65609452.0	3252696031.0	3114258035.0	0.0	0.003179	0.00314	0.000114	50.0	0.0	50.0	0.0	50.0	50.0	49.556254	68993648.0	1.0	0.0	0.0	0.0	0.5	0.004758	0.0	0.008875	0.0	4.361929			
