community_leiden	n_members	members	mean_degree	mean_mean_edge_sim
1	1	EFM_192C	6	0.5561918250267451
10	1	CAL_51	4	0.5639666100744055
11	1	EVSA_T	4	0.5625285250946643
12	1	KPL_1	4	0.500389290794001
13	1	HCC_1599	3	0.5836734693877551
14	1	EFM_192B	3	0.5263534121073301
15	1	MDA_MB_231	3	0.5027526119985944
16	1	EFM_19	3	0.5011451563581026
17	1	HDQ_P1	2	0.7428571428571429
18	1	COLO_824	2	0.5775510204081633
19	1	EFM_192A	2	0.5645314358928959
2	1	HS_578T	5	0.6381487384222128
20	1	T_47D	2	0.4888853120305807
21	1	MFM_223	2	0.47764562939946636
22	1	HCC_1937	1	0.5591836734693878
23	1	MDA_MB_468	1	0.5591836734693878
24	1	MCF_7	1	0.5273141035231748
25	1	JIMT_1	1	0.5224489795918368
26	1	IPH_926	1	0.48966371525619123
27	1	SK_BR_3	1	0.4752500689539088
28	1	CAL_148	0	NA
29	1	DU_4475	0	NA
3	1	ETCC_007	5	0.6123149200733272
4	1	CAL_120	5	0.5681248756500447
5	1	MDA_MB_453	5	0.5320752893941877
6	1	ETCC_006	4	0.6832627067917543
7	1	CAL_85_1	4	0.6418367346938776
8	1	HCC_1143	4	0.6234693877551021
9	1	BT_474	4	0.5807465157564087
