background_name	background_type	cohort	contrast	gene_count	background_path	sha256	strategy
ranked_marker_source_panel__nbl__isolate_sh_sy5y_vs_rest__eligible_deseq2_background	per_contrast_eligible_deseq2_background	NBL	isolate_SH_SY5Y_vs_rest	16942	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/backgrounds/ranked_marker_source_panel__nbl__isolate_sh_sy5y_vs_rest__eligible_deseq2_background.tsv	7b1e7cf1df36e9753e5de4b53fd686074f49e2b7b11decbc1bafa918042585b4	DESeq2-tested genes with non-missing adjusted p-value and normalised_count_in_test_sample >= 1.0
ranked_marker_source_panel__nbl__isolate_sima_vs_rest__eligible_deseq2_background	per_contrast_eligible_deseq2_background	NBL	isolate_SIMA_vs_rest	18060	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/backgrounds/ranked_marker_source_panel__nbl__isolate_sima_vs_rest__eligible_deseq2_background.tsv	c932a085866147b4a16c85957170f858a03e0f0d735ffb62e509b34118ec11ce	DESeq2-tested genes with non-missing adjusted p-value and normalised_count_in_test_sample >= 1.0
ranked_marker_source_panel__nbl__anchor_chp_134_vs_outside_component_0__eligible_deseq2_background	per_contrast_eligible_deseq2_background	NBL	anchor_CHP_134_vs_outside_component_0	17979	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/backgrounds/ranked_marker_source_panel__nbl__anchor_chp_134_vs_outside_component_0__eligible_deseq2_background.tsv	f76e54331bc404be3dea75e67fddd1ced5dcbfa90364e6862a8c024130fd61c8	DESeq2-tested genes with non-missing adjusted p-value and normalised_count_in_test_sample >= 1.0
ranked_marker_source_panel__nbl__anchor_lan1_vs_outside_component_1__eligible_deseq2_background	per_contrast_eligible_deseq2_background	NBL	anchor_LAN1_vs_outside_component_1	18863	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/backgrounds/ranked_marker_source_panel__nbl__anchor_lan1_vs_outside_component_1__eligible_deseq2_background.tsv	aacb944c8e5847f83dd9929953c8cd560bcad1839e72fd738b04db51ecbce32a	DESeq2-tested genes with non-missing adjusted p-value and normalised_count_in_test_sample >= 1.0
ranked_marker_source_panel__nbl__anchor_lan5_vs_outside_component_1__eligible_deseq2_background	per_contrast_eligible_deseq2_background	NBL	anchor_LAN5_vs_outside_component_1	22598	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/backgrounds/ranked_marker_source_panel__nbl__anchor_lan5_vs_outside_component_1__eligible_deseq2_background.tsv	548a8a99be454eacbe0a6699030a47694542198e63536d4a6e771bc3ef24417f	DESeq2-tested genes with non-missing adjusted p-value and normalised_count_in_test_sample >= 1.0
ranked_marker_source_panel__rbl__isolate_rbl_14_vs_rest__eligible_deseq2_background	per_contrast_eligible_deseq2_background	RBL	isolate_RBL_14_vs_rest	22336	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/backgrounds/ranked_marker_source_panel__rbl__isolate_rbl_14_vs_rest__eligible_deseq2_background.tsv	6025494b6a0ea4bd0bdfedf9bc607f4e95cce3e16fbfc5452195e1e5923ca3e4	DESeq2-tested genes with non-missing adjusted p-value and normalised_count_in_test_sample >= 1.0
ranked_marker_source_panel__rbl__isolate_rbl_7_vs_rest__eligible_deseq2_background	per_contrast_eligible_deseq2_background	RBL	isolate_RBL_7_vs_rest	18255	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/backgrounds/ranked_marker_source_panel__rbl__isolate_rbl_7_vs_rest__eligible_deseq2_background.tsv	6bdc944275a1ac6e289e766333861cb282d1f5b5a686d9be6a5e1765fee34f83	DESeq2-tested genes with non-missing adjusted p-value and normalised_count_in_test_sample >= 1.0
ranked_marker_source_panel__rbl__isolate_weri_rb1_vs_rest__eligible_deseq2_background	per_contrast_eligible_deseq2_background	RBL	isolate_WERI_RB1_vs_rest	19945	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/backgrounds/ranked_marker_source_panel__rbl__isolate_weri_rb1_vs_rest__eligible_deseq2_background.tsv	31ceef1f8c542d6594a25bff06da6b8851c727b5c829a1786f0ab1b68afb1111	DESeq2-tested genes with non-missing adjusted p-value and normalised_count_in_test_sample >= 1.0
ranked_marker_source_panel__rbl__isolate_y_79_vs_rest__eligible_deseq2_background	per_contrast_eligible_deseq2_background	RBL	isolate_Y_79_vs_rest	17829	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/backgrounds/ranked_marker_source_panel__rbl__isolate_y_79_vs_rest__eligible_deseq2_background.tsv	dcd4c748ccdb44b54b5741b04f9547ee66e6b8bef4277d4b890ae7d9e9471085	DESeq2-tested genes with non-missing adjusted p-value and normalised_count_in_test_sample >= 1.0
ranked_marker_source_panel__rbl__anchor_rbl_18_vs_outside_component_0__eligible_deseq2_background	per_contrast_eligible_deseq2_background	RBL	anchor_RBL_18_vs_outside_component_0	18432	results/unsupervised/pan_cancer/enrichment/ranked_marker_source_panel/backgrounds/ranked_marker_source_panel__rbl__anchor_rbl_18_vs_outside_component_0__eligible_deseq2_background.tsv	2203274a471e4a720dd307b427dffd1d517d7b08fc37e01ec3da1964e465b28e	DESeq2-tested genes with non-missing adjusted p-value and normalised_count_in_test_sample >= 1.0
