query_name	query_type	submitted_genes	recognised_genes	background_name	background_size	source_databases	correction_method	significant_terms	status	skipped_reason
ranked_marker_source_panel__contrast_nbl_isolate_sima_vs_rest_down	per_contrast	30	NOT_AVAILABLE	ranked_marker_source_panel__nbl__isolate_sima_vs_rest__eligible_deseq2_background	18060	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_nbl_anchor_chp_134_vs_outside_component_0_all	per_contrast	131	NOT_AVAILABLE	ranked_marker_source_panel__nbl__anchor_chp_134_vs_outside_component_0__eligible_deseq2_background	17979	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_nbl_anchor_chp_134_vs_outside_component_0_up	per_contrast	27	NOT_AVAILABLE	ranked_marker_source_panel__nbl__anchor_chp_134_vs_outside_component_0__eligible_deseq2_background	17979	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_nbl_anchor_chp_134_vs_outside_component_0_down	per_contrast	104	NOT_AVAILABLE	ranked_marker_source_panel__nbl__anchor_chp_134_vs_outside_component_0__eligible_deseq2_background	17979	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_nbl_anchor_lan1_vs_outside_component_1_all	per_contrast	106	NOT_AVAILABLE	ranked_marker_source_panel__nbl__anchor_lan1_vs_outside_component_1__eligible_deseq2_background	18863	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_nbl_anchor_lan1_vs_outside_component_1_up	per_contrast	23	NOT_AVAILABLE	ranked_marker_source_panel__nbl__anchor_lan1_vs_outside_component_1__eligible_deseq2_background	18863	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_nbl_anchor_lan1_vs_outside_component_1_down	per_contrast	83	NOT_AVAILABLE	ranked_marker_source_panel__nbl__anchor_lan1_vs_outside_component_1__eligible_deseq2_background	18863	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_nbl_anchor_lan5_vs_outside_component_1_all	per_contrast	46	NOT_AVAILABLE	ranked_marker_source_panel__nbl__anchor_lan5_vs_outside_component_1__eligible_deseq2_background	22598	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_nbl_anchor_lan5_vs_outside_component_1_up	per_contrast	9	NOT_AVAILABLE	ranked_marker_source_panel__nbl__anchor_lan5_vs_outside_component_1__eligible_deseq2_background	22598	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_nbl_anchor_lan5_vs_outside_component_1_down	per_contrast	37	NOT_AVAILABLE	ranked_marker_source_panel__nbl__anchor_lan5_vs_outside_component_1__eligible_deseq2_background	22598	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_rbl_isolate_rbl_14_vs_rest_all	per_contrast	23	NOT_AVAILABLE	ranked_marker_source_panel__rbl__isolate_rbl_14_vs_rest__eligible_deseq2_background	22336	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_rbl_isolate_rbl_14_vs_rest_up	per_contrast	10	NOT_AVAILABLE	ranked_marker_source_panel__rbl__isolate_rbl_14_vs_rest__eligible_deseq2_background	22336	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_rbl_isolate_rbl_14_vs_rest_down	per_contrast	13	NOT_AVAILABLE	ranked_marker_source_panel__rbl__isolate_rbl_14_vs_rest__eligible_deseq2_background	22336	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_rbl_isolate_rbl_7_vs_rest_all	per_contrast	21	NOT_AVAILABLE	ranked_marker_source_panel__rbl__isolate_rbl_7_vs_rest__eligible_deseq2_background	18255	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_rbl_isolate_rbl_7_vs_rest_up	per_contrast	4	NOT_AVAILABLE	ranked_marker_source_panel__rbl__isolate_rbl_7_vs_rest__eligible_deseq2_background	18255	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_rbl_isolate_rbl_7_vs_rest_down	per_contrast	17	NOT_AVAILABLE	ranked_marker_source_panel__rbl__isolate_rbl_7_vs_rest__eligible_deseq2_background	18255	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_rbl_isolate_weri_rb1_vs_rest_all	per_contrast	50	NOT_AVAILABLE	ranked_marker_source_panel__rbl__isolate_weri_rb1_vs_rest__eligible_deseq2_background	19945	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_rbl_isolate_weri_rb1_vs_rest_up	per_contrast	40	NOT_AVAILABLE	ranked_marker_source_panel__rbl__isolate_weri_rb1_vs_rest__eligible_deseq2_background	19945	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_rbl_isolate_weri_rb1_vs_rest_down	per_contrast	10	NOT_AVAILABLE	ranked_marker_source_panel__rbl__isolate_weri_rb1_vs_rest__eligible_deseq2_background	19945	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_rbl_isolate_y_79_vs_rest_all	per_contrast	50	NOT_AVAILABLE	ranked_marker_source_panel__rbl__isolate_y_79_vs_rest__eligible_deseq2_background	17829	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_rbl_isolate_y_79_vs_rest_up	per_contrast	23	NOT_AVAILABLE	ranked_marker_source_panel__rbl__isolate_y_79_vs_rest__eligible_deseq2_background	17829	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_rbl_isolate_y_79_vs_rest_down	per_contrast	27	NOT_AVAILABLE	ranked_marker_source_panel__rbl__isolate_y_79_vs_rest__eligible_deseq2_background	17829	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_rbl_anchor_rbl_18_vs_outside_component_0_all	per_contrast	101	NOT_AVAILABLE	ranked_marker_source_panel__rbl__anchor_rbl_18_vs_outside_component_0__eligible_deseq2_background	18432	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_rbl_anchor_rbl_18_vs_outside_component_0_up	per_contrast	20	NOT_AVAILABLE	ranked_marker_source_panel__rbl__anchor_rbl_18_vs_outside_component_0__eligible_deseq2_background	18432	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_rbl_anchor_rbl_18_vs_outside_component_0_down	per_contrast	81	NOT_AVAILABLE	ranked_marker_source_panel__rbl__anchor_rbl_18_vs_outside_component_0__eligible_deseq2_background	18432	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
