query_name	query_type	submitted_genes	recognised_genes	background_name	background_size	source_databases	correction_method	significant_terms	status	skipped_reason
ranked_marker_source_panel__cohort_brca_evidence_anchor_source_recurrent	cohort_evidence_class	18	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__cohort_nbl_evidence_anchor_source_recurrent	cohort_evidence_class	2	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	SKIPPED_QUERY_SIZE	query_size_below_3
ranked_marker_source_panel__cohort_rbl_evidence_anchor_source_recurrent	cohort_evidence_class	0	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	SKIPPED_QUERY_SIZE	query_size_below_3
ranked_marker_source_panel__evidence_isolate_source_recurrent	evidence_class	4	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__cohort_brca_evidence_isolate_source_recurrent	cohort_evidence_class	2	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	SKIPPED_QUERY_SIZE	query_size_below_3
ranked_marker_source_panel__cohort_nbl_evidence_isolate_source_recurrent	cohort_evidence_class	2	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	SKIPPED_QUERY_SIZE	query_size_below_3
ranked_marker_source_panel__cohort_rbl_evidence_isolate_source_recurrent	cohort_evidence_class	0	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	SKIPPED_QUERY_SIZE	query_size_below_3
ranked_marker_source_panel__evidence_anchor_singleton_ranked	evidence_class	24	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__cohort_brca_evidence_anchor_singleton_ranked	cohort_evidence_class	0	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	SKIPPED_QUERY_SIZE	query_size_below_3
ranked_marker_source_panel__cohort_nbl_evidence_anchor_singleton_ranked	cohort_evidence_class	0	NOT_AVAILABLE	ranked_marker_source_panel__eligible_marker_selection_universe	1346	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	SKIPPED_QUERY_SIZE	query_size_below_3
