"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,1,0,0,0.0385259631490787,0.200680272108844,0.482352941176471,0,0.336134453781513,0,0,0.0590219224283305,0,0.0101867572156197,1,0,0.0016750418760469,0
"3",0,0,1,0,1,0,0.0156794425087108,0,0.0170648464163823,0,0,0,0,0.843478260869565,0,0,0,0
"4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0.0385259631490787,1,0,1,0.010221465076661,0.276223776223776,0,0.27891156462585,0,0,0.0121739130434783,0,0.772173913043478,0,0,0,0
"6",0,0.200680272108844,0,0,0.010221465076661,1,0.400352733686067,0,0.532312925170068,0.107794361525705,0,0.965870307167236,0.160804020100503,0.024866785079929,0.295681063122924,0.00175746924428822,0.153061224489796,0
"7",0,0.482352941176471,0.0156794425087108,0,0.276223776223776,0.400352733686067,1,0,1,0,0,0.481675392670157,0.00173010380622837,0.151675485008818,0.327181208053691,0,0.0121739130434783,0
"8",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00803858520900321,0,0,0
"9",0,0.336134453781513,0.0170648464163823,0,0.27891156462585,0.532312925170068,1,0,1,0.0133111480865225,0,0.685908319185059,0.0133333333333333,0.150684931506849,0.165289256198347,0.00171821305841924,0.0541455160744501,0
"10",0,0,0,0,0,0.107794361525705,0,0,0.0133111480865225,1,0,0.116472545757072,0.565573770491803,0,0,0.139219015280136,0.396039603960396,0
"11",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.984822934232715,0,0
"12",0,0.0590219224283305,0,0,0.0121739130434783,0.965870307167236,0.481675392670157,0,0.685908319185059,0.116472545757072,0,1,0.2,0.0190972222222222,0.0439189189189189,0.00173310225303293,0.240204429301533,0
"13",0,0,0,0,0,0.160804020100503,0.00173010380622837,0,0.0133333333333333,0.565573770491803,0,0.2,1,0,0,0,1,0
"14",0,0.0101867572156197,0.843478260869565,0,0.772173913043478,0.024866785079929,0.151675485008818,0,0.150684931506849,0,0,0.0190972222222222,0,1,0.00335570469798658,0,0,0
"15",0,1,0,0,0,0.295681063122924,0.327181208053691,0.00803858520900321,0.165289256198347,0,0,0.0439189189189189,0,0.00335570469798658,1,0,0,0
"16",0,0,0,0,0,0.00175746924428822,0,0,0.00171821305841924,0.139219015280136,0.984822934232715,0.00173310225303293,0,0,0,1,0,0.00526315789473684
"17",0,0.0016750418760469,0,0,0,0.153061224489796,0.0121739130434783,0,0.0541455160744501,0.396039603960396,0,0.240204429301533,1,0,0,0,1,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00526315789473684,0,1
