Sample	CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	SD_READ_LENGTH	MEDIAN_READ_LENGTH	MAD_READ_LENGTH	MIN_READ_LENGTH	MAX_READ_LENGTH	MEAN_ALIGNED_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	PF_READS_IMPROPER_PAIRS	PCT_PF_READS_IMPROPER_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	PCT_SOFTCLIP	PCT_HARDCLIP	AVG_POS_3PRIME_SOFTCLIP_LENGTH	SAMPLE	LIBRARY	READ_GROUP
SRR22373268	PAIR	39939954.0	39939954.0	1.0	0.0	39939954.0	1.0	3980234155.0	31914390.0	3188093363.0	3143276495.0	0.0	0.003842	0.004037	0.000244	101.0	0.0	101.0	0.0	101.0	101.0	99.663626	39939954.0	1.0	0.0	0.0	0.0	0.5	0.009579	0.0	0.013231	0.0	10.362479			
SRR22373269	PAIR	57382298.0	57382298.0	1.0	0.0	57382298.0	1.0	5741467561.0	52567532.0	5264303968.0	5199356465.0	0.0	0.002556	0.002545	0.000294	101.0	0.0	101.0	0.0	101.0	101.0	100.064317	57382298.0	1.0	0.0	0.0	0.0	0.5	0.00305	0.0	0.009264	0.0	10.164298			
SRR22373270	PAIR	43169170.0	43169170.0	1.0	0.0	43169170.0	1.0	4289103148.0	38997652.0	3877820846.0	3829578110.0	0.0	0.002471	0.002444	0.000214	101.0	0.0	101.0	0.0	101.0	101.0	99.365717	43169170.0	1.0	0.0	0.0	0.0	0.5	0.003952	0.0	0.016181	0.0	11.454438			
SRR22373271	PAIR	67842356.0	67842356.0	1.0	0.0	67842356.0	1.0	6780017831.0	59199932.0	5920920054.0	5847663046.0	0.0	0.003136	0.003225	0.00026	101.0	0.0	101.0	0.0	101.0	101.0	99.946045	67842356.0	1.0	0.0	0.0	0.0	0.5	0.002851	0.0	0.010435	0.0	10.210054			
SRR22373272	PAIR	56615630.0	56615630.0	1.0	0.0	56615630.0	1.0	5686486282.0	51849264.0	5208435096.0	5139992087.0	0.0	0.001968	0.001981	0.000239	101.0	0.0	101.0	0.0	101.0	101.0	100.448002	56615630.0	1.0	0.0	0.0	0.0	0.5	0.002031	0.0	0.005465	0.0	9.388329			
SRR22373273	PAIR	62397892.0	62397892.0	1.0	0.0	62397892.0	1.0	6249378184.0	54551910.0	5467319526.0	5402253583.0	0.0	0.002063	0.002101	0.000282	101.0	0.0	101.0	0.0	101.0	101.0	100.162736	62397892.0	1.0	0.0	0.0	0.0	0.5	0.002086	0.0	0.00829	0.0	10.055553			
SRR22373274	PAIR	67772498.0	67772498.0	1.0	0.0	67772498.0	1.0	6787989287.0	60627824.0	6074156092.0	5995275313.0	0.0	0.002253	0.002312	0.000201	101.0	0.0	101.0	0.0	101.0	101.0	100.167318	67772498.0	1.0	0.0	0.0	0.0	0.5	0.002474	0.0	0.008244	0.0	10.131842			
SRR22373275	PAIR	68917610.0	68917610.0	1.0	0.0	68917610.0	1.0	6910610297.0	60070988.0	6024416105.0	5948110612.0	0.0	0.003057	0.003242	0.00025	101.0	0.0	101.0	0.0	101.0	101.0	100.28012	68917610.0	1.0	0.0	0.0	0.0	0.5	0.002283	0.0	0.007128	0.0	9.122453			
SRR22373276	PAIR	53446508.0	53446508.0	1.0	0.0	53446508.0	1.0	5355781711.0	49436660.0	4955893090.0	4887618352.0	0.0	0.002647	0.002585	0.000204	101.0	0.0	101.0	0.0	101.0	101.0	100.218021	53446508.0	1.0	0.0	0.0	0.0	0.5	0.002783	0.0	0.007742	0.0	10.031525			
SRR22373277	PAIR	56067656.0	56067656.0	1.0	0.0	56067656.0	1.0	5618871311.0	52590472.0	5272097673.0	5198457715.0	0.0	0.002369	0.002323	0.00021	101.0	0.0	101.0	0.0	101.0	101.0	100.225137	56067656.0	1.0	0.0	0.0	0.0	0.5	0.002654	0.0	0.007672	0.0	10.122729			
