Sample	TOTAL_READS	PF_READS	READ_LENGTH	TOTAL_BASES	PF_BASES	Q20_BASES	PF_Q20_BASES	Q30_BASES	PF_Q30_BASES	Q20_EQUIVALENT_YIELD	PF_Q20_EQUIVALENT_YIELD
SRR22373268	39939954	39939954	101	4033935354	4033935354	3972517035	3972517035	3847518733	3847518733	7307807257	7307807257
SRR22373269	57382298	57382298	101	5795612098	5795612098	5720640728	5720640728	5550811750	5550811750	10522335332	10522335332
SRR22373270	43169170	43169170	101	4360086170	4360086170	4304174514	4304174514	4174589171	4174589171	7915582055	7915582055
SRR22373271	67842356	67842356	101	6852077956	6852077956	6764364709	6764364709	6563362464	6563362464	12441494257	12441494257
SRR22373272	56615630	56615630	101	5718178630	5718178630	5641098803	5641098803	5464049947	5464049947	10372011272	10372011272
SRR22373273	62397892	62397892	101	6302187092	6302187092	6225206228	6225206228	6045539754	6045539754	11450967064	11450967064
SRR22373274	67772498	67772498	101	6845022298	6845022298	6753885997	6753885997	6545734737	6545734737	12419701246	12419701246
SRR22373275	68917610	68917610	101	6960678610	6960678610	6871220318	6871220318	6663278363	6663278363	12635968529	12635968529
SRR22373276	53446508	53446508	101	5398097308	5398097308	5320764214	5320764214	5148979184	5148979184	9782701810	9782701810
SRR22373277	56067656	56067656	101	5662833256	5662833256	5580609429	5580609429	5399490983	5399490983	10260496268	10260496268
SRR22373278	57013646	57013646	101	5758378246	5758378246	5672258938	5672258938	5484408096	5484408096	10428147441	10428147441
SRR22373279	53769788	53769788	101	5430748588	5430748588	5360549425	5360549425	5199912091	5199912091	9859068538	9859068538
SRR22373280	76573978	76573978	101	7733971778	7733971778	7624309656	7624309656	7380901562	7380901562	14018990554	14018990554
SRR22373281	64756064	64756064	101	6540362464	6540362464	6443406398	6443406398	6232013276	6232013276	11846579858	11846579858
SRR22373282	82258774	82258774	101	8308136174	8308136174	8184745583	8184745583	7911188575	7911188575	15045239770	15045239770
SRR22373283	70899738	70899738	101	7160873538	7160873538	7066550321	7066550321	6855032535	6855032535	12997853546	12997853546
SRR22373284	70330566	70330566	101	7103387166	7103387166	6998608415	6998608415	6769804746	6769804746	12867542073	12867542073
SRR22373285	54199494	54199494	101	5474148894	5474148894	5392343443	5392343443	5214196251	5214196251	9913761839	9913761839
SRR22373286	60013980	60013980	101	6061411980	6061411980	5974317233	5974317233	5782932203	5782932203	10985361623	10985361623
SRR22373287	63475464	63475464	101	6411021864	6411021864	6315070741	6315070741	6107579209	6107579209	11610951950	11610951950
SRR22373288	63591032	63591032	101	6422694232	6422694232	6333872331	6333872331	6130591616	6130591616	11644338709	11644338709
SRR22373289	71403702	71403702	101	7211773902	7211773902	7118967005	7118967005	6905082371	6905082371	13092568326	13092568326
SRR22373290	84860394	84860394	101	8570899794	8570899794	8441315694	8441315694	8159443770	8159443770	15518303986	15518303986
SRR22373291	51608776	51608776	101	5212486376	5212486376	5134992759	5134992759	4970440755	4970440755	9443458045	9443458045
SRR22373292	57966826	57966826	101	5854649426	5854649426	5764263320	5764263320	5571482226	5571482226	10597740290	10597740290
SRR22373293	51055062	51055062	101	5156561262	5156561262	5081605174	5081605174	4917048079	4917048079	9343294643	9343294643
SRR22373294	59072502	59072502	101	5966322702	5966322702	5887012799	5887012799	5706004923	5706004923	10825797004	10825797004
SRR22373295	59409804	59409804	101	6000390204	6000390204	5919146025	5919146025	5742697520	5742697520	10889040514	10889040514
