Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR22373282_2	SRR22373282_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44220282.0	0.0	101.0	45.0	66.18919691808952	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
SRR22373283_1	SRR22373283_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38458991.0	0.0	101.0	48.0	56.46426037057797	101.0	101	pass	pass	fail	pass	fail	fail	pass	pass	warn	warn	pass
SRR22373283_2	SRR22373283_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38458991.0	0.0	101.0	48.0	59.92843107076331	101.0	101	pass	pass	pass	pass	warn	fail	pass	pass	warn	warn	pass
SRR22373284_1	SRR22373284_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39186131.0	0.0	101.0	45.0	64.34049566930913	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	warn	warn	pass
SRR22373284_2	SRR22373284_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39186131.0	0.0	101.0	45.0	69.29298009106358	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
SRR22373285_1	SRR22373285_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29337581.0	0.0	101.0	47.0	67.44584631237606	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	warn	warn	pass
SRR22373285_2	SRR22373285_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29337581.0	0.0	101.0	47.0	70.5861536363564	101.0	101	pass	pass	pass	pass	warn	fail	pass	pass	pass	warn	pass
SRR22373286_1	SRR22373286_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32270848.0	0.0	101.0	47.0	65.29124306332933	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	warn	warn	pass
SRR22373286_2	SRR22373286_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32270848.0	0.0	101.0	46.0	68.89426305780233	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
SRR22373287_1	SRR22373287_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34194290.0	0.0	101.0	48.0	66.14597529757006	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	warn	warn	pass
SRR22373287_2	SRR22373287_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34194290.0	0.0	101.0	47.0	69.77150838101659	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
SRR22373288_1	SRR22373288_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33732726.0	0.0	101.0	47.0	49.00378975624539	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
SRR22373288_2	SRR22373288_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33732726.0	0.0	101.0	46.0	52.33485401524647	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
SRR22373289_1	SRR22373289_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38416511.0	0.0	101.0	47.0	54.46719128910177	101.0	101	pass	pass	fail	pass	fail	fail	pass	pass	warn	warn	pass
SRR22373289_2	SRR22373289_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38416511.0	0.0	101.0	46.0	57.8902445048418	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
SRR22373290_1	SRR22373290_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46304984.0	0.0	101.0	47.0	61.12161805915366	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	warn	warn	pass
SRR22373290_2	SRR22373290_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46304984.0	0.0	101.0	46.0	65.44265659099737	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
SRR22373291_1	SRR22373291_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28783393.0	0.0	101.0	50.0	55.79840100524016	101.0	101	pass	pass	fail	pass	fail	fail	pass	pass	warn	warn	pass
SRR22373291_2	SRR22373291_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28783393.0	0.0	101.0	49.0	59.793552566407286	101.0	101	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
SRR22373292_1	SRR22373292_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31297361.0	0.0	101.0	52.0	39.92501364175031	101.0	101	pass	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
SRR22373292_2	SRR22373292_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31297361.0	0.0	101.0	52.0	43.346770039726756	101.0	101	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
SRR22373293_1	SRR22373293_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28029145.0	0.0	101.0	47.0	51.96575171854758	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	warn	warn	pass
