"","StromalScore","ImmuneScore","ESTIMATEScore","TumorPurity"
"TCGA-GM-A2DL-01A-11R-A18M-07",1186.18866471778,265.380121087301,1451.56878580508,0.683637862830821
"TCGA-AC-A2QI-01A-12R-A19W-07",969.510670497363,428.105610751094,1397.61628124846,0.689396258477843
"TCGA-A8-A06R-01A-11R-A00Z-07",1043.41900070152,385.285345468669,1428.70434617019,0.686083459643107
"TCGA-EW-A1PD-01A-11R-A144-07",840.461588694119,-473.114040224756,367.347548469362,0.790660328412518
"TCGA-AO-A12D-01A-11R-A115-07",1121.28703727677,1145.05163275899,2266.33867003576,0.591676554840536
"TCGA-AR-A24N-01A-11R-A169-07",540.189347141918,-318.684215412013,221.505131729904,0.80358529460625
"TCGA-AR-A24U-01A-11R-A169-07",1217.49861341212,1322.98624463464,2540.48485804676,0.558764607591328
"TCGA-D8-A1JU-01A-11R-A13Q-07",1824.10938638279,452.677839317779,2276.78722570057,0.590439406553777
"TCGA-A8-A0AD-01A-11R-A056-07",973.989587848304,380.93639343289,1354.92598128119,0.693922005262234
"TCGA-E2-A3DX-01A-21R-A213-07",1548.33799237101,1337.16189843146,2885.49989080247,0.516065571995209
"TCGA-BH-A18J-11A-31R-A12D-07",652.86773600735,-131.759665092331,521.108070915019,0.776641366100761
"TCGA-A2-A0YL-01A-21R-A109-07",860.994975510274,86.6246786484347,947.619654158708,0.735706736819768
"TCGA-C8-A12P-01A-11R-A115-07",789.889262727939,93.4738876677098,883.363150395649,0.742062286201139
"TCGA-AO-A0JA-01A-11R-A056-07",1220.2113417135,301.37215226567,1521.58349397917,0.676101263209292
"TCGA-EW-A1OV-01A-11R-A144-07",857.502218359086,2194.71649520135,3052.21871356043,0.494951334221583
"TCGA-5L-AAT0-01A-12R-A41B-07",1062.60131532576,607.764191922277,1670.36550724803,0.659849796723999
"TCGA-BH-A18J-01A-11R-A12D-07",628.668548844724,-350.06357448055,278.604974364174,0.798568488791608
"TCGA-D8-A27V-01A-12R-A17B-07",671.502819021035,-448.747669254965,222.75514976607,0.803476070840022
"TCGA-A7-A26I-01B-06R-A22O-07",1424.38660779923,293.791882919316,1718.17849071854,0.65455998679594
"TCGA-A8-A096-01A-11R-A00Z-07",1414.03895482395,1256.32503314447,2670.36398796842,0.542853124509221
"TCGA-AR-A256-01A-11R-A169-07",-130.255345582832,-111.972858924032,-242.228204506864,0.842207937357075
"TCGA-A7-A426-01A-22R-A24H-07",629.130734749319,-109.422459259103,519.708275490215,0.776770786444373
"TCGA-E2-A1BC-11A-32R-A12P-07",881.373902718766,-241.384325127378,639.989577591388,0.765530902738531
"TCGA-E2-A1LH-11A-22R-A14D-07",-516.436666511574,-236.494473687688,-752.931140199263,0.88022242000635
"TCGA-E2-A1LH-01A-11R-A14D-07",465.02667432128,1744.71415758514,2209.74083190642,0.598353688699893
"TCGA-E9-A1N8-01A-11R-A144-07",-723.60299792248,-972.027383729746,-1695.63038165223,0.93726764018993
"TCGA-BH-A0HK-11A-11R-A089-07",972.196779989647,75.6174242301461,1047.81420421979,0.725666204114232
"TCGA-EW-A2FR-01A-11R-A21T-07",1654.19919268609,212.410950543032,1866.61014322912,0.637933948946512
"TCGA-E2-A154-01A-11R-A115-07",279.813907876911,-775.172089727331,-495.35818185042,0.861655071689162
"TCGA-A2-A0T4-01A-31R-A084-07",1218.01251223271,560.621126136863,1778.63363836957,0.647825381918323
"TCGA-E9-A1NH-01A-11R-A14D-07",1228.75949945605,121.476049555688,1350.23554901174,0.694417596050203
"TCGA-AR-A2LO-01A-31R-A18M-07",768.084637569328,745.258161762088,1513.34279933142,0.67699204044938
"TCGA-Z7-A8R6-01A-11R-A41B-07",-205.716172690779,-386.545730351551,-592.26190304233,0.868786433174716
"TCGA-AC-A3YJ-01A-11R-A22U-07",-396.139326365891,273.600875927345,-122.538450438546,0.832606032220377
"TCGA-A2-A04U-01A-11R-A115-07",-300.799470939574,-866.127262941674,-1166.92673388125,0.907418834984258
"TCGA-A7-A26I-01A-11R-A169-07",880.863320001512,-160.983140845907,719.880179155605,0.757933286982425
"TCGA-A8-A09A-01A-11R-A00Z-07",847.087680183105,-37.1462723798477,809.941407803257,0.749243515068098
"TCGA-AO-A126-01A-11R-A10J-07",1095.63270270077,-12.6882429640966,1082.94445973667,0.722108510342084
"TCGA-EW-A1J6-01A-11R-A13Q-07",-272.207094310854,566.603893964188,294.396799653335,0.797171097001624
"TCGA-LQ-A4E4-01A-11R-A266-07",-198.74672168848,-978.161606805626,-1176.90832849411,0.90803357049178
"TCGA-E2-A1IL-01A-11R-A14D-07",590.058599342268,-662.873944557334,-72.8153452150658,0.828541349833047
"TCGA-D8-A1XW-01A-11R-A14M-07",1095.54253036735,1022.97320690309,2118.51573727044,0.609028849727186
"TCGA-A8-A07C-01A-11R-A034-07",24.7105998393962,263.240193091172,287.950792930569,0.797742010995097
"TCGA-EW-A2FV-01A-11R-A17B-07",556.736984675515,435.619771017268,992.356755692783,0.731243151099978
"TCGA-E2-A1AZ-01A-11R-A12P-07",902.836800833624,866.05097734081,1768.88777817443,0.64891451796453
"TCGA-AC-A2FM-11B-32R-A19W-07",384.327596422358,92.522716218123,476.850312640481,0.780717389163337
"TCGA-BH-A1FJ-01A-11R-A13Q-07",-405.488452862226,-959.107349571871,-1364.5958024341,0.919228291488276
"TCGA-EW-A1J1-01A-11R-A13Q-07",58.8609385803972,421.888733511063,480.74967209146,0.780359589572648
"TCGA-A7-A0DB-11A-33R-A089-07",2022.89634602546,1189.39896711061,3212.29531313608,0.474399214545593
"TCGA-A7-A0DB-01A-11R-A277-07",1234.76895997782,236.383023588244,1471.15198356606,0.681537106621522
"TCGA-A7-A56D-01A-11R-A27Q-07",828.980501809408,574.302139718639,1403.28264152805,0.688793509014599
"TCGA-AC-A3OD-01A-11R-A21T-07",824.42741470501,985.945830507868,1810.37324521288,0.644269184840685
"TCGA-E2-A109-01A-11R-A10J-07",199.041063432341,-370.47688918935,-171.43582575701,0.836559959619019
"TCGA-BH-A0DK-11A-13R-A089-07",-25.7849558778103,-767.455031207769,-793.23998708558,0.883014914112209
"TCGA-E2-A15O-01A-11R-A115-07",-592.880777431401,-560.44692394348,-1153.32770137488,0.906578178028098
"TCGA-BH-A0DK-01A-21R-A056-07",1362.32812443492,1367.37647874289,2729.70460317781,0.535517292694238
"TCGA-B6-A0WW-01A-11R-A109-07",308.282565285632,-581.163685306087,-272.881120020456,0.84462531789521
"TCGA-E2-A2P5-01A-11R-A19W-07",304.771866691096,-329.832468428125,-25.0606017370294,0.824596019481466
"TCGA-E9-A3Q9-01A-11R-A21T-07",276.756288432142,524.757173951506,801.513462383648,0.750062282483445
"TCGA-E2-A158-01A-11R-A12D-07",-1197.29996908467,-813.134341161553,-2010.43431024623,0.952370546337185
"TCGA-A1-A0SD-01A-11R-A115-07",857.169463075499,-146.310071989587,710.859391085912,0.758796405850549
"TCGA-E9-A5FL-01A-11R-A27Q-07",254.830655611063,59.7005059313555,314.531161542419,0.795383230206339
"TCGA-BH-A1FU-11A-23R-A14D-07",863.094969199774,-283.55862978756,579.536339412214,0.771210104285925
"TCGA-AR-A1AT-01A-11R-A12P-07",459.74727348272,1160.58655717045,1620.33383065317,0.665350268444303
"TCGA-A1-A0SE-01A-11R-A084-07",586.437426535266,-616.618691996781,-30.1812654615147,0.82502101373929
"TCGA-AN-A0XN-01A-21R-A109-07",1769.90215230016,795.234759065469,2565.13691136563,0.555759926203902
"TCGA-A2-A0YG-01A-21R-A109-07",-233.046196897796,-415.904453143503,-648.950650041299,0.872876881806693
"TCGA-E9-A1RF-01A-11R-A157-07",934.779936047565,677.243449683739,1612.0233857313,0.666260449494092
"TCGA-B6-A0RQ-01A-11R-A115-07",-212.489138081034,-886.163040217767,-1098.6521782988,0.90316185363287
"TCGA-A7-A6VY-01A-12R-A33J-07",501.921352026777,895.071211308641,1396.99256333542,0.68946257628196
"TCGA-A7-A13D-01B-04R-A277-07",245.433031452748,-1093.8199064783,-848.386875025556,0.886785253032855
"TCGA-BH-A203-11A-42R-A169-07",578.585344347652,-417.18442824731,161.400916100342,0.808805072680461
"TCGA-GM-A2DD-01A-11R-A180-07",1207.03116590699,1778.96751363761,2985.99867954459,0.50337401707585
"TCGA-E9-A2JT-01A-22R-A18M-07",972.125101069797,2728.16357086725,3700.28867193704,0.410178404398041
"TCGA-EW-A1OW-01A-21R-A144-07",516.280143472579,-132.912715470434,383.367428002145,0.78921840604441
"TCGA-AN-A03X-01A-21R-A00Z-07",1419.49181085862,100.066270325814,1519.55808118444,0.676320291790009
"TCGA-EW-A1PB-01A-11R-A144-07",119.149680200539,2004.32396972055,2123.47364992109,0.608451463831476
"TCGA-AC-A2FO-01A-11R-A180-07",1069.60946681493,956.114160857804,2025.72362767274,0.619775336537507
"TCGA-BH-A18M-01A-11R-A12D-07",1027.24912271817,-51.7855254112559,975.463597306916,0.732932359844591
"TCGA-A8-A090-01A-11R-A00Z-07",659.780633406798,301.934237936305,961.714871343104,0.734303819198067
"TCGA-AC-A2FM-01A-11R-A19W-07",-184.469344018273,-976.652019967213,-1161.12136398549,0.907060404179684
"TCGA-BH-A1FJ-11B-42R-A13Q-07",1320.1623554298,132.195321927554,1452.35767735735,0.68355334483553
"TCGA-A8-A099-01A-11R-A00Z-07",233.314099014241,-151.716187886482,81.5979111277587,0.815638246416894
"TCGA-AO-A12B-01A-11R-A10J-07",-561.492354552562,-549.515434376857,-1111.00778892942,0.903938972538013
"TCGA-E2-A15F-01A-11R-A115-07",-164.902768225357,-396.907679101953,-561.81044732731,0.866564314939499
"TCGA-AO-A0JF-01A-11R-A056-07",1658.14366507368,581.729669044915,2239.8733341186,0.594803916127253
"TCGA-E2-A576-01A-11R-A31O-07",-185.027271669094,-452.059865245228,-637.087136914323,0.872025846350106
"TCGA-AN-A0AR-01A-11R-A00Z-07",-907.390057274495,-953.751501308884,-1861.14155858338,0.945459745514548
"TCGA-AC-A3OD-01B-06R-A22O-07",1078.17125614028,1563.55772346787,2641.72897960814,0.546378355363446
"TCGA-LL-A5YN-01A-11R-A28M-07",142.634164112846,1968.10043641499,2110.73460052784,0.60993437061584
"TCGA-E9-A1R0-01A-22R-A16F-07",691.681180434301,-62.5398688726915,629.14131156161,0.766554480234831
"TCGA-AN-A03Y-01A-21R-A00Z-07",-25.0710357730641,-91.4554435156518,-116.526479288716,0.832116928461624
"TCGA-A7-A4SC-01A-12R-A266-07",703.399966611739,92.7699852709949,796.169951882734,0.75058080521954
"TCGA-OL-A5D6-01A-21R-A27Q-07",996.825138262088,71.5117186738643,1068.33685693595,0.723590181874066
"TCGA-EW-A1IZ-01A-11R-A13Q-07",82.1393885315397,1955.88349488708,2038.02288341862,0.618357496084149
"TCGA-BH-A0EB-01A-11R-A034-07",1245.21567715379,994.195352826477,2239.41102998027,0.594858466142996
"TCGA-C8-A3M8-01A-11R-A213-07",141.884709496124,-711.465401285894,-569.58069178977,0.867132976052899
"TCGA-AO-A129-01A-21R-A10J-07",162.161611572802,949.456297326616,1111.61790889942,0.719190470253236
"TCGA-D8-A27P-01A-11R-A16F-07",131.72846299228,-703.105522921093,-571.377059928813,0.867264281761272
"TCGA-E2-A152-01A-11R-A12D-07",1006.58050574956,-35.5608631749388,971.019642574617,0.733375978843494
"TCGA-BH-A1FU-01A-11R-A14D-07",1185.009576501,339.385524921416,1524.39510142242,0.675797116312338
"TCGA-E9-A1NI-01A-11R-A14D-07",709.316718657685,-337.027600346998,372.289118310687,0.790216011983155
"TCGA-D8-A27M-01A-11R-A16F-07",1111.21394296396,1408.28536066871,2519.49930363267,0.561316639026604
"TCGA-A2-A0YF-01A-21R-A109-07",102.897562099333,188.560238234388,291.457800333721,0.797431488699798
"TCGA-E9-A1RG-01A-11R-A14D-07",182.841411977479,89.4940754262125,272.335487403691,0.799122075508593
