"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",1,0,0,1,0,0,0,0,0,0,0.99203821656051,0,0,0,0,0.877342419080068,0,1
"2",0,1,0.0533333333333333,0,0.0753768844221105,0.159863945578231,0.847058823529412,0.571900826446281,0.726050420168067,0,0,0.0421585160202361,0.00494233937397035,0.156196943972835,1,0,0.0016750418760469,0
"3",0,0.0533333333333333,1,0,1,0.041522491349481,0.123693379790941,0.124792013311148,0.0750853242320819,0,0,0,0,0.980869565217391,0.0687919463087248,0,0,0
"4",1,0,0,1,0,0,0,0,0,0,0.988524590163934,0,0,0,0,0.856896551724138,0,1
"5",0,0.0753768844221105,1,0,1,0,0.300699300699301,0.00503355704697987,0.241496598639456,0,0,0.0173913043478261,0,0.980869565217391,0.0267111853088481,0,0,0
"6",0,0.159863945578231,0.041522491349481,0,0,1,0.0123456790123457,0.642978003384095,0.0561224489795918,0.688225538971808,0,0.721843003412969,0.772194304857621,0.0301953818827709,0.280730897009967,0.0386643233743409,0.658163265306122,0
"7",0,0.847058823529412,0.123693379790941,0,0.300699300699301,0.0123456790123457,1,0.284263959390863,1,0,0,0.031413612565445,0,0.2663139329806,0.684563758389262,0,0.00695652173913044,0
"8",0,0.571900826446281,0.124792013311148,0,0.00503355704697987,0.642978003384095,0.284263959390863,1,0.266666666666667,0.19935691318328,0,0.176767676767677,0.224422442244224,0.0957264957264957,0.760450160771704,0.0222984562607204,0.190635451505017,0
"9",0,0.726050420168067,0.0750853242320819,0,0.241496598639456,0.0561224489795918,1,0.266666666666667,1,0.0881863560732113,0,0.281833616298812,0.0783333333333333,0.184931506849315,0.545454545454545,0.00859106529209622,0.126903553299492,0
"10",0,0,0,0,0,0.688225538971808,0,0.19935691318328,0.0881863560732113,1,0,0.866888519134775,1,0,0.00160513643659711,0.130730050933786,0.996699669966997,0
"11",0.99203821656051,0,0,0.988524590163934,0,0,0,0,0,0,1,0,0,0,0,0.937605396290051,0,0.996742671009772
"12",0,0.0421585160202361,0,0,0.0173913043478261,0.721843003412969,0.031413612565445,0.176767676767677,0.281833616298812,0.866888519134775,0,1,0.852542372881356,0.0104166666666667,0.0287162162162162,0.11265164644714,0.914821124361158,0
"13",0,0.00494233937397035,0,0,0,0.772194304857621,0,0.224422442244224,0.0783333333333333,1,0,0.852542372881356,1,0,0.00497512437810945,0.0190972222222222,1,0
"14",0,0.156196943972835,0.980869565217391,0,0.980869565217391,0.0301953818827709,0.2663139329806,0.0957264957264957,0.184931506849315,0,0,0.0104166666666667,0,1,0.164429530201342,0,0,0
"15",0,1,0.0687919463087248,0,0.0267111853088481,0.280730897009967,0.684563758389262,0.760450160771704,0.545454545454545,0.00160513643659711,0,0.0287162162162162,0.00497512437810945,0.164429530201342,1,0,0,0
"16",0.877342419080068,0,0,0.856896551724138,0,0.0386643233743409,0,0.0222984562607204,0.00859106529209622,0.130730050933786,0.937605396290051,0.11265164644714,0.0190972222222222,0,0,1,0.084192439862543,0.863157894736842
"17",0,0.0016750418760469,0,0,0,0.658163265306122,0.00695652173913044,0.190635451505017,0.126903553299492,0.996699669966997,0,0.914821124361158,1,0,0,0.084192439862543,1,0
"18",1,0,0,1,0,0,0,0,0,0,0.996742671009772,0,0,0,0,0.863157894736842,0,1
