cell_line	cell_line_short	degree	betweenness	component	is_isolate	is_central
CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	3	0.03676470588235294	0	False	False
CHP_126	CHP_126	3	0.022058823529411763	1	False	False
CHP_134	CHP_134	4	0.058823529411764705	0	False	True
GI_ME_N	GI_ME_N	3	0.022058823529411763	0	False	False
IMR_32	IMR_32	3	0.022058823529411763	1	False	False
KELLY	KELLY	2	0.0	0	False	False
LAN1	LAN1	3	0.058823529411764705	1	False	True
LAN2	LAN2	1	0.0	0	False	False
LAN5	LAN5	3	0.03676470588235294	1	False	False
LAN6	LAN6	0	0.0	2	True	True
LS	LS	2	0.0	0	False	False
MHH_NB_11	MHH_NB_11	0	0.0	3	True	True
NBL_S	NBL_S	1	0.0	1	False	False
NGP	NGP	2	0.03676470588235294	1	False	False
NMB	NMB	1	0.0	1	False	False
SH_SY5Y	SH_SY5Y	0	0.0	4	True	True
SIMA	SIMA	0	0.0	5	True	True
SK_N_BE_2	SK_N_BE_2	3	0.022058823529411763	0	False	False
