community_leiden	n_members	members	mean_degree	mean_mean_edge_sim
1	1	CHP_134	5	0.6770446735395189
10	1	NBL_S	1	0.6423451100870455
11	1	LS	1	0.6072164948453608
12	1	NGP	1	0.6072164948453608
13	1	LAN2	1	0.576427453203243
14	1	SH_SY5Y	1	0.576427453203243
15	1	CCLF_PEDS_0051_T	0	NA
16	1	GI_ME_N	0	NA
17	1	MHH_NB_11	0	NA
18	1	SIMA	0	NA
2	1	LAN5	4	0.7163230240549827
3	1	IMR_32	4	0.7054123711340206
4	1	CHP_126	3	0.7090492554410079
5	1	KELLY	3	0.6654066437571592
6	1	LAN1	3	0.6072164948453608
7	1	SK_N_BE_2	2	0.6945017182130584
8	1	NMB	2	0.6072164948453608
9	1	LAN6	1	0.6423451100870455
