Module	Section	Sample Name	Source
Picard	AlignmentSummaryMetrics	SRR22373306	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373306_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373276	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373276_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373273	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373273_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373301	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373301_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373272	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373272_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373282	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373282_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373307	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373307_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373294	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373294_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373285	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373285_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373314	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373314_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373296	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373296_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373291	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373291_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373283	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373283_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373274	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373274_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373292	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373292_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373290	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373290_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373313	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373313_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373293	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373293_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373310	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373310_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373278	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373278_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373284	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373284_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373304	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373304_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373271	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373271_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373311	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373311_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373309	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373309_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373279	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373279_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373289	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373289_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373297	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373297_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373308	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373308_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373287	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373287_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373303	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373303_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373281	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373281_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373298	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373298_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373300	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373300_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373280	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373280_alignment_summary_metrics.txt
Picard	AlignmentSummaryMetrics	SRR22373302	/work/ugbogu/pipeline/data/nbl/SRP409177/results/picard/SRR22373302_alignment_summary_metrics.txt
