Sample	SAMPLE_NAME	MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
SRR22373268_FR	SRR22373268	142.0	116.0	29.0	38.0	1586994.0	148.011995	49.0405	19969977.0	FR	13.0	25.0	35.0	47.0	59.0	73.0	91.0	137.0	1033.0	9593.0	176177.0			
SRR22373269_FR	SRR22373269	148.0	125.0	31.0	38.0	2095262.0	156.176348	53.788401	28691149.0	FR	13.0	25.0	37.0	51.0	63.0	77.0	95.0	135.0	357.0	3555.0	51909.0			
SRR22373270_FR	SRR22373270	131.0	117.0	22.0	38.0	2016827.0	133.125267	35.490059	21584585.0	FR	9.0	19.0	27.0	37.0	45.0	57.0	73.0	107.0	1305.0	6821.0	72671.0			
SRR22373271_FR	SRR22373271	149.0	118.0	32.0	36.0	3575918.0	157.62601	55.743976	33921178.0	FR	13.0	25.0	39.0	51.0	65.0	79.0	97.0	139.0	361.0	3943.0	55739.0			
SRR22373272_FR	SRR22373272	166.0	149.0	38.0	38.0	2213365.0	172.259169	62.650411	28307815.0	FR	15.0	31.0	45.0	61.0	77.0	97.0	119.0	181.0	1945.0	7833.0	47141.0			
SRR22373273_FR	SRR22373273	159.0	117.0	40.0	38.0	1956977.0	166.801618	69.84739	31198946.0	FR	17.0	33.0	49.0	65.0	81.0	99.0	125.0	235.0	2413.0	7341.0	47023.0			
SRR22373274_FR	SRR22373274	151.0	117.0	33.0	38.0	2213377.0	157.389259	54.58566	33886249.0	FR	13.0	27.0	39.0	53.0	67.0	83.0	101.0	149.0	1007.0	6353.0	45585.0			
SRR22373275_FR	SRR22373275	157.0	130.0	35.0	38.0	2094390.0	162.279692	56.967341	34458805.0	FR	15.0	27.0	41.0	55.0	71.0	87.0	109.0	169.0	2093.0	8701.0	54373.0			
SRR22373276_FR	SRR22373276	150.0	130.0	31.0	38.0	2017524.0	157.152114	51.950027	26723254.0	FR	13.0	25.0	37.0	49.0	63.0	77.0	95.0	131.0	333.0	3699.0	44275.0			
SRR22373277_FR	SRR22373277	153.0	124.0	34.0	38.0	3824326.0	161.413752	57.833435	28033828.0	FR	15.0	27.0	41.0	55.0	69.0	85.0	103.0	153.0	729.0	5173.0	42907.0			
SRR22373278_FR	SRR22373278	154.0	125.0	35.0	38.0	2213365.0	161.804348	58.792821	28506823.0	FR	15.0	29.0	43.0	57.0	71.0	87.0	105.0	157.0	897.0	5551.0	44337.0			
SRR22373279_FR	SRR22373279	150.0	126.0	32.0	37.0	1907781.0	157.125871	53.614817	26884894.0	FR	13.0	25.0	39.0	51.0	65.0	79.0	97.0	141.0	625.0	4923.0	39015.0			
SRR22373280_FR	SRR22373280	152.0	125.0	33.0	37.0	3122695.0	160.117436	56.384397	38286989.0	FR	13.0	27.0	39.0	53.0	67.0	83.0	101.0	151.0	687.0	5233.0	40285.0			
SRR22373281_FR	SRR22373281	152.0	125.0	34.0	38.0	2280576.0	159.219872	57.045565	32378032.0	FR	15.0	27.0	41.0	55.0	69.0	85.0	103.0	157.0	1157.0	6765.0	62235.0			
SRR22373282_FR	SRR22373282	165.0	125.0	43.0	39.0	1652484.0	178.594957	76.538464	41129387.0	FR	17.0	35.0	51.0	69.0	87.0	105.0	129.0	207.0	951.0	6203.0	44485.0			
SRR22373283_FR	SRR22373283	148.0	125.0	31.0	38.0	2900894.0	155.045258	51.638484	35449869.0	FR	13.0	25.0	37.0	49.0	63.0	77.0	95.0	135.0	393.0	4343.0	60693.0			
SRR22373284_FR	SRR22373284	150.0	125.0	31.0	38.0	2725636.0	157.324525	52.561943	35165283.0	FR	13.0	25.0	37.0	51.0	63.0	77.0	95.0	135.0	389.0	3923.0	33821.0			
SRR22373285_FR	SRR22373285	154.0	126.0	34.0	38.0	3119598.0	162.334376	57.362698	27099747.0	FR	15.0	27.0	41.0	55.0	69.0	85.0	103.0	149.0	459.0	4585.0	40369.0			
SRR22373286_FR	SRR22373286	151.0	118.0	33.0	38.0	2245132.0	159.18493	56.040285	30006990.0	FR	13.0	27.0	39.0	53.0	67.0	83.0	101.0	151.0	737.0	5083.0	41303.0			
SRR22373287_FR	SRR22373287	147.0	117.0	31.0	36.0	2220661.0	153.891	52.688047	31737732.0	FR	13.0	25.0	37.0	49.0	63.0	77.0	95.0	139.0	597.0	4679.0	49361.0			
SRR22373288_FR	SRR22373288	153.0	117.0	34.0	38.0	2924054.0	160.164309	57.672568	31795516.0	FR	15.0	27.0	41.0	55.0	69.0	85.0	105.0	163.0	1387.0	6695.0	43073.0			
SRR22373289_FR	SRR22373289	151.0	117.0	34.0	38.0	2523289.0	158.186569	56.957701	35701851.0	FR	15.0	27.0	41.0	55.0	69.0	83.0	103.0	155.0	1041.0	5959.0	45869.0			
SRR22373290_FR	SRR22373290	148.0	118.0	30.0	38.0	3035101.0	155.539697	51.593284	42430197.0	FR	13.0	25.0	37.0	49.0	61.0	77.0	93.0	131.0	345.0	4013.0	34215.0			
SRR22373291_FR	SRR22373291	146.0	118.0	31.0	38.0	3081865.0	153.10062	52.796473	25804388.0	FR	13.0	25.0	37.0	49.0	63.0	77.0	97.0	147.0	1053.0	6937.0	77035.0			
SRR22373292_FR	SRR22373292	161.0	118.0	43.0	38.0	2145507.0	167.740979	72.661798	28983413.0	FR	17.0	35.0	53.0	69.0	87.0	107.0	137.0	355.0	4295.0	13871.0	87801.0			
SRR22373293_FR	SRR22373293	159.0	125.0	39.0	37.0	2583414.0	166.093924	65.817696	25527531.0	FR	17.0	31.0	47.0	63.0	79.0	97.0	121.0	221.0	2769.0	9351.0	66007.0			
SRR22373294_FR	SRR22373294	152.0	127.0	33.0	36.0	2093495.0	159.879854	55.963885	29536251.0	FR	13.0	27.0	39.0	53.0	67.0	83.0	101.0	151.0	813.0	5157.0	40545.0			
SRR22373295_FR	SRR22373295	152.0	125.0	35.0	38.0	3215971.0	158.960691	58.449139	29704902.0	FR	15.0	29.0	41.0	55.0	71.0	87.0	107.0	169.0	1665.0	7787.0	87823.0			
SRR22373296_FR	SRR22373296	155.0	118.0	36.0	35.0	2732501.0	161.355473	60.637249	30441869.0	FR	15.0	29.0	43.0	57.0	73.0	91.0	113.0	185.0	2211.0	9013.0	67021.0			
SRR22373297_FR	SRR22373297	158.0	126.0	38.0	38.0	3026576.0	165.727264	66.4205	28545134.0	FR	15.0	31.0	45.0	61.0	77.0	97.0	123.0	221.0	2331.0	8013.0	67333.0			
SRR22373298_FR	SRR22373298	165.0	125.0	46.0	38.0	3199066.0	170.565899	77.672764	29676700.0	FR	19.0	37.0	55.0	73.0	93.0	115.0	151.0	583.0	5173.0	15603.0	88315.0			
SRR22373299_FR	SRR22373299	161.0	129.0	40.0	38.0	2207711.0	166.864339	66.291273	27790023.0	FR	15.0	31.0	47.0	63.0	81.0	99.0	125.0	213.0	2847.0	10253.0	63655.0			
SRR22373300_FR	SRR22373300	153.0	118.0	35.0	36.0	2039479.0	158.910084	57.266749	24916099.0	FR	15.0	27.0	41.0	55.0	71.0	87.0	107.0	149.0	577.0	5725.0	87787.0			
SRR22373301_FR	SRR22373301	162.0	136.0	41.0	38.0	2043368.0	167.362334	67.805554	22964116.0	FR	17.0	31.0	49.0	65.0	83.0	101.0	127.0	213.0	2799.0	10283.0	92033.0			
SRR22373302_FR	SRR22373302	161.0	129.0	41.0	38.0	2221765.0	166.161366	66.663133	29385178.0	FR	17.0	31.0	49.0	65.0	83.0	103.0	129.0	217.0	3161.0	11439.0	87817.0			
SRR22373303_FR	SRR22373303	161.0	125.0	40.0	38.0	2685751.0	167.823198	68.41816	26290752.0	FR	15.0	31.0	47.0	63.0	81.0	101.0	127.0	213.0	2477.0	10241.0	111607.0			
SRR22373304_FR	SRR22373304	164.0	125.0	44.0	37.0	2050925.0	169.250411	73.433707	28015167.0	FR	17.0	35.0	53.0	71.0	89.0	109.0	141.0	381.0	4755.0	15133.0	86631.0			
SRR22373305_FR	SRR22373305	162.0	117.0	44.0	38.0	1953855.0	168.768828	74.848031	27978644.0	FR	19.0	37.0	55.0	71.0	89.0	109.0	143.0	393.0	4431.0	12743.0	71511.0			
SRR22373306_FR	SRR22373306	164.0	118.0	46.0	38.0	1902466.0	169.97266	77.10927	26573545.0	FR	19.0	37.0	57.0	75.0	93.0	113.0	149.0	529.0	5373.0	16241.0	71919.0			
SRR22373307_FR	SRR22373307	160.0	118.0	41.0	38.0	4863359.0	167.158335	68.635923	23985375.0	FR	17.0	33.0	51.0	67.0	83.0	101.0	129.0	251.0	3393.0	10881.0	62215.0			
SRR22373308_FR	SRR22373308	146.0	118.0	29.0	38.0	3333835.0	153.30216	51.895666	22777995.0	FR	13.0	23.0	35.0	47.0	59.0	75.0	93.0	151.0	1315.0	9849.0	87829.0			
SRR22373309_FR	SRR22373309	151.0	118.0	34.0	38.0	3157788.0	159.101549	58.288665	24143197.0	FR	15.0	29.0	41.0	55.0	69.0	85.0	105.0	167.0	1417.0	7215.0	53911.0			
SRR22373310_FR	SRR22373310	161.0	118.0	42.0	36.0	2184887.0	168.223333	71.324609	25754027.0	FR	17.0	35.0	51.0	69.0	85.0	105.0	133.0	275.0	3505.0	11029.0	77465.0			
SRR22373311_FR	SRR22373311	155.0	118.0	37.0	37.0	3026609.0	161.398586	62.199762	21665663.0	FR	15.0	29.0	45.0	59.0	75.0	91.0	115.0	205.0	2535.0	9059.0	96633.0			
