Sample	Picard_mqc-generalstats-picard-TOTAL_READS	Picard_mqc-generalstats-picard-PCT_PF_READS_ALIGNED	Picard_mqc-generalstats-picard-summed_median	Picard_mqc-generalstats-picard-summed_mean	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR22373280_1							40.45402988318384	46.0	101.0	101	18.181818181818183	41925247.0
SRR22373280_2							35.22313710527928	45.0	101.0	101	0.0	41925247.0
SRR22373281	64756064	1.0	145	159.219872	81.45	28869557.0						
SRR22373281._STARpass1					82.35	29188998.0						
SRR22373281_1							41.577060732894324	47.0	101.0	101	27.27272727272727	35443672.0
SRR22373281_2							37.44461740507163	47.0	101.0	101	0.0	35443672.0
SRR22373282	82258774	1.0	157	178.594957	86.37	38191264.0						
SRR22373282._STARpass1					86.7	38338342.0						
SRR22373282_1							40.5440151977041	45.0	101.0	101	18.181818181818183	44220282.0
SRR22373282_2							33.81080308191048	45.0	101.0	101	0.0	44220282.0
SRR22373283	70899738	1.0	143	155.045258	81.98	31527582.0						
SRR22373283._STARpass1					82.44	31707202.0						
SRR22373283_1							43.53573962942203	48.0	101.0	101	27.27272727272727	38458991.0
SRR22373283_2							40.07156892923669	48.0	101.0	101	9.090909090909092	38458991.0
SRR22373284	70330566	1.0	145	157.324525	84.06	32939358.0						
SRR22373284._STARpass1					84.21	32998635.0						
SRR22373284_1							35.659504330690865	45.0	101.0	101	18.181818181818183	39186131.0
SRR22373284_2							30.707019908936417	45.0	101.0	101	0.0	39186131.0
SRR22373285	54199494	1.0	148	162.334376	85.58	25106503.0						
SRR22373285._STARpass1					86.05	25244220.0						
SRR22373285_1							32.55415368762394	47.0	101.0	101	18.181818181818183	29337581.0
SRR22373285_2							29.4138463636436	47.0	101.0	101	9.090909090909092	29337581.0
SRR22373286	60013980	1.0	145	159.18493	86.27	27841300.0						
SRR22373286._STARpass1					86.64	27958466.0						
SRR22373286_1							34.70875693667067	47.0	101.0	101	18.181818181818183	32270848.0
SRR22373286_2							31.105736942197666	46.0	101.0	101	0.0	32270848.0
SRR22373287	63475464	1.0	141	153.891	85.28	29162360.0						
SRR22373287._STARpass1					85.65	29286575.0						
SRR22373287_1							33.85402470242994	48.0	101.0	101	18.181818181818183	34194290.0
SRR22373287_2							30.228491618983412	47.0	101.0	101	0.0	34194290.0
SRR22373288	63591032	1.0	146	160.164309	85.83	28953470.0						
SRR22373288._STARpass1					86.39	29140331.0						
SRR22373288_1							50.99621024375461	47.0	101.0	101	27.27272727272727	33732726.0
SRR22373288_2							47.66514598475353	46.0	101.0	101	0.0	33732726.0
SRR22373289	71403702	1.0	144	158.186569	84.84	32594012.0						
SRR22373289._STARpass1					85.44	32822818.0						
SRR22373289_1							45.53280871089823	47.0	101.0	101	27.27272727272727	38416511.0
SRR22373289_2							42.1097554951582	46.0	101.0	101	0.0	38416511.0
SRR22373290	84860394	1.0	143	155.539697	84.08	38931564.0						
SRR22373290._STARpass1					84.51	39130513.0						
SRR22373290_1							38.87838194084634	47.0	101.0	101	18.181818181818183	46304984.0
