Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
SRR22373268	22779278.0	202.0	15957195.0	70.05	199.79	3273093.0	3231387.0	3204147.0	28045.0	2203.0	38698.0	0.4	0.03	1.25	0.01	1.53	4012782.0	17.62	103574.0	0.45	0.0	11.73	0.15	0	2671564	34163
SRR22373268._STARpass1	22779278.0	202.0	16047302.0	70.45	199.83	3130159.0	3007496.0	3075353.0	25455.0	2107.0	27244.0	0.4	0.03	1.25	0.01	1.51	4025868.0	17.67	90339.0	0.4	0.0	11.35	0.13	0	2586148	29621
SRR22373269	31973838.0	202.0	26283766.0	82.2	200.29	4408002.0	4380124.0	4348745.0	32184.0	3347.0	23726.0	0.25	0.03	1.17	0.01	1.51	2407383.0	7.53	63984.0	0.2	0.0	9.95	0.12	0	3180349	38356
SRR22373269._STARpass1	31973838.0	202.0	26326648.0	82.34	200.3	4186256.0	4079036.0	4134433.0	29773.0	3242.0	18808.0	0.25	0.03	1.17	0.01	1.5	2360994.0	7.38	65217.0	0.2	0.0	9.96	0.11	0	3185795	35184
SRR22373270	24727528.0	202.0	19498826.0	78.85	198.87	4556992.0	4532528.0	4486320.0	41742.0	4948.0	23982.0	0.24	0.02	1.39	0.01	1.55	2085759.0	8.43	129112.0	0.52	0.0	12.06	0.12	0	2984138	29693
SRR22373270._STARpass1	24727528.0	202.0	19571147.0	79.15	198.88	4510534.0	4394407.0	4452008.0	31433.0	4877.0	22216.0	0.25	0.02	1.39	0.01	1.55	2009417.0	8.13	130662.0	0.53	0.0	12.08	0.12	0	2986633	29669
SRR22373271	37258033.0	202.0	29599966.0	79.45	200.03	4338662.0	4294806.0	4247703.0	51032.0	4420.0	35507.0	0.32	0.03	1.24	0.01	1.67	4321212.0	11.6	308056.0	0.83	0.0	7.91	0.22	0	2946839	81960
SRR22373271._STARpass1	37258033.0	202.0	29831168.0	80.07	200.05	4037101.0	3844372.0	3971988.0	32200.0	4128.0	28785.0	0.32	0.03	1.24	0.01	1.66	4251932.0	11.41	129014.0	0.35	0.0	7.96	0.21	0	2967627	78292
SRR22373272	30153986.0	202.0	25924632.0	85.97	200.91	6358495.0	6330048.0	6268706.0	60132.0	6293.0	23364.0	0.2	0.03	1.25	0.01	1.52	2383183.0	7.9	49530.0	0.16	0.0	5.84	0.12	0	1760467	36174
SRR22373272._STARpass1	30153986.0	202.0	26165489.0	86.77	200.91	6206177.0	6049052.0	6132046.0	46191.0	6219.0	21721.0	0.2	0.03	1.25	0.01	1.52	2142918.0	7.11	50080.0	0.17	0.0	5.86	0.1	0	1765373	30126
