community_leiden	n_members	members	mean_degree	mean_mean_edge_sim
1	1	EFM_192C	8	0.5365392171053992
10	1	CAL_120	3	0.5155598216710657
11	1	CAL_85_1	3	0.4784741918468725
12	1	EFM_192A	3	0.47828049433166553
13	1	EFM_192B	3	0.4611611389784211
14	1	ETCC_007	2	0.6458724709032411
15	1	MDA_MB_468	2	0.6064074419290529
16	1	HCC_1937	2	0.5926453948649735
17	1	MDA_MB_231	2	0.5684412272899633
18	1	JIMT_1	2	0.5656229258574539
19	1	HCC_1143	2	0.5540260743555654
2	1	KPL_1	6	0.6436375166291004
20	1	EVSA_T	2	0.5471370375731508
21	1	DU_4475	2	0.4334464550980193
22	1	ETCC_006	1	0.7495195525900974
23	1	HCC_1599	1	0.6818463578696772
24	1	HS_578T	1	0.5422253892163849
25	1	MDA_MB_453	1	0.48716888273123926
26	1	SK_BR_3	1	0.43656162163166107
27	1	CAL_51	1	0.42874680417779554
28	1	COLO_824	0	NA
29	1	HDQ_P1	0	NA
3	1	BT_474	6	0.6222695534095687
4	1	MCF_7	6	0.6084837706872902
5	1	MFM_223	6	0.5984890782136383
6	1	T_47D	6	0.5433459473245242
7	1	CAL_148	5	0.4526974689291864
8	1	EFM_19	4	0.47579561198535947
9	1	IPH_926	3	0.5416227244842394
