"","StromalScore","ImmuneScore","ESTIMATEScore","tumourPurity"
"TCGA-GM-A2DL-01A-11R-A18M-07",1186.64326692766,42.0396673118861,1228.68293423955,0.707145359578221
"TCGA-AC-A2QI-01A-12R-A19W-07",970.856879166955,210.298790728374,1181.15566989533,0.71206093766312
"TCGA-A8-A06R-01A-11R-A00Z-07",1043.84579768179,178.732352841445,1222.57815052324,0.707778687468327
"TCGA-EW-A1PD-01A-11R-A144-07",839.83002502496,-696.892718013099,142.937307011861,0.81039593170228
"TCGA-AO-A12D-01A-11R-A115-07",1122.3273717474,966.963900006701,2089.2912717541,0.612425692006028
"TCGA-AR-A24N-01A-11R-A169-07",540.972356792256,-578.173901524064,-37.2015447318081,0.825602910737026
"TCGA-AR-A24U-01A-11R-A169-07",1218.29996708165,1170.69966542822,2388.99963250987,0.577066079270319
"TCGA-D8-A1JU-01A-11R-A13Q-07",1823.9719317768,225.592026872552,2049.56395864936,0.6170252245461
"TCGA-A8-A0AD-01A-11R-A056-07",975.083595047951,183.980125993239,1159.06372104119,0.714334046194263
"TCGA-E2-A3DX-01A-21R-A213-07",1549.02641614176,1172.34178158997,2721.36819773173,0.536550325373435
"TCGA-BH-A18J-11A-31R-A12D-07",653.234727007362,-366.41680040834,286.817926599022,0.797842273639859
"TCGA-A2-A0YL-01A-21R-A109-07",861.378431546158,-132.067020767532,729.311410778626,0.757029475442177
"TCGA-C8-A12P-01A-11R-A115-07",789.758905292556,-110.380065078645,679.378840213911,0.76179806662457
"TCGA-AO-A0JA-01A-11R-A056-07",1220.33969447541,98.1069876832636,1318.44668215867,0.697767718355996
"TCGA-EW-A1OV-01A-11R-A144-07",859.188795837491,2071.15347486335,2930.34227070084,0.510416334614258
"TCGA-5L-AAT0-01A-12R-A41B-07",1064.03122636862,380.584541515462,1444.61576788408,0.684382378687797
"TCGA-BH-A18J-01A-11R-A12D-07",628.804643028139,-594.190026028222,34.6146169999171,0.819608931456162
"TCGA-D8-A27V-01A-12R-A17B-07",671.621634499909,-687.016164514993,-15.3945300150842,0.823792505298361
"TCGA-A7-A26I-01B-06R-A22O-07",1423.30600727824,125.857983230272,1549.16399050851,0.673112762766191
"TCGA-A8-A096-01A-11R-A00Z-07",1414.83346166459,1070.60606700083,2485.43952866542,0.565447264477542
"TCGA-AR-A256-01A-11R-A169-07",-129.106745296567,-311.992160916423,-441.09890621299,0.857585778821466
"TCGA-A7-A426-01A-22R-A24H-07",630.0152285274,-362.419382392542,267.595846134858,0.799540129841846
"TCGA-E2-A1BC-11A-32R-A12P-07",881.759185773058,-499.676863046854,382.082322726204,0.789334237313878
"TCGA-E2-A1LH-11A-22R-A14D-07",-514.452263255504,-477.446967817405,-991.899231072908,0.896324069969823
"TCGA-E2-A1LH-01A-11R-A14D-07",467.84420040171,1579.01383547201,2046.85803587372,0.617337748257676
"TCGA-E9-A1N8-01A-11R-A144-07",-722.595478995433,-1183.56000821508,-1906.15548721051,0.947591418369682
"TCGA-BH-A0HK-11A-11R-A089-07",972.405641520264,-152.014591761321,820.391049758943,0.748226749470515
"TCGA-EW-A2FR-01A-11R-A21T-07",1653.34140420751,-0.630851513274365,1652.71055269424,0.661794857392047
"TCGA-E2-A154-01A-11R-A115-07",279.642335692793,-1000.28577323867,-720.643437545877,0.87796337773606
"TCGA-A2-A0T4-01A-31R-A084-07",1218.45345274911,347.319555980381,1565.77300872949,0.671307757620502
"TCGA-E9-A1NH-01A-11R-A14D-07",1228.81336564442,-106.114846075629,1122.69851956879,0.7180594025838
"TCGA-AR-A2LO-01A-31R-A18M-07",769.636798942525,539.068475418273,1308.7052743608,0.698791294858231
"TCGA-Z7-A8R6-01A-11R-A41B-07",-204.045572830963,-645.801815101205,-849.847387932169,0.886884318100026
"TCGA-AC-A3YJ-01A-11R-A22U-07",-393.126978551969,28.9337132654628,-364.193265286506,0.851724936981552
"TCGA-A2-A04U-01A-11R-A115-07",-299.988349132441,-1103.24775461931,-1403.23610375175,0.921446680840525
"TCGA-A7-A26I-01A-11R-A169-07",880.20757639385,-320.279712634561,559.927863759289,0.773039175320237
"TCGA-A8-A09A-01A-11R-A00Z-07",846.923613394918,-247.257019495493,599.666593899424,0.769325715622925
"TCGA-AO-A126-01A-11R-A10J-07",1095.87225887583,-255.87601944893,839.996239426896,0.746314387681632
"TCGA-EW-A1J6-01A-11R-A13Q-07",-269.430519523855,347.861096414683,78.4305768908281,0.815907147989665
"TCGA-LQ-A4E4-01A-11R-A266-07",-198.011103981131,-1215.72814268686,-1413.73924666799,0.922044558764121
"TCGA-E2-A1IL-01A-11R-A14D-07",589.960605513543,-907.964625720716,-318.004020207174,0.848152717564454
"TCGA-D8-A1XW-01A-11R-A14M-07",1097.31576532045,814.095388135244,1911.4111534557,0.632855865217512
"TCGA-A8-A07C-01A-11R-A034-07",26.1982244243433,66.9593833963481,93.1576078206914,0.814655351296439
"TCGA-EW-A2FV-01A-11R-A17B-07",558.215474717491,215.99576939227,774.211244109761,0.752706779480883
"TCGA-E2-A1AZ-01A-11R-A12P-07",903.012666795303,697.237577471858,1600.25024426716,0.66754817635587
"TCGA-AC-A2FM-11B-32R-A19W-07",385.701338997088,-152.516150562612,233.185188434476,0.802563663330803
"TCGA-BH-A1FJ-01A-11R-A13Q-07",-404.80765297167,-1191.61611867875,-1596.42377165042,0.932091841229352
"TCGA-EW-A1J1-01A-11R-A13Q-07",60.9491245550607,212.860140801129,273.80926535619,0.798992003858088
"TCGA-A7-A0DB-11A-33R-A089-07",2021.73012639571,1033.54713992626,3055.27726632197,0.494561173658828
"TCGA-A7-A0DB-01A-11R-A277-07",1234.81115202525,44.1802603636515,1278.9914123889,0.701904638200051
