cell_line	sample_id	cell_tech_id	cell_line_display	degree	betweenness	component	community_louv	community_leid	mean_edge_sim	max_edge_sim	is_outlier
MCF_7	NG-29643_MCF_7_lib581315_7997_4	MCF_7	MCF_7	9	12.083333333333334	1	1	1	0.7637271784435307	0.8557269359828221	FALSE
CAL_120	NG-29643_CAL_120_lib581301_8005_3	CAL_120	CAL_120	3	0	2	2	10	0.8026276631033855	0.8627724965153691	FALSE
CAL_85_1	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1	CAL_85_1	3	0	2	2	11	0.7914105464776658	0.8297685950290238	FALSE
BT_474	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	3	0	1	1	12	0.7625260754098532	0.8300492610837439	FALSE
MDA_MB_231	NG-29643_MDA_MB_231_lib581314_8005_3	MDA_MB_231	MDA_MB_231	3	0	2	2	13	0.7606720481313466	0.7628842818294518	FALSE
ETCC_006	NG-29643_ETCC_006_lib581311_8005_3	ETCC_006	ETCC_006	2	1	3	3	14	0.8165643640031204	0.8506039665592423	FALSE
EFM_192A	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A	EFM_192A	2	10	1	4	15	0.7337440703520373	0.7532933630516898	FALSE
EFM_192B	NG-29643_EFM_192B_lib581293_7997_4	EFM_192B	EFM_192B	2	0	1	1	16	0.7074073679617048	0.7074073679617048	FALSE
HCC_1143	NG-29643_HCC_1143_lib581306_7997_4	HCC_1143	HCC_1143	1	0	4	5	17	0.8532920082561715	0.8532920082561715	FALSE
HCC_1599	NG-29643_HCC_1599_lib581304_7997_4	HCC_1599	HCC_1599	1	0	4	5	18	0.8532920082561715	0.8532920082561715	FALSE
HS_578T	NG-30919_HS_578T_B_lib628473_10098_2	HS_578T	HS_578T	1	0	3	3	19	0.8506039665592423	0.8506039665592423	FALSE
KPL_1	NG-29643_KPL_1_lib581296_7997_4	KPL_1	KPL_1	8	5.083333333333333	1	1	2	0.8162115412224568	0.9065119173467878	FALSE
ETCC_007	NG-29643_ETCC_007_lib581312_7997_4	ETCC_007	ETCC_007	1	0	3	3	20	0.7825247614469983	0.7825247614469983	FALSE
EVSA_T	NG-29643_EVSA_T_lib581299_7997_4	EVSA_T	EVSA_T	1	0	5	6	21	0.7714285714285715	0.7714285714285715	FALSE
MDA_MB_453	NG-29643_MDA_MB_453_lib581289_7997_4	MDA_MB_453	MDA_MB_453	1	0	5	6	22	0.7714285714285715	0.7714285714285715	FALSE
DU_4475	NG-29643_DU_4475_lib581298_7997_4	DU_4475	DU_4475	1	0	1	4	23	0.7532933630516898	0.7532933630516898	FALSE
JIMT_1	NG-29643_JIMT_1_B_lib581287_7997_4	JIMT_1	JIMT_1	1	0	6	7	24	0.7456716328643118	0.7456716328643118	FALSE
MDA_MB_468	NG-30919_MDA_MB_468_B_lib628474_10098_2	MDA_MB_468	MDA_MB_468	1	0	6	7	25	0.7456716328643118	0.7456716328643118	FALSE
T_47D	NG-29643_T_47D_lib581309_8005_3	T_47D	T_47D	7	1.9166666666666665	1	1	3	0.7936079585305071	0.8469047731793119	FALSE
SK_BR_3	NG-29643_SK_BR_3_lib581307_7997_4	SK_BR_3	SK_BR_3	7	18.5	1	1	4	0.750140144454284	0.7981138189842532	FALSE
MFM_223	NG-29643_MFM_223_lib581297_7997_4	MFM_223	MFM_223	6	2.6666666666666665	1	1	5	0.7962777358650459	0.9065119173467878	FALSE
EFM_19	NG-29643_EFM_19_lib581291_7997_4	EFM_19	EFM_19	5	0	1	1	6	0.7614442564030961	0.778882160695476	FALSE
EFM_192C	NG-29643_EFM_192C_lib581294_7997_4	EFM_192C	EFM_192C	5	0	1	1	7	0.7608470124683735	0.7981138189842532	FALSE
CAL_148	NG-29643_CAL_148_lib581302_7997_4	CAL_148	CAL_148	5	0.75	1	1	8	0.7546685694946738	0.7972501334355158	FALSE
CAL_51	NG-29643_CAL_51_lib581295_7997_4	CAL_51	CAL_51	3	0	2	2	9	0.8184751244579482	0.8627724965153691	FALSE
COLO_824	NG-29643_COLO_824_lib581290_7997_4	COLO_824	COLO_824	0	0	7	8	26	NA	NA	TRUE
HCC_1937	NG-29643_HCC_1937_lib581305_7997_4	HCC_1937	HCC_1937	0	0	8	9	27	NA	NA	TRUE
HDQ_P1	NG-29643_HDQ_P1_lib581303_8005_3	HDQ_P1	HDQ_P1	0	0	9	10	28	NA	NA	TRUE
IPH_926	NG-29643_IPH_926_lib581313_7997_4	IPH_926	IPH_926	0	0	10	11	29	NA	NA	TRUE
