community_leiden	n_members	members	mean_degree	mean_mean_edge_sim
1	1	MCF_7	9	0.7637271784435307
10	1	CAL_120	3	0.8026276631033855
11	1	CAL_85_1	3	0.7914105464776658
12	1	BT_474	3	0.7625260754098532
13	1	MDA_MB_231	3	0.7606720481313466
14	1	ETCC_006	2	0.8165643640031204
15	1	EFM_192A	2	0.7337440703520373
16	1	EFM_192B	2	0.7074073679617048
17	1	HCC_1143	1	0.8532920082561715
18	1	HCC_1599	1	0.8532920082561715
19	1	HS_578T	1	0.8506039665592423
2	1	KPL_1	8	0.8162115412224568
20	1	ETCC_007	1	0.7825247614469983
21	1	EVSA_T	1	0.7714285714285715
22	1	MDA_MB_453	1	0.7714285714285715
23	1	DU_4475	1	0.7532933630516898
24	1	JIMT_1	1	0.7456716328643118
25	1	MDA_MB_468	1	0.7456716328643118
26	1	COLO_824	0	NA
27	1	HCC_1937	0	NA
28	1	HDQ_P1	0	NA
29	1	IPH_926	0	NA
3	1	T_47D	7	0.7936079585305071
4	1	SK_BR_3	7	0.750140144454284
5	1	MFM_223	6	0.7962777358650459
6	1	EFM_19	5	0.7614442564030961
7	1	EFM_192C	5	0.7608470124683735
8	1	CAL_148	5	0.7546685694946738
9	1	CAL_51	3	0.8184751244579482
