cell_line	degree	mean_edge_sim	max_edge_sim	is_outlier	sample_id	cell_tech_id	cell_line_display
MDA_MB_231	6	0.7126623187914976	0.7613780626232529	FALSE	NG-29643_MDA_MB_231_lib581314_8005_3	MDA_MB_231	MDA_MB_231
CAL_120	6	0.6918227354564715	0.7463900507595861	FALSE	NG-29643_CAL_120_lib581301_8005_3	CAL_120	CAL_120
ETCC_006	5	0.8106778720030122	0.9602708827037592	FALSE	NG-29643_ETCC_006_lib581311_8005_3	ETCC_006	ETCC_006
HS_578T	5	0.8045159044429204	0.9602708827037592	FALSE	NG-30919_HS_578T_B_lib628473_10098_2	HS_578T	HS_578T
ETCC_007	5	0.8026414328300464	0.9403816006957085	FALSE	NG-29643_ETCC_007_lib581312_7997_4	ETCC_007	ETCC_007
CAL_51	5	0.6988232647641284	0.7463900507595861	FALSE	NG-29643_CAL_51_lib581295_7997_4	CAL_51	CAL_51
EFM_192C	5	0.6616015541914989	0.7443656280865584	FALSE	NG-29643_EFM_192C_lib581294_7997_4	EFM_192C	EFM_192C
HCC_1143	5	0.6443266644214573	0.691005291005291	FALSE	NG-29643_HCC_1143_lib581306_7997_4	HCC_1143	HCC_1143
T_47D	4	0.681248602613948	0.7443656280865584	FALSE	NG-29643_T_47D_lib581309_8005_3	T_47D	T_47D
HDQ_P1	4	0.652835567892072	0.6750741839762612	FALSE	NG-29643_HDQ_P1_lib581303_8005_3	HDQ_P1	HDQ_P1
CAL_85_1	4	0.6495986788661402	0.6756431410077646	FALSE	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1	CAL_85_1
MFM_223	3	0.7129177819273607	0.8071504050722085	FALSE	NG-29643_MFM_223_lib581297_7997_4	MFM_223	MFM_223
KPL_1	3	0.7094195765622647	0.877368606454618	FALSE	NG-29643_KPL_1_lib581296_7997_4	KPL_1	KPL_1
BT_474	3	0.6753955320676961	0.8071504050722085	FALSE	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474
JIMT_1	3	0.6499371835731522	0.6756431410077646	FALSE	NG-29643_JIMT_1_B_lib581287_7997_4	JIMT_1	JIMT_1
EFM_19	3	0.648706749081318	0.705037263176798	FALSE	NG-29643_EFM_19_lib581291_7997_4	EFM_19	EFM_19
HCC_1599	2	0.691005291005291	0.691005291005291	FALSE	NG-29643_HCC_1599_lib581304_7997_4	HCC_1599	HCC_1599
EFM_192B	2	0.6543094683346434	0.7135806684142887	FALSE	NG-29643_EFM_192B_lib581293_7997_4	EFM_192B	EFM_192B
COLO_824	2	0.6523809523809523	0.691005291005291	FALSE	NG-29643_COLO_824_lib581290_7997_4	COLO_824	COLO_824
MDA_MB_453	2	0.6467552630008602	0.652992167470403	FALSE	NG-29643_MDA_MB_453_lib581289_7997_4	MDA_MB_453	MDA_MB_453
EVSA_T	2	0.6244900528467301	0.6405183585313174	FALSE	NG-29643_EVSA_T_lib581299_7997_4	EVSA_T	EVSA_T
MCF_7	1	0.877368606454618	0.877368606454618	FALSE	NG-29643_MCF_7_lib581315_7997_4	MCF_7	MCF_7
EFM_192A	1	0.7135806684142887	0.7135806684142887	FALSE	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A	EFM_192A
HCC_1937	1	0.701710216599101	0.701710216599101	FALSE	NG-29643_HCC_1937_lib581305_7997_4	HCC_1937	HCC_1937
MDA_MB_468	1	0.701710216599101	0.701710216599101	FALSE	NG-30919_MDA_MB_468_B_lib628474_10098_2	MDA_MB_468	MDA_MB_468
CAL_148	1	0.6528707291299753	0.6528707291299753	FALSE	NG-29643_CAL_148_lib581302_7997_4	CAL_148	CAL_148
DU_4475	0	NA	NA	TRUE	NG-29643_DU_4475_lib581298_7997_4	DU_4475	DU_4475
IPH_926	0	NA	NA	TRUE	NG-29643_IPH_926_lib581313_7997_4	IPH_926	IPH_926
SK_BR_3	0	NA	NA	TRUE	NG-29643_SK_BR_3_lib581307_7997_4	SK_BR_3	SK_BR_3
