cell_line	sample_id	cell_tech_id	cell_line_display	degree	betweenness	component	community_louv	community_leid	mean_edge_sim	max_edge_sim	is_outlier
IMR_32	NG-A0611_IMR32_libLAB6079	IMR_32	IMR_32	5	8	1	3	1	0.7914683587697405	0.8437012633744813	FALSE
LAN6	NG-A0611_LAN6_libLAB6089	LAN6	LAN6	1	0	2	1	10	0.7631572930093202	0.7631572930093202	FALSE
LAN2	NG-A0611_LAN2_libLAB6083	LAN2	LAN2	1	0	2	1	11	0.7540328286862932	0.7540328286862932	FALSE
NGP	NG-A0611_NGP_libLAB6082	NGP	NGP	1	0	1	2	12	0.7534040096132066	0.7534040096132066	FALSE
MHH_NB_11	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11	MHH_NB_11	1	0	2	1	13	0.7361102150441361	0.7361102150441361	FALSE
CCLF_PEDS_0051_T	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	1	0	3	4	14	0.7233104799216454	0.7233104799216454	FALSE
GI_ME_N	NG-A0611_GIMEN_libLAB6073	GI_ME_N	GI_ME_N	1	0	3	4	15	0.7233104799216454	0.7233104799216454	FALSE
NBL_S	NG-A0611_NBLS_libLAB6077	NBL_S	NBL_S	4	9	2	1	2	0.7879552975659154	0.8650259372076364	FALSE
NMB	NG-A0611_NMB_libLAB6080	NMB	NMB	4	5	1	2	3	0.7757512000936987	0.8573832562053008	FALSE
CHP_126	NG-A0611_CHP126_libLAB6088	CHP_126	CHP_126	3	0	1	2	4	0.791030897609114	0.8573832562053008	FALSE
LAN5	NG-A0611_LAN5_libLAB6087	LAN5	LAN5	3	0	1	2	5	0.7729805946680016	0.8356256668433455	FALSE
CHP_134	NG-A0611_CHP134_libLAB6074	CHP_134	CHP_134	2	0	1	3	6	0.8149991514538715	0.8437012633744813	FALSE
LAN1	NG-A0611_LAN1_libLAB6085	LAN1	LAN1	2	0	1	3	7	0.7698505245732342	0.7862970395332618	FALSE
KELLY	NG-A0611_KELLY_libLAB6075	KELLY	KELLY	2	4	2	1	8	0.7528576732022739	0.7696051313604118	FALSE
SIMA	NG-A0611_SIMA_libLAB6086	SIMA	SIMA	1	0	2	1	9	0.8650259372076364	0.8650259372076364	FALSE
LS	NG-A0611_LS_libLAB6078	LS	LS	0	0	4	5	16	NA	NA	TRUE
SH_SY5Y	NG-A0611_SHSY5Y_libLAB6081	SH_SY5Y	SH_SY5Y	0	0	5	6	17	NA	NA	TRUE
SK_N_BE_2	NG-A0611_SKNBE2_libLAB6076	SK_N_BE_2	SK_N_BE_2	0	0	6	7	18	NA	NA	TRUE
