community_leiden	n_members	members	mean_degree	mean_mean_edge_sim
1	1	EFM_192C	7	0.6284433863948659
10	1	CAL_148	3	0.6558964787183764
11	1	EVSA_T	3	0.6514685964424387
12	1	EFM_192A	3	0.6514583493843382
13	1	HDQ_P1	3	0.6514492303492915
14	1	EFM_192B	3	0.6432076418522393
15	1	BT_474	3	0.6336290547772783
16	1	IPH_926	3	0.612505697148966
17	1	SK_BR_3	3	0.5944812235355853
18	1	T_47D	2	0.6898424922816166
19	1	MDA_MB_453	2	0.672595925792494
2	1	CAL_120	6	0.7226296797789789
20	1	HCC_1143	2	0.6133109670457114
21	1	MCF_7	1	0.8067476219232304
22	1	CAL_85_1	1	0.6883895131086142
23	1	EFM_19	1	0.6656607504266342
24	1	HCC_1937	1	0.636188097615988
25	1	MDA_MB_468	1	0.636188097615988
26	1	JIMT_1	1	0.6165199756920693
27	1	COLO_824	1	0.6104868913857678
28	1	HCC_1599	1	0.6104868913857678
29	1	DU_4475	0	NA
3	1	ETCC_006	5	0.8470588235294119
4	1	ETCC_007	5	0.8271963330786861
5	1	HS_578T	5	0.8271963330786861
6	1	CAL_51	4	0.7815126050420169
7	1	MDA_MB_231	4	0.692131398013751
8	1	KPL_1	4	0.6626113487018358
9	1	MFM_223	4	0.6550612329015613
