"sample_id","organ","tcga_code","best_tcga_overall","best_rho_overall","rho_allowed"
"NG-13640_KM_H2_lib248380_5904_3","Hematologic-Lymphoid","DLBC","ESCA",0.391911967516232,0.287607358425172
"NG-13640_KMS_12_BM_lib248379_5885_5","Hematologic-Lymphoid","DLBC","DLBC",0.445354274567324,0.445354274567324
"NG-13640_KOPN_8_lib227470_5697_7","Hematologic-Lymphoid","DLBC","LAML",0.502711060984075,0.482502176172237
"NG-13640_L_1236_lib241215_5808_7","Hematologic-Lymphoid","DLBC","ESCA",0.45584701186444,0.323556735541455
"NG-13640_L_363_lib241210_5808_6","Hematologic-Lymphoid","DLBC","LUAD",0.440424446892932,0.383685716312965
"NG-13640_L_428_lib241214_5808_7","Hematologic-Lymphoid","DLBC","ESCA",0.453995014308655,0.347223573355657
"NG-13640_LP_1_lib241211_5808_7","Hematologic-Lymphoid","DLBC","BRCA",0.477251541219076,0.329804238746635
"NG-13640_MINO_lib248384_5885_5","Hematologic-Lymphoid","DLBC","DLBC",0.587509553149113,0.587509553149113
"NG-13640_MOLT_4_lib241220_5808_2","Hematologic-Lymphoid","DLBC","THYM",0.516112030914647,0.380540568130859
"NALM_6","Hematologic-Lymphoid","DLBC","TGCT",0.441742105298101,0.426226266541966
"NG-13640_NALM_6_lib227471_5697_7","Hematologic-Lymphoid","DLBC","LAML",0.44647479630535,0.434215159990382
"NG-13640_NALM_6_lib227471_5706_1","Hematologic-Lymphoid","DLBC","THYM",0.429665705166527,0.417219429152273
"NG-13640_NK_92_lib227486_5684_6","Hematologic-Lymphoid","DLBC","STAD",0.393305100796739,0.365363731097469
"NG-13640_NU_DHL_1_lib227484_5697_4","Hematologic-Lymphoid","DLBC","DLBC",0.548884768253182,0.548884768253182
"NG-13640_OCILY19_lib236388_5774_8","Hematologic-Lymphoid","DLBC","DLBC",0.49930558200348,0.49930558200348
"NG-13640_OCI_LY_3_lib241204_5808_6","Hematologic-Lymphoid","DLBC","DLBC",0.548193578450753,0.548193578450753
"NG-13640_OCILY7_lib236387_5774_8","Hematologic-Lymphoid","DLBC","DLBC",0.547476613880031,0.547476613880031
"NG-13640_OPM2_lib236378_5767_8","Hematologic-Lymphoid","DLBC","LUAD",0.440984264606337,0.262613471769279
"NG-13640_REC_1_lib241207_5808_6","Hematologic-Lymphoid","DLBC","DLBC",0.519120607230832,0.519120607230832
"NG-13640_REH_lib227472_5697_7","Hematologic-Lymphoid","DLBC","SKCM",0.443379263979868,0.366903185901447
"NG-13640_Ri_1_lib241203_5808_6","Hematologic-Lymphoid","DLBC","DLBC",0.584699323168341,0.584699323168341
