"sample_id","organ","tcga_code"
"NG-13640_DEL_lib250969_5908_5","Hematologic-Lymphoid","DLBC"
"NG-13640_SR_786_lib248387_5885_5","Hematologic-Lymphoid","DLBC"
"NG-13640_SU_DHL_1_lib248388_5885_6","Hematologic-Lymphoid","DLBC"
"NG-13640_SUP_M2_lib248389_5885_6","Hematologic-Lymphoid","DLBC"
"NG-13640_SUP_M2_lib248389_5904_3","Hematologic-Lymphoid","DLBC"
"NG-13640_SET_2_lib259821_5981_7","Hematologic-Myeloid","LAML"
"NG-13640_BV_173_lib227468_5681_8","Hematologic-Myeloid","LAML"
"NG-13640_CMK_lib259808_5981_3","Hematologic-Myeloid","LAML"
"NG-13640_CML_T1_lib259818_5981_7","Hematologic-Myeloid","LAML"
"NG-13640_ELF_153_lib259809_5981_3","Hematologic-Myeloid","LAML"
"NG-13640_EM_2_lib259814_5981_7","Hematologic-Myeloid","LAML"
"NG-13640_EOL_1_lib248390_5885_6","Hematologic-Myeloid","LAML"
"NG-13640_F_36P_lib248396_5885_1","Hematologic-Myeloid","LAML"
"NG-13640_HEL_lib248397_5885_1","Hematologic-Myeloid","LAML"
"NG-13640_HL60_lib236384_5767_8","Hematologic-Myeloid","LAML"
"NG-13640_K_562_RNA_lib206692_5568_1","Hematologic-Myeloid","LAML"
"NG-13640_KASUMI_1_RNA_lib206691_5568_1","Hematologic-Myeloid","LAML"
"NG-13640_KCL_22_lib259815_5981_7","Hematologic-Myeloid","LAML"
"NG-13640_KG_1_lib248391_5885_6","Hematologic-Myeloid","LAML"
"NG-13640_KU812_lib236377_5767_8","Hematologic-Myeloid","LAML"
"NG-13640_LAMA_84_lib259816_5981_7","Hematologic-Myeloid","LAML"
"NG-13640_M_07e_lib259810_5981_3","Hematologic-Myeloid","LAML"
"NG-13640_ME_1_lib248393_5885_6","Hematologic-Myeloid","LAML"
"NG-13640_MEGAL_lib259811_5981_3","Hematologic-Myeloid","LAML"
"NG-13640_MKPL_1_lib259812_5981_3","Hematologic-Myeloid","LAML"
"NG-13640_MOLM13_lib236379_5767_8","Hematologic-Myeloid","LAML"
"NG-13640_MOLM_20_lib259817_5981_7","Hematologic-Myeloid","LAML"
"NG-13640_MONO_MAC_6_lib248394_5885_6","Hematologic-Myeloid","LAML"
"NG-13640_MONO_MAC_6_lib248394_5904_3","Hematologic-Myeloid","LAML"
"NG-13640_MUTZ_3_lib259806_5981_3","Hematologic-Myeloid","LAML"
"NG-13640_MUTZ_3_lib259806_5991_5","Hematologic-Myeloid","LAML"
"NG-13640_NALM_1_lib265127_5989_8","Hematologic-Myeloid","LAML"
"NG-13640_NB4_lib236380_5767_8","Hematologic-Myeloid","LAML"
"NG-13640_OCI_AML_3_lib248392_5885_6","Hematologic-Myeloid","LAML"
"NG-13640_OCI_M2_lib259807_5981_3","Hematologic-Myeloid","LAML"
"NG-13640_SKNO_1_lib259805_5981_3","Hematologic-Myeloid","LAML"
"NG-13640_SKNO_1_lib259805_5991_5","Hematologic-Myeloid","LAML"
"NG-13640_TF_1_lib259824_5972_8","Hematologic-Myeloid","LAML"
"NG-13640_THP_1_lib248383_5885_5","Hematologic-Myeloid","LAML"
