cell_line_group	cell_lineage	k	k_type	n_topk	n_same_lineage_topk	precision_at_k	recall_at_k	expected_same_lineage_fraction	null_expected_count	observed_count	enrichment_at_k	p_value_hypergeometric	q_value_BH
MDA_MB_468_B	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
MFM_223	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
MHHNB11	NBL	1	absolute	1	1	1	0.00409836065573771	0.216312056737589	0.216312056737589	1	4.62295081967213	0.216312056737589	0.230977280923188
NBLS	NBL	1	absolute	1	1	1	0.00409836065573771	0.216312056737589	0.216312056737589	1	4.62295081967213	0.216312056737589	0.230977280923188
NGP	NBL	1	absolute	1	1	1	0.00409836065573771	0.216312056737589	0.216312056737589	1	4.62295081967213	0.216312056737589	0.230977280923188
NMB	NBL	1	absolute	1	1	1	0.00409836065573771	0.216312056737589	0.216312056737589	1	4.62295081967213	0.216312056737589	0.230977280923188
RBL_13	RBL	1	absolute	1	1	1	0.0151515151515152	0.0585106382978723	0.0585106382978723	1	17.0909090909091	0.0585106382978724	0.0698800040334779
RBL_14	RBL	1	absolute	1	1	1	0.0151515151515152	0.0585106382978723	0.0585106382978723	1	17.0909090909091	0.0585106382978724	0.0698800040334779
RBL_15	RBL	1	absolute	1	1	1	0.0151515151515152	0.0585106382978723	0.0585106382978723	1	17.0909090909091	0.0585106382978724	0.0698800040334779
RBL_18	RBL	1	absolute	1	1	1	0.0151515151515152	0.0585106382978723	0.0585106382978723	1	17.0909090909091	0.0585106382978724	0.0698800040334779
RBL_20	RBL	1	absolute	1	1	1	0.0151515151515152	0.0585106382978723	0.0585106382978723	1	17.0909090909091	0.0585106382978724	0.0698800040334779
RBL_30	RBL	1	absolute	1	1	1	0.0151515151515152	0.0585106382978723	0.0585106382978723	1	17.0909090909091	0.0585106382978724	0.0698800040334779
RBL_7	RBL	1	absolute	1	1	1	0.0151515151515152	0.0585106382978723	0.0585106382978723	1	17.0909090909091	0.0585106382978724	0.0698800040334779
SHSY5Y	NBL	1	absolute	1	1	1	0.00409836065573771	0.216312056737589	0.216312056737589	1	4.62295081967213	0.216312056737589	0.230977280923188
SIMA	NBL	1	absolute	1	1	1	0.00409836065573771	0.216312056737589	0.216312056737589	1	4.62295081967213	0.216312056737589	0.230977280923188
SKNBE2	NBL	1	absolute	1	1	1	0.00409836065573771	0.216312056737589	0.216312056737589	1	4.62295081967213	0.216312056737589	0.230977280923188
SK_BR_3	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
T_47D	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
WERI_RB1	RBL	1	absolute	1	1	1	0.0151515151515152	0.0585106382978723	0.0585106382978723	1	17.0909090909091	0.0585106382978724	0.0698800040334779
Y_79	RBL	1	absolute	1	1	1	0.0151515151515152	0.0585106382978723	0.0585106382978723	1	17.0909090909091	0.0585106382978724	0.0698800040334779
BT_474	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
CAL_120	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
CAL_148	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
CAL_51	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
CAL_85_1	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
CCLF_PEDS_0051_T	NBL	5	absolute	5	3	0.6	0.0122950819672131	0.216312056737589	1.08156028368794	3	2.77377049180328	0.0707804547165402	0.0841352574932459
CHP126	NBL	5	absolute	5	5	1	0.0204918032786885	0.216312056737589	1.08156028368794	5	4.62295081967213	0.000458510737279302	0.000656504010195364
CHP134	NBL	5	absolute	5	5	1	0.0204918032786885	0.216312056737589	1.08156028368794	5	4.62295081967213	0.000458510737279302	0.000656504010195364
COLO_824	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
DU_4475	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
EFM_19	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
EFM_192A	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
EFM_192B	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
EFM_192C	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
ETCC_006	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
ETCC_007	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
EVSA_T	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
GIMEN	NBL	5	absolute	5	5	1	0.0204918032786885	0.216312056737589	1.08156028368794	5	4.62295081967213	0.000458510737279302	0.000656504010195364
HCC_1143	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
HCC_1599	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
HCC_1937	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
HDQ_P1	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
HS_578T_B	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
IMR32	NBL	5	absolute	5	5	1	0.0204918032786885	0.216312056737589	1.08156028368794	5	4.62295081967213	0.000458510737279302	0.000656504010195364
IPH_926	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
JIMT_1_B	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
KELLY	NBL	5	absolute	5	5	1	0.0204918032786885	0.216312056737589	1.08156028368794	5	4.62295081967213	0.000458510737279302	0.000656504010195364
KPL_1	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
LAN1	NBL	5	absolute	5	5	1	0.0204918032786885	0.216312056737589	1.08156028368794	5	4.62295081967213	0.000458510737279302	0.000656504010195364
LAN2	NBL	5	absolute	5	5	1	0.0204918032786885	0.216312056737589	1.08156028368794	5	4.62295081967213	0.000458510737279302	0.000656504010195364
LAN5	NBL	5	absolute	5	5	1	0.0204918032786885	0.216312056737589	1.08156028368794	5	4.62295081967213	0.000458510737279302	0.000656504010195364
LAN6	NBL	5	absolute	5	5	1	0.0204918032786885	0.216312056737589	1.08156028368794	5	4.62295081967213	0.000458510737279302	0.000656504010195364
LS	NBL	5	absolute	5	5	1	0.0204918032786885	0.216312056737589	1.08156028368794	5	4.62295081967213	0.000458510737279302	0.000656504010195364
MCF_7	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
MDA_MB_231	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
MDA_MB_453	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
MDA_MB_468_B	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
MFM_223	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
MHHNB11	NBL	5	absolute	5	5	1	0.0204918032786885	0.216312056737589	1.08156028368794	5	4.62295081967213	0.000458510737279302	0.000656504010195364
NBLS	NBL	5	absolute	5	5	1	0.0204918032786885	0.216312056737589	1.08156028368794	5	4.62295081967213	0.000458510737279302	0.000656504010195364
NGP	NBL	5	absolute	5	5	1	0.0204918032786885	0.216312056737589	1.08156028368794	5	4.62295081967213	0.000458510737279302	0.000656504010195364
NMB	NBL	5	absolute	5	5	1	0.0204918032786885	0.216312056737589	1.08156028368794	5	4.62295081967213	0.000458510737279302	0.000656504010195364
RBL_13	RBL	5	absolute	5	5	1	0.0757575757575758	0.0585106382978723	0.292553191489362	5	17.0909090909091	5.9248759955857e-07	9.85523927978611e-07
RBL_14	RBL	5	absolute	5	5	1	0.0757575757575758	0.0585106382978723	0.292553191489362	5	17.0909090909091	5.9248759955857e-07	9.85523927978611e-07
RBL_15	RBL	5	absolute	5	5	1	0.0757575757575758	0.0585106382978723	0.292553191489362	5	17.0909090909091	5.9248759955857e-07	9.85523927978611e-07
RBL_18	RBL	5	absolute	5	5	1	0.0757575757575758	0.0585106382978723	0.292553191489362	5	17.0909090909091	5.9248759955857e-07	9.85523927978611e-07
RBL_20	RBL	5	absolute	5	5	1	0.0757575757575758	0.0585106382978723	0.292553191489362	5	17.0909090909091	5.9248759955857e-07	9.85523927978611e-07
RBL_30	RBL	5	absolute	5	5	1	0.0757575757575758	0.0585106382978723	0.292553191489362	5	17.0909090909091	5.9248759955857e-07	9.85523927978611e-07
RBL_7	RBL	5	absolute	5	5	1	0.0757575757575758	0.0585106382978723	0.292553191489362	5	17.0909090909091	5.9248759955857e-07	9.85523927978611e-07
SHSY5Y	NBL	5	absolute	5	5	1	0.0204918032786885	0.216312056737589	1.08156028368794	5	4.62295081967213	0.000458510737279302	0.000656504010195364
SIMA	NBL	5	absolute	5	5	1	0.0204918032786885	0.216312056737589	1.08156028368794	5	4.62295081967213	0.000458510737279302	0.000656504010195364
SKNBE2	NBL	5	absolute	5	5	1	0.0204918032786885	0.216312056737589	1.08156028368794	5	4.62295081967213	0.000458510737279302	0.000656504010195364
SK_BR_3	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
T_47D	BRCA	5	absolute	5	5	1	0.00611246943765281	0.725177304964539	3.6258865248227	5	1.37897310513447	0.199874455063283	0.220430471229529
WERI_RB1	RBL	5	absolute	5	5	1	0.0757575757575758	0.0585106382978723	0.292553191489362	5	17.0909090909091	5.9248759955857e-07	9.85523927978611e-07
Y_79	RBL	5	absolute	5	5	1	0.0757575757575758	0.0585106382978723	0.292553191489362	5	17.0909090909091	5.9248759955857e-07	9.85523927978611e-07
BT_474	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
CAL_120	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
CAL_148	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
CAL_51	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
CAL_85_1	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
CCLF_PEDS_0051_T	NBL	10	absolute	10	4	0.4	0.0163934426229508	0.216312056737589	2.16312056737589	4	1.84918032786885	0.150402192559934	0.177523899415004
CHP126	NBL	10	absolute	10	10	1	0.040983606557377	0.216312056737589	2.16312056737589	10	4.62295081967213	1.93653898626748e-07	3.33111143030311e-07
CHP134	NBL	10	absolute	10	10	1	0.040983606557377	0.216312056737589	2.16312056737589	10	4.62295081967213	1.93653898626748e-07	3.33111143030311e-07
COLO_824	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
DU_4475	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
EFM_19	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
EFM_192A	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
EFM_192B	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
EFM_192C	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
ETCC_006	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
ETCC_007	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
EVSA_T	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
GIMEN	NBL	10	absolute	10	9	0.9	0.0368852459016393	0.216312056737589	2.16312056737589	9	4.16065573770492	7.47833672356484e-06	1.23576449464809e-05
HCC_1143	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
HCC_1599	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
HCC_1937	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
HDQ_P1	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
HS_578T_B	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
IMR32	NBL	10	absolute	10	10	1	0.040983606557377	0.216312056737589	2.16312056737589	10	4.62295081967213	1.93653898626748e-07	3.33111143030311e-07
IPH_926	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
JIMT_1_B	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
KELLY	NBL	10	absolute	10	10	1	0.040983606557377	0.216312056737589	2.16312056737589	10	4.62295081967213	1.93653898626748e-07	3.33111143030311e-07
KPL_1	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
LAN1	NBL	10	absolute	10	10	1	0.040983606557377	0.216312056737589	2.16312056737589	10	4.62295081967213	1.93653898626748e-07	3.33111143030311e-07
LAN2	NBL	10	absolute	10	10	1	0.040983606557377	0.216312056737589	2.16312056737589	10	4.62295081967213	1.93653898626748e-07	3.33111143030311e-07
LAN5	NBL	10	absolute	10	10	1	0.040983606557377	0.216312056737589	2.16312056737589	10	4.62295081967213	1.93653898626748e-07	3.33111143030311e-07
LAN6	NBL	10	absolute	10	10	1	0.040983606557377	0.216312056737589	2.16312056737589	10	4.62295081967213	1.93653898626748e-07	3.33111143030311e-07
LS	NBL	10	absolute	10	10	1	0.040983606557377	0.216312056737589	2.16312056737589	10	4.62295081967213	1.93653898626748e-07	3.33111143030311e-07
MCF_7	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
MDA_MB_231	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
MDA_MB_453	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
MDA_MB_468_B	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
MFM_223	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
MHHNB11	NBL	10	absolute	10	10	1	0.040983606557377	0.216312056737589	2.16312056737589	10	4.62295081967213	1.93653898626748e-07	3.33111143030311e-07
NBLS	NBL	10	absolute	10	10	1	0.040983606557377	0.216312056737589	2.16312056737589	10	4.62295081967213	1.93653898626748e-07	3.33111143030311e-07
NGP	NBL	10	absolute	10	10	1	0.040983606557377	0.216312056737589	2.16312056737589	10	4.62295081967213	1.93653898626748e-07	3.33111143030311e-07
NMB	NBL	10	absolute	10	10	1	0.040983606557377	0.216312056737589	2.16312056737589	10	4.62295081967213	1.93653898626748e-07	3.33111143030311e-07
RBL_13	RBL	10	absolute	10	10	1	0.151515151515152	0.0585106382978723	0.585106382978723	10	17.0909090909091	2.38940009447255e-13	6.05154596791038e-13
RBL_14	RBL	10	absolute	10	10	1	0.151515151515152	0.0585106382978723	0.585106382978723	10	17.0909090909091	2.38940009447255e-13	6.05154596791038e-13
RBL_15	RBL	10	absolute	10	10	1	0.151515151515152	0.0585106382978723	0.585106382978723	10	17.0909090909091	2.38940009447255e-13	6.05154596791038e-13
RBL_18	RBL	10	absolute	10	10	1	0.151515151515152	0.0585106382978723	0.585106382978723	10	17.0909090909091	2.38940009447255e-13	6.05154596791038e-13
RBL_20	RBL	10	absolute	10	10	1	0.151515151515152	0.0585106382978723	0.585106382978723	10	17.0909090909091	2.38940009447255e-13	6.05154596791038e-13
RBL_30	RBL	10	absolute	10	10	1	0.151515151515152	0.0585106382978723	0.585106382978723	10	17.0909090909091	2.38940009447255e-13	6.05154596791038e-13
RBL_7	RBL	10	absolute	10	10	1	0.151515151515152	0.0585106382978723	0.585106382978723	10	17.0909090909091	2.38940009447255e-13	6.05154596791038e-13
SHSY5Y	NBL	10	absolute	10	10	1	0.040983606557377	0.216312056737589	2.16312056737589	10	4.62295081967213	1.93653898626748e-07	3.33111143030311e-07
SIMA	NBL	10	absolute	10	10	1	0.040983606557377	0.216312056737589	2.16312056737589	10	4.62295081967213	1.93653898626748e-07	3.33111143030311e-07
SKNBE2	NBL	10	absolute	10	10	1	0.040983606557377	0.216312056737589	2.16312056737589	10	4.62295081967213	1.93653898626748e-07	3.33111143030311e-07
SK_BR_3	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
T_47D	BRCA	10	absolute	10	10	1	0.0122249388753056	0.725177304964539	7.25177304964539	10	1.37897310513447	0.0396124703619921	0.0484579734525341
WERI_RB1	RBL	10	absolute	10	10	1	0.151515151515152	0.0585106382978723	0.585106382978723	10	17.0909090909091	2.38940009447255e-13	6.05154596791038e-13
Y_79	RBL	10	absolute	10	10	1	0.151515151515152	0.0585106382978723	0.585106382978723	10	17.0909090909091	2.38940009447255e-13	6.05154596791038e-13
BT_474	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
CAL_120	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
CAL_148	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
CAL_51	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
CAL_85_1	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
CCLF_PEDS_0051_T	NBL	12	percentile	12	5	0.416666666666667	0.0204918032786885	0.216312056737589	2.59574468085106	5	1.92622950819672	0.0950916844715507	0.112767550526262
CHP126	NBL	12	percentile	12	12	1	0.0491803278688525	0.216312056737589	2.59574468085106	12	4.62295081967213	8.45479430826527e-09	1.73220176071776e-08
CHP134	NBL	12	percentile	12	12	1	0.0491803278688525	0.216312056737589	2.59574468085106	12	4.62295081967213	8.45479430826527e-09	1.73220176071776e-08
COLO_824	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
DU_4475	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
EFM_19	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
EFM_192A	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
EFM_192B	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
EFM_192C	BRCA	12	percentile	12	12	1	0.0146699266503667	0.725177304964539	8.70212765957447	12	1.37897310513447	0.0206833959593076	0.027289087862542
