cell_line_group	cell_lineage	k	k_type	n_topk	n_same_lineage_topk	precision_at_k	recall_at_k	expected_same_lineage_fraction	null_expected_count	observed_count	enrichment_at_k	p_value_hypergeometric	q_value_BH
BT_474	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
CAL_120	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
CAL_148	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
CAL_51	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
CAL_85_1	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
CCLF_PEDS_0051_T	NBL	1	absolute	1	0	0	0	0.216312056737589	0.216312056737589	0	0	1	1
CHP126	NBL	1	absolute	1	1	1	0.00409836065573771	0.216312056737589	0.216312056737589	1	4.62295081967213	0.216312056737589	0.230977280923188
CHP134	NBL	1	absolute	1	1	1	0.00409836065573771	0.216312056737589	0.216312056737589	1	4.62295081967213	0.216312056737589	0.230977280923188
COLO_824	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
DU_4475	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
EFM_19	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
EFM_192A	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
EFM_192B	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
EFM_192C	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
ETCC_006	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
ETCC_007	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
EVSA_T	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
GIMEN	NBL	1	absolute	0	0		0	0.216312056737589	0	0		1	1
HCC_1143	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
HCC_1599	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
HCC_1937	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
HDQ_P1	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
HS_578T_B	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
IMR32	NBL	1	absolute	1	1	1	0.00409836065573771	0.216312056737589	0.216312056737589	1	4.62295081967213	0.216312056737589	0.230977280923188
IPH_926	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
JIMT_1_B	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
KELLY	NBL	1	absolute	1	1	1	0.00409836065573771	0.216312056737589	0.216312056737589	1	4.62295081967213	0.216312056737589	0.230977280923188
KPL_1	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
LAN1	NBL	1	absolute	1	1	1	0.00409836065573771	0.216312056737589	0.216312056737589	1	4.62295081967213	0.216312056737589	0.230977280923188
LAN2	NBL	1	absolute	1	1	1	0.00409836065573771	0.216312056737589	0.216312056737589	1	4.62295081967213	0.216312056737589	0.230977280923188
LAN5	NBL	1	absolute	1	1	1	0.00409836065573771	0.216312056737589	0.216312056737589	1	4.62295081967213	0.216312056737589	0.230977280923188
LAN6	NBL	1	absolute	0	0		0	0.216312056737589	0	0		1	1
LS	NBL	1	absolute	1	1	1	0.00409836065573771	0.216312056737589	0.216312056737589	1	4.62295081967213	0.216312056737589	0.230977280923188
MCF_7	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
MDA_MB_231	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
MDA_MB_453	BRCA	1	absolute	1	1	1	0.00122249388753056	0.725177304964539	0.725177304964539	1	1.37897310513447	0.725177304964539	0.729519684036183
