cell_line_group	cell_line_raw_examples	cell_lineage	n_total_tumours_all	n_total_tumours_eval	n_same_lineage_tumours	top1_tumour	top1_tumour_lineage	top1_score	top1_same_lineage	top1_rank	top1_rank_percentile	best_same_lineage_rank	median_same_lineage_rank	same_lineage_rank_IQR_lower	same_lineage_rank_IQR_upper	median_same_lineage_rank_percentile	same_lineage_rank_percentile_IQR_lower	same_lineage_rank_percentile_IQR_upper	delta_top1_top2	delta_top1_top10	top1_tumour_component	top1_component_label	score_rank2	score_rank10	score_IQR_top10	fraction_same_lineage_in_top_1pct	fraction_same_lineage_in_top_5pct	fraction_same_lineage_in_top_10pct	fraction_same_lineage_in_top_20pct
BT_474	BT_474	BRCA	1128	1128	818	TCGA-E2-A107-01A-11R-A10J-07	BRCA	0.606828857544036	TRUE	1	0.000886524822695036	1	409.5	205.25	613.75	0.363031914893617	0.181959219858156	0.544104609929078	0.051463972155543	0.085530228385387	1	Component 1	0.555364885388493	0.521298629158649	0.0137157427429617	0.0134474327628362	0.0684596577017115	0.136919315403423	0.275061124694377
CAL_120	CAL_120	BRCA	1128	1128	818	TCGA-BH-A0AV-01A-31R-A115-07	BRCA	0.409844752602703	TRUE	1	0.000886524822695036	1	417.5	208.25	630.75	0.370124113475177	0.184618794326241	0.559175531914894	0.005351549498196	0.07126721817737	1	Component 1	0.404493203104507	0.338577534425333	0.033628927199265	0.0134474327628362	0.0684596577017115	0.136919315403423	0.271393643031785
CAL_148	CAL_148	BRCA	1128	1128	818	TCGA-E2-A107-01A-11R-A10J-07	BRCA	0.632080420929192	TRUE	1	0.000886524822695036	1	409.5	205.25	613.75	0.363031914893617	0.181959219858156	0.544104609929078	0.0781846877528031	0.11804775791722	1	Component 1	0.553895733176389	0.514032663011972	0.023865512505979	0.0134474327628362	0.0684596577017115	0.136919315403423	0.275061124694377
CAL_51	CAL_51	BRCA	1128	1128	818	TCGA-BH-A0BJ-01A-11R-A056-07	BRCA	0.356362983095381	TRUE	1	0.000886524822695036	1	411.5	205.25	618.75	0.364804964539007	0.181959219858156	0.548537234042553	0.00402435287867803	0.035082869883592	1	Component 1	0.352338630216703	0.321280113211789	0.0193040869544133	0.0134474327628362	0.0684596577017115	0.136919315403423	0.275061124694377
CAL_85_1	CAL_85_1	BRCA	1128	1128	818	TCGA-BH-A0B3-01A-11R-A056-07	BRCA	0.504145147389141	TRUE	1	0.000886524822695036	1	409.5	205.25	613.75	0.363031914893617	0.181959219858156	0.544104609929078	0.047368861908509	0.08421780043777	1	Component 1	0.456776285480632	0.419927346951371	0.010653282282223	0.0134474327628362	0.0684596577017115	0.136919315403423	0.275061124694377
CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	NBL	1128	1128	244	TCGA-BH-A0AV-01A-31R-A115-07	BRCA	0.472824541564994	FALSE	1	0.000886524822695036	3	451	232.5	678.25	0.399822695035461	0.206117021276596	0.601285460992908	0.023365361512841	0.093571219164886	1	Component 1	0.449459180052153	0.379253322400108	0.0383811331318615	0.0163934426229508	0.0737704918032787	0.135245901639344	0.245901639344262
CHP126	CHP126	NBL	1128	1128	244	TARGET-30-PASCFC-01A-01R	NBL	0.607211079589916	TRUE	1	0.000886524822695036	1	122.5	61.75	183.25	0.108599290780142	0.0547429078014184	0.162455673758865	0.00830263874285508	0.021978428921909	1	Component 1	0.598908440847061	0.585232650668007	0.00905600633069092	0.0450819672131148	0.229508196721311	0.459016393442623	0.922131147540984
CHP134	CHP134	NBL	1128	1128	244	GSE189367_SRR17011024	NBL	0.504836629833158	TRUE	1	0.000886524822695036	1	122.5	61.75	185.25	0.108599290780142	0.0547429078014184	0.164228723404255	0.00448306341932203	0.034720486352204	58	Component 58	0.500353566413836	0.470116143480954	0.011774984955793	0.0450819672131148	0.229508196721311	0.459016393442623	0.885245901639344
COLO_824	COLO_824	BRCA	1128	1128	818	TCGA-OL-A6VO-01A-12R-A33J-07	BRCA	0.465367684823316	TRUE	1	0.000886524822695036	1	409.5	205.25	613.75	0.363031914893617	0.181959219858156	0.544104609929078	0.029374888408356	0.07651869339135	1	Component 1	0.43599279641496	0.388848991431966	0.0225294987689108	0.0134474327628362	0.0684596577017115	0.136919315403423	0.275061124694377
DU_4475	DU_4475	BRCA	1128	1128	818	TCGA-A7-A3J0-01A-11R-A213-07	BRCA	0.268583508022475	TRUE	1	0.000886524822695036	1	409.5	205.25	624.75	0.363031914893617	0.181959219858156	0.553856382978723	0.00665934845909899	0.029910307871702	1	Component 1	0.261924159563376	0.238673200150773	0.0156501632268888	0.0134474327628362	0.0684596577017115	0.136919315403423	0.275061124694377
EFM_19	EFM_19	BRCA	1128	1128	818	TCGA-EW-A1OY-01A-11R-A144-07	BRCA	0.572529608982879	TRUE	1	0.000886524822695036	1	409.5	205.25	613.75	0.363031914893617	0.181959219858156	0.544104609929078	0.019422126115641	0.0378375578347799	1	Component 1	0.553107482867238	0.534692051148099	0.00944776188492313	0.0134474327628362	0.0684596577017115	0.136919315403423	0.275061124694377
EFM_192A	EFM_192A	BRCA	1128	1128	818	TCGA-B6-A0IG-01A-11R-A034-07	BRCA	0.59704163663336	TRUE	1	0.000886524822695036	1	409.5	205.25	613.75	0.363031914893617	0.181959219858156	0.544104609929078	0.00235417038638797	0.045910951521283	1	Component 1	0.594687466246972	0.551130685112077	0.0197328744023643	0.0134474327628362	0.0684596577017115	0.136919315403423	0.275061124694377
EFM_192B	EFM_192B	BRCA	1128	1128	818	TCGA-A8-A092-01A-11R-A00Z-07	BRCA	0.600145041583731	TRUE	1	0.000886524822695036	1	409.5	205.25	613.75	0.363031914893617	0.181959219858156	0.544104609929078	0.0259697176097681	0.0825343922691521	1	Component 1	0.574175323973963	0.517610649314579	0.045535617848491	0.0134474327628362	0.0684596577017115	0.136919315403423	0.275061124694377
EFM_192C	EFM_192C	BRCA	1128	1128	818	TCGA-E2-A107-01A-11R-A10J-07	BRCA	0.638488701965997	TRUE	1	0.000886524822695036	1	409.5	205.25	613.75	0.363031914893617	0.181959219858156	0.544104609929078	0.057046089277724	0.084215596158382	1	Component 1	0.581442612688273	0.554273105807615	0.0160690865245793	0.0134474327628362	0.0684596577017115	0.136919315403423	0.275061124694377
ETCC_006	ETCC_006	BRCA	1128	1128	818	TCGA-A1-A0SH-01A-11R-A084-07	BRCA	0.507405276603999	TRUE	1	0.000886524822695036	1	438.5	214.25	697.75	0.388741134751773	0.189937943262411	0.618572695035461	0.00800550188135202	0.106244723506215	1	Component 1	0.499399774722647	0.401160553097784	0.0681198378532085	0.0134474327628362	0.0672371638141809	0.13080684596577	0.264058679706602
ETCC_007	ETCC_007	BRCA	1128	1128	818	TCGA-A1-A0SH-01A-11R-A084-07	BRCA	0.491818376195546	TRUE	1	0.000886524822695036	1	424.5	210.25	645.75	0.376329787234043	0.186391843971631	0.572473404255319	0.014691742548985	0.068564551219738	1	Component 1	0.477126633646561	0.423253824975808	0.0277754632844205	0.0134474327628362	0.0672371638141809	0.135696821515892	0.268948655256724
EVSA_T	EVSA_T	BRCA	1128	1128	818	TCGA-E2-A107-01A-11R-A10J-07	BRCA	0.581898457665712	TRUE	1	0.000886524822695036	1	409.5	205.25	613.75	0.363031914893617	0.181959219858156	0.544104609929078	0.018069580283161	0.068888800717713	1	Component 1	0.563828877382551	0.513009656947999	0.0245200181632619	0.0134474327628362	0.0684596577017115	0.136919315403423	0.275061124694377
GIMEN	GIMEN	NBL	1128	1128	244	GSE100148_SRR5710467	NBL	0.490139376585704	TRUE	1.5	0.00132978723404255	1.5	149.25	70.75	244.25	0.132313829787234	0.0627216312056738	0.216533687943262	0	0.104096432814667	1	Component 1	0.490139376585704	0.386042943771037	0.0600789021806945	0.040983606557377	0.19672131147541	0.385245901639344	0.704918032786885
HCC_1143	HCC_1143	BRCA	1128	1128	818	TCGA-AO-A0J4-01A-11R-A034-07	BRCA	0.508420126834236	TRUE	1	0.000886524822695036	1	409.5	205.25	613.75	0.363031914893617	0.181959219858156	0.544104609929078	0.035919393911339	0.064226529384146	1	Component 1	0.472500732922897	0.44419359745009	0.0195155875616922	0.0134474327628362	0.0684596577017115	0.136919315403423	0.275061124694377
HCC_1599	HCC_1599	BRCA	1128	1128	818	TCGA-A7-A13E-01A-11R-A12P-07	BRCA	0.429490392648287	TRUE	1	0.000886524822695036	1	409.5	205.25	613.75	0.363031914893617	0.181959219858156	0.544104609929078	0.000593392011249971	0.036370830330002	1	Component 1	0.428897000637037	0.393119562318285	0.02257358435667	0.0134474327628362	0.0684596577017115	0.136919315403423	0.275061124694377
HCC_1937	HCC_1937	BRCA	1128	1128	818	TCGA-OL-A5RX-01A-11R-A28M-07	BRCA	0.449940153814616	TRUE	1	0.000886524822695036	1	409.5	205.25	613.75	0.363031914893617	0.181959219858156	0.544104609929078	0.00274476869394302	0.019084430513399	1	Component 1	0.447195385120673	0.430855723301217	0.00840475198550522	0.0134474327628362	0.0684596577017115	0.136919315403423	0.275061124694377
