cell_line_group	cell_line_raw_examples	cell_lineage	n_total_tumours_all	n_total_tumours_eval	n_same_lineage_tumours	top1_tumour	top1_tumour_lineage	top1_score	top1_same_lineage	top1_rank	top1_rank_percentile	best_same_lineage_rank	median_same_lineage_rank	same_lineage_rank_IQR_lower	same_lineage_rank_IQR_upper	median_same_lineage_rank_percentile	same_lineage_rank_percentile_IQR_lower	same_lineage_rank_percentile_IQR_upper	delta_top1_top2	delta_top1_top10	top1_tumour_component	top1_component_label	score_rank2	score_rank10	score_IQR_top10	fraction_same_lineage_in_top_1pct	fraction_same_lineage_in_top_5pct	fraction_same_lineage_in_top_10pct	fraction_same_lineage_in_top_20pct
HDQ_P1	HDQ_P1	BRCA	1128	1128	818	TCGA-A7-A6VY-01A-12R-A33J-07	BRCA	0.442280062513364	TRUE	1	0.000886524822695036	1	409.5	205.25	613.75	0.363031914893617	0.181959219858156	0.544104609929078	0.013115241930685	0.045423364920658	1	Component 1	0.429164820582679	0.396856697592706	0.0105975691206912	0.0134474327628362	0.0684596577017115	0.136919315403423	0.275061124694377
HS_578T_B	HS_578T_B	BRCA	1128	1128	818	TCGA-EW-A1PG-01A-11R-A144-07	BRCA	0.413586076007962	TRUE	1	0.000886524822695036	1	455.5	222.25	730.5	0.403812056737589	0.197030141843972	0.647606382978723	0.017569208862085	0.048619570033263	1	Component 1	0.396016867145877	0.364966505974699	0.025991925724602	0.0134474327628362	0.0623471882640587	0.128361858190709	0.254278728606357
IMR32	IMR32	NBL	1128	1128	244	TARGET-30-PASWFB-01A-01R	NBL	0.673724107983239	TRUE	1	0.000886524822695036	1	122.5	61.75	183.25	0.108599290780142	0.0547429078014184	0.162455673758865	0.00283183772976903	0.025105199233793	1	Component 1	0.67089227025347	0.648618908749446	0.0139198039073061	0.0450819672131148	0.229508196721311	0.459016393442623	0.922131147540984
IPH_926	IPH_926	BRCA	1128	1128	818	TCGA-BH-A0W3-01A-11R-A109-07	BRCA	0.570381759147209	TRUE	1	0.000886524822695036	1	409.5	205.25	613.75	0.363031914893617	0.181959219858156	0.544104609929078	0.00409709409848302	0.053255830870052	1	Component 1	0.566284665048726	0.517125928277157	0.0314481233867427	0.0134474327628362	0.0684596577017115	0.136919315403423	0.275061124694377
JIMT_1_B	JIMT_1_B	BRCA	1128	1128	818	TCGA-BH-A0B3-01A-11R-A056-07	BRCA	0.430903335735998	TRUE	1	0.000886524822695036	1	409.5	205.25	613.75	0.363031914893617	0.181959219858156	0.544104609929078	0.020920595243606	0.048573721021992	1	Component 1	0.409982740492392	0.382329614714006	0.0150426638275548	0.0134474327628362	0.0684596577017115	0.136919315403423	0.275061124694377
KELLY	KELLY	NBL	1128	1128	244	TARGET-30-PATAYJ-01A-01R	NBL	0.647443146123885	TRUE	1	0.000886524822695036	1	122.5	61.75	183.25	0.108599290780142	0.0547429078014184	0.162455673758865	0.0125840105981749	0.032384170628859	1	Component 1	0.63485913552571	0.615058975495026	0.0133837231601435	0.0450819672131148	0.229508196721311	0.459016393442623	0.922131147540984
KPL_1	KPL_1	BRCA	1128	1128	818	TCGA-B6-A0IG-01A-11R-A034-07	BRCA	0.57596740311641	TRUE	1	0.000886524822695036	1	409.5	205.25	613.75	0.363031914893617	0.181959219858156	0.544104609929078	0.00165232782924707	0.0365952259717011	1	Component 1	0.574315075287163	0.539372177144709	0.0135990261493665	0.0134474327628362	0.0684596577017115	0.136919315403423	0.275061124694377
LAN1	LAN1	NBL	1128	1128	244	TARGET-30-PASWFB-01A-01R	NBL	0.637243284111775	TRUE	1	0.000886524822695036	1	122.5	61.75	183.25	0.108599290780142	0.0547429078014184	0.162455673758865	0.011595832148534	0.061430180552525	1	Component 1	0.625647451963241	0.57581310355925	0.0268822892764016	0.0450819672131148	0.229508196721311	0.459016393442623	0.844262295081967
LAN2	LAN2	NBL	1128	1128	244	SRP409177_SRR22373278	NBL	0.605751185351241	TRUE	1	0.000886524822695036	1	122.5	61.75	183.25	0.108599290780142	0.0547429078014184	0.162455673758865	0.00857464681933495	0.03631616420118	1	Component 1	0.597176538531906	0.569435021150061	0.010897847080321	0.0450819672131148	0.229508196721311	0.459016393442623	0.922131147540984
LAN5	LAN5	NBL	1128	1128	244	TARGET-30-PATFXV-01A-01R	NBL	0.649816934596826	TRUE	1	0.000886524822695036	1	122.5	61.75	183.25	0.108599290780142	0.0547429078014184	0.162455673758865	0.012962044513218	0.0454749450583359	1	Component 1	0.636854890083608	0.60434198953849	0.0192097989035915	0.0450819672131148	0.229508196721311	0.459016393442623	0.922131147540984
LAN6	LAN6	NBL	1128	1128	244	GSE100148_SRR5710452	NBL	0.75768444858849	TRUE	1.5	0.00132978723404255	1.5	122.5	61.75	183.25	0.108599290780142	0.0547429078014184	0.162455673758865	0	0.18904671529307	60	Component 60	0.75768444858849	0.56863773329542	0.0374777643316738	0.0450819672131148	0.229508196721311	0.459016393442623	0.922131147540984
LS	LS	NBL	1128	1128	244	SRP409177_SRR22373279	NBL	0.597592265624483	TRUE	1	0.000886524822695036	1	124.5	61.75	188.5	0.110372340425532	0.0547429078014184	0.167109929078014	0.014228403021626	0.0442927900225489	1	Component 1	0.583363862602857	0.553299475601934	0.021199712121112	0.0450819672131148	0.229508196721311	0.450819672131148	0.901639344262295
MCF_7	MCF_7	BRCA	1128	1128	818	TCGA-E2-A107-01A-11R-A10J-07	BRCA	0.601711182088908	TRUE	1	0.000886524822695036	1	409.5	205.25	613.75	0.363031914893617	0.181959219858156	0.544104609929078	0.000633730324051895	0.038499943790876	1	Component 1	0.601077451764856	0.563211238298032	0.0130635515790355	0.0134474327628362	0.0684596577017115	0.136919315403423	0.275061124694377
MDA_MB_231	MDA_MB_231	BRCA	1128	1128	818	TCGA-EW-A1PG-01A-11R-A144-07	BRCA	0.456484659317599	TRUE	1	0.000886524822695036	1	428	213.25	669.75	0.379432624113475	0.189051418439716	0.59375	0.018852981177658	0.101167827219764	1	Component 1	0.437631678139941	0.355316832097835	0.0427554153633865	0.0134474327628362	0.0672371638141809	0.132029339853301	0.265281173594132
MDA_MB_453	MDA_MB_453	BRCA	1128	1128	818	TCGA-LL-A6FP-01A-11R-A31O-07	BRCA	0.65782949017222	TRUE	1	0.000886524822695036	1	409.5	205.25	613.75	0.363031914893617	0.181959219858156	0.544104609929078	0.00149097457804503	0.0643927320500011	1	Component 1	0.656338515594175	0.593436758122219	0.027612181288754	0.0134474327628362	0.0684596577017115	0.136919315403423	0.275061124694377
MDA_MB_468_B	MDA_MB_468_B	BRCA	1128	1128	818	TCGA-B6-A0X0-01A-21R-A115-07	BRCA	0.474210592444171	TRUE	1	0.000886524822695036	1	409.5	205.25	613.75	0.363031914893617	0.181959219858156	0.544104609929078	0.000696552286609031	0.049328907140322	1	Component 1	0.473514040157562	0.424881685303849	0.0120471583532265	0.0134474327628362	0.0684596577017115	0.136919315403423	0.275061124694377
MFM_223	MFM_223	BRCA	1128	1128	818	TCGA-C8-A274-01A-11R-A16F-07	BRCA	0.598557739996429	TRUE	1	0.000886524822695036	1	409.5	205.25	613.75	0.363031914893617	0.181959219858156	0.544104609929078	0.022388645316016	0.080039148001931	1	Component 1	0.576169094680413	0.518518591994498	0.0339629857405162	0.0134474327628362	0.0684596577017115	0.136919315403423	0.275061124694377
MHHNB11	MHHNB11	NBL	1128	1128	244	TARGET-30-PASPBZ-01A-01R	NBL	0.688415409676346	TRUE	1	0.000886524822695036	1	122.5	61.75	183.25	0.108599290780142	0.0547429078014184	0.162455673758865	0.0090485668877559	0.0331107011151449	1	Component 1	0.67936684278859	0.655304708561201	0.00983422716862592	0.0450819672131148	0.229508196721311	0.459016393442623	0.922131147540984
NBLS	NBLS	NBL	1128	1128	244	TARGET-30-PASXGP-01A-01R	NBL	0.648915604755072	TRUE	1	0.000886524822695036	1	122.5	61.75	183.25	0.108599290780142	0.0547429078014184	0.162455673758865	0.00702856525659001	0.040282544531955	1	Component 1	0.641887039498482	0.608633060223117	0.0140813775864465	0.0450819672131148	0.229508196721311	0.459016393442623	0.922131147540984
NGP	NGP	NBL	1128	1128	244	TARGET-30-PATAYJ-01A-01R	NBL	0.636118660768015	TRUE	1	0.000886524822695036	1	122.5	61.75	183.25	0.108599290780142	0.0547429078014184	0.162455673758865	0.00728139610239309	0.0333234140760871	1	Component 1	0.628837264665622	0.602795246691928	0.0106796785278938	0.0450819672131148	0.229508196721311	0.459016393442623	0.922131147540984
NMB	NMB	NBL	1128	1128	244	TARGET-30-PASXGP-01A-01R	NBL	0.669472273471718	TRUE	1	0.000886524822695036	1	122.5	61.75	183.25	0.108599290780142	0.0547429078014184	0.162455673758865	0.00369459268223304	0.027210947333152	1	Component 1	0.665777680789485	0.642261326138566	0.0141218812202015	0.0450819672131148	0.229508196721311	0.459016393442623	0.922131147540984
RBL_13	RBL_13	RBL	1128	1128	66	GSE268136_SRR29131244	RBL	0.813521711049832	TRUE	1	0.000886524822695036	1	33.5	17.25	49.75	0.0296985815602837	0.0152925531914894	0.044104609929078	0.0108549738462249	0.023314883514856	1	Component 1	0.802666737203607	0.790206827534976	0.00528944392643915	0.166666666666667	0.848484848484848	1	1
RBL_14	RBL_14	RBL	1128	1128	66	GSE196420_SRR17960503	RBL	0.822164690530195	TRUE	1	0.000886524822695036	1	33.5	17.25	49.75	0.0296985815602837	0.0152925531914894	0.044104609929078	0.00187011063278209	0.0173223295706281	1	Component 1	0.820294579897413	0.804842360959567	0.00601823379909783	0.166666666666667	0.848484848484848	1	1
RBL_15	RBL_15	RBL	1128	1128	66	GSE268136_SRR29131256	RBL	0.763254662601976	TRUE	1	0.000886524822695036	1	33.5	17.25	49.75	0.0296985815602837	0.0152925531914894	0.044104609929078	0.00816663470461609	0.0226604329645581	1	Component 1	0.75508802789736	0.740594229637418	0.00479113901728845	0.166666666666667	0.848484848484848	1	1
RBL_18	RBL_18	RBL	1128	1128	66	GSE196420_SRR17960498	RBL	0.88139720453288	TRUE	1	0.000886524822695036	1	33.5	17.25	49.75	0.0296985815602837	0.0152925531914894	0.044104609929078	0.00926326370014696	0.032003271150612	1	Component 1	0.872133940832733	0.849393933382268	0.019851133991531	0.166666666666667	0.848484848484848	1	1
RBL_20	RBL_20	RBL	1128	1128	66	GSE268136_SRR29131277	RBL	0.79084188042666	TRUE	1	0.000886524822695036	1	33.5	17.25	49.75	0.0296985815602837	0.0152925531914894	0.044104609929078	0.00265836094193206	0.015625365083773	1	Component 1	0.788183519484728	0.775216515342887	0.00585307816595149	0.166666666666667	0.848484848484848	1	1
RBL_30	RBL_30	RBL	1128	1128	66	GSE268136_SRR29131246	RBL	0.794128901850052	TRUE	1	0.000886524822695036	1	33.5	17.25	49.75	0.0296985815602837	0.0152925531914894	0.044104609929078	0.011618756654169	0.035741288136789	1	Component 1	0.782510145195883	0.758387613713263	0.0152125586613853	0.166666666666667	0.848484848484848	1	1
RBL_7	RBL_7	RBL	1128	1128	66	GSE196420_SRR17960501	RBL	0.760173741301363	TRUE	1	0.000886524822695036	1	33.5	17.25	49.75	0.0296985815602837	0.0152925531914894	0.044104609929078	0.000695450146915966	0.0241930684230369	1	Component 1	0.759478291154447	0.735980672878326	0.0150768852650536	0.166666666666667	0.848484848484848	1	1
SHSY5Y	SHSY5Y	NBL	1128	1128	244	TARGET-30-PAUDDK-01A-01R	NBL	0.603932434428199	TRUE	1	0.000886524822695036	1	122.5	61.75	183.25	0.108599290780142	0.0547429078014184	0.162455673758865	0.010450488578526	0.030822218254519	1	Component 1	0.593481945849673	0.57311021617368	0.00523036923884068	0.0450819672131148	0.229508196721311	0.459016393442623	0.918032786885246
SIMA	SIMA	NBL	1128	1128	244	TARGET-30-PASXGP-01A-01R	NBL	0.580675523461248	TRUE	1	0.000886524822695036	1	122.5	61.75	183.25	0.108599290780142	0.0547429078014184	0.162455673758865	0.00231427292946496	0.036457238082013	1	Component 1	0.578361250531783	0.544218285379235	0.0146429728675256	0.0450819672131148	0.229508196721311	0.459016393442623	0.922131147540984
SKNBE2	SKNBE2	NBL	1128	1128	244	TARGET-30-PAPICY-01A-01R	NBL	0.547480178017603	TRUE	1	0.000886524822695036	1	122.5	61.75	183.25	0.108599290780142	0.0547429078014184	0.162455673758865	0.010967171667074	0.031009141146622	1	Component 1	0.536513006350529	0.516471036870981	0.0102440027068552	0.0450819672131148	0.229508196721311	0.459016393442623	0.922131147540984
SK_BR_3	SK_BR_3	BRCA	1128	1128	818	TCGA-E2-A107-01A-11R-A10J-07	BRCA	0.581392134690288	TRUE	1	0.000886524822695036	1	409.5	205.25	613.75	0.363031914893617	0.181959219858156	0.544104609929078	0.0318066494292021	0.073073184279961	1	Component 1	0.549585485261086	0.508318950410327	0.031070144578685	0.0134474327628362	0.0684596577017115	0.136919315403423	0.275061124694377
T_47D	T_47D	BRCA	1128	1128	818	TCGA-E2-A107-01A-11R-A10J-07	BRCA	0.578156913832515	TRUE	1	0.000886524822695036	1	409.5	205.25	613.75	0.363031914893617	0.181959219858156	0.544104609929078	0.010077083650199	0.027189565823089	1	Component 1	0.568079830182316	0.550967348009426	0.00968615470073653	0.0134474327628362	0.0684596577017115	0.136919315403423	0.275061124694377
WERI_RB1	WERI_RB1	RBL	1128	1128	66	GSE268136_SRR29131237	RBL	0.725521808038125	TRUE	1	0.000886524822695036	1	33.5	17.25	49.75	0.0296985815602837	0.0152925531914894	0.044104609929078	0.124380652598955	0.220087157207001	70	Component 70	0.60114115543917	0.505434650831124	0.0158052342818347	0.166666666666667	0.848484848484848	1	1
Y_79	Y_79	RBL	1128	1128	66	GSE268136_SRR29131236	RBL	0.779101006694397	TRUE	1	0.000886524822695036	1	33.5	17.25	49.75	0.0296985815602837	0.0152925531914894	0.044104609929078	0.124928416026875	0.250629431979245	71	Component 71	0.654172590667522	0.528471574715152	0.0740066966007808	0.166666666666667	0.848484848484848	1	1
