tumour	tumour_cancer_type	tumour_cohort	first_matching_cell_line_group_rank_at10	reciprocal_rank_at10	top_ranked_cell_line_group	top_ranked_cell_line_group_cancer_type	rank1_correct	n_ranked_biological_cell_line_groups	n_displayed_top10_biological_cell_line_groups
TCGA-AC-A62X-01A-11R-A29R-07	BRCA	BRCA	1	1	MDA_MB_468_B	BRCA	TRUE	56	10
TCGA-AC-A62Y-01A-11R-A29R-07	BRCA	BRCA	1	1	EFM_192A	BRCA	TRUE	56	10
TCGA-AC-A6IX-01A-12R-A32P-07	BRCA	BRCA	1	1	SK_BR_3	BRCA	TRUE	56	10
TCGA-AC-A6NO-01A-12R-A33J-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-AC-A7VB-01A-11R-A352-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-AC-A7VC-01A-11R-A352-07	BRCA	BRCA	1	1	HS_578T_B	BRCA	TRUE	56	10
TCGA-AC-A8OP-01A-11R-A36F-07	BRCA	BRCA	1	1	SK_BR_3	BRCA	TRUE	56	10
TCGA-AC-A8OR-01A-21R-A41B-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-AN-A03Y-01A-21R-A00Z-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-AN-A041-01A-11R-A034-07	BRCA	BRCA	1	1	CAL_85_1	BRCA	TRUE	56	10
TCGA-AN-A049-01A-21R-A00Z-07	BRCA	BRCA	1	1	CAL_85_1	BRCA	TRUE	56	10
TCGA-AN-A04A-01A-21R-A034-07	BRCA	BRCA	1	1	CAL_85_1	BRCA	TRUE	56	10
TCGA-AN-A04C-01A-21R-A034-07	BRCA	BRCA	1	1	EVSA_T	BRCA	TRUE	56	10
TCGA-AN-A04D-01A-21R-A034-07	BRCA	BRCA	1	1	COLO_824	BRCA	TRUE	56	10
TCGA-AN-A0AJ-01A-11R-A00Z-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-AN-A0AK-01A-21R-A00Z-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-AN-A0AL-01A-11R-A00Z-07	BRCA	BRCA	1	1	CAL_85_1	BRCA	TRUE	56	10
TCGA-AN-A0AM-01A-11R-A034-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-AN-A0AR-01A-11R-A00Z-07	BRCA	BRCA	1	1	COLO_824	BRCA	TRUE	56	10
TCGA-AN-A0AS-01A-11R-A00Z-07	BRCA	BRCA	1	1	ETCC_006	BRCA	TRUE	56	10
TCGA-AN-A0AT-01A-11R-A034-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-AN-A0FD-01A-11R-A034-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-AN-A0FF-01A-11R-A034-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-AN-A0FJ-01A-11R-A00Z-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-AN-A0FK-01A-11R-A034-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-AN-A0FL-01A-11R-A034-07	BRCA	BRCA	1	1	MDA_MB_468_B	BRCA	TRUE	56	10
TCGA-AN-A0FS-01A-11R-A034-07	BRCA	BRCA	1	1	CAL_51	BRCA	TRUE	56	10
TCGA-AN-A0FT-01A-11R-A034-07	BRCA	BRCA	1	1	SK_BR_3	BRCA	TRUE	56	10
TCGA-AN-A0FV-01A-11R-A00Z-07	BRCA	BRCA	1	1	EFM_192B	BRCA	TRUE	56	10
TCGA-AN-A0FW-01A-11R-A034-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-AN-A0FX-01A-11R-A034-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-AN-A0FY-01A-11R-A034-07	BRCA	BRCA	1	1	EFM_19	BRCA	TRUE	56	10
TCGA-AN-A0FZ-01A-11R-A034-07	BRCA	BRCA	1	1	SK_BR_3	BRCA	TRUE	56	10
TCGA-AN-A0G0-01A-11R-A034-07	BRCA	BRCA	1	1	CAL_85_1	BRCA	TRUE	56	10
TCGA-AN-A0XL-01A-11R-A10J-07	BRCA	BRCA	1	1	HCC_1937	BRCA	TRUE	56	10
TCGA-AN-A0XO-01A-11R-A109-07	BRCA	BRCA	1	1	EFM_192A	BRCA	TRUE	56	10
TCGA-AN-A0XP-01A-11R-A109-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-AN-A0XR-01A-11R-A109-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-AN-A0XT-01A-11R-A109-07	BRCA	BRCA	1	1	MDA_MB_468_B	BRCA	TRUE	56	10
TCGA-AN-A0XU-01A-11R-A109-07	BRCA	BRCA	1	1	CAL_85_1	BRCA	TRUE	56	10
TCGA-AN-A0XV-01A-11R-A109-07	BRCA	BRCA	1	1	HCC_1937	BRCA	TRUE	56	10
TCGA-AO-A03L-01A-41R-A056-07	BRCA	BRCA	1	1	EFM_192B	BRCA	TRUE	56	10
TCGA-AO-A03M-01B-11R-A10J-07	BRCA	BRCA	1	1	CAL_148	BRCA	TRUE	56	10
TCGA-AO-A03N-01B-11R-A10J-07	BRCA	BRCA	1	1	EFM_192B	BRCA	TRUE	56	10
TCGA-AO-A03O-01A-11R-A00Z-07	BRCA	BRCA	1	1	EFM_19	BRCA	TRUE	56	10
TCGA-AO-A03P-01A-11R-A00Z-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-AO-A03R-01A-21R-A034-07	BRCA	BRCA	1	1	HCC_1937	BRCA	TRUE	56	10
TCGA-AO-A03T-01A-21R-A034-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-AO-A03V-01A-11R-A115-07	BRCA	BRCA	1	1	KPL_1	BRCA	TRUE	56	10
TCGA-AO-A0J2-01A-11R-A034-07	BRCA	BRCA	1	1	EVSA_T	BRCA	TRUE	56	10
TCGA-AO-A0J3-01A-11R-A034-07	BRCA	BRCA	1	1	BT_474	BRCA	TRUE	56	10
TCGA-AO-A0J4-01A-11R-A034-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-AO-A0J5-01A-11R-A034-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-AO-A0J6-01A-11R-A034-07	BRCA	BRCA	1	1	HCC_1599	BRCA	TRUE	56	10
TCGA-AO-A0J7-01A-11R-A034-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-AO-A0J8-01A-21R-A034-07	BRCA	BRCA	1	1	KPL_1	BRCA	TRUE	56	10
TCGA-AO-A0JB-01A-11R-A32Y-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-AO-A0JD-01A-11R-A056-07	BRCA	BRCA	1	1	EVSA_T	BRCA	TRUE	56	10
TCGA-AO-A0JG-01A-31R-A084-07	BRCA	BRCA	1	1	MDA_MB_468_B	BRCA	TRUE	56	10
TCGA-AO-A0JI-01A-21R-A056-07	BRCA	BRCA	1	1	BT_474	BRCA	TRUE	56	10
TCGA-AO-A0JL-01A-11R-A056-07	BRCA	BRCA	1	1	HCC_1599	BRCA	TRUE	56	10
TCGA-AO-A0JM-01A-21R-A056-07	BRCA	BRCA	1	1	EFM_192B	BRCA	TRUE	56	10
TCGA-AO-A124-01A-11R-A10J-07	BRCA	BRCA	1	1	HCC_1599	BRCA	TRUE	56	10
TCGA-AO-A125-01A-11R-A10J-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-AO-A126-01A-11R-A10J-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-AO-A129-01A-21R-A10J-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-AO-A12A-01A-21R-A115-07	BRCA	BRCA	1	1	HCC_1937	BRCA	TRUE	56	10
TCGA-AO-A12B-01A-11R-A10J-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-AO-A12C-01A-11R-A10J-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-AO-A12E-01A-11R-A10J-07	BRCA	BRCA	1	1	HCC_1937	BRCA	TRUE	56	10
TCGA-AO-A12F-01A-11R-A115-07	BRCA	BRCA	1	1	CAL_51	BRCA	TRUE	56	10
TCGA-AO-A12G-01A-11R-A10J-07	BRCA	BRCA	1	1	EVSA_T	BRCA	TRUE	56	10
TCGA-AO-A12H-01A-11R-A115-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-AO-A1KO-01A-31R-A13Q-07	BRCA	BRCA	1	1	MDA_MB_231	BRCA	TRUE	56	10
TCGA-AO-A1KP-01A-11R-A13Q-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-AO-A1KR-01A-12R-A144-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-AO-A1KS-01A-11R-A13Q-07	BRCA	BRCA	1	1	BT_474	BRCA	TRUE	56	10
TCGA-AO-A1KT-01A-11R-A13Q-07	BRCA	BRCA	1	1	JIMT_1_B	BRCA	TRUE	56	10
TCGA-AQ-A04H-01B-11R-A10J-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-AQ-A04L-01B-21R-A10J-07	BRCA	BRCA	1	1	EVSA_T	BRCA	TRUE	56	10
TCGA-AQ-A0Y5-01A-11R-A14M-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-AQ-A1H2-01A-11R-A13Q-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-AQ-A1H3-01A-31R-A13Q-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-AQ-A54N-01A-11R-A266-07	BRCA	BRCA	1	1	COLO_824	BRCA	TRUE	56	10
TCGA-AR-A0TP-01A-11R-A084-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-AR-A0TQ-01A-11R-A084-07	BRCA	BRCA	1	1	BT_474	BRCA	TRUE	56	10
TCGA-AR-A0TR-01A-11R-A084-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-AR-A0TU-01A-31R-A109-07	BRCA	BRCA	1	1	COLO_824	BRCA	TRUE	56	10
TCGA-AR-A0TV-01A-21R-A084-07	BRCA	BRCA	1	1	EFM_192A	BRCA	TRUE	56	10
TCGA-AR-A0TW-01A-11R-A084-07	BRCA	BRCA	1	1	EFM_192B	BRCA	TRUE	56	10
TCGA-AR-A0TY-01A-12R-A115-07	BRCA	BRCA	1	1	SK_BR_3	BRCA	TRUE	56	10
TCGA-AR-A0TZ-01A-12R-A084-07	BRCA	BRCA	1	1	BT_474	BRCA	TRUE	56	10
TCGA-AR-A0U0-01A-11R-A109-07	BRCA	BRCA	1	1	MDA_MB_468_B	BRCA	TRUE	56	10
TCGA-AR-A0U2-01A-11R-A109-07	BRCA	BRCA	1	1	BT_474	BRCA	TRUE	56	10
TCGA-AR-A0U3-01A-11R-A109-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-AR-A1AH-01A-11R-A12D-07	BRCA	BRCA	1	1	COLO_824	BRCA	TRUE	56	10
TCGA-AR-A1AI-01A-11R-A12P-07	BRCA	BRCA	1	1	CAL_85_1	BRCA	TRUE	56	10
TCGA-AR-A1AL-01A-21R-A12P-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-AR-A1AM-01A-41R-A22K-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-AR-A1AN-01A-11R-A12P-07	BRCA	BRCA	1	1	MDA_MB_231	BRCA	TRUE	56	10
TCGA-AR-A1AP-01A-11R-A12P-07	BRCA	BRCA	1	1	KPL_1	BRCA	TRUE	56	10
TCGA-AR-A1AS-01A-11R-A12P-07	BRCA	BRCA	1	1	KPL_1	BRCA	TRUE	56	10
TCGA-AR-A1AU-01A-11R-A12P-07	BRCA	BRCA	1	1	HCC_1937	BRCA	TRUE	56	10
TCGA-AR-A1AY-01A-21R-A12P-07	BRCA	BRCA	1	1	COLO_824	BRCA	TRUE	56	10
TCGA-AR-A24H-01A-11R-A169-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-AR-A24K-01A-11R-A169-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-AR-A24L-01A-11R-A169-07	BRCA	BRCA	1	1	HS_578T_B	BRCA	TRUE	56	10
TCGA-AR-A24M-01A-11R-A169-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-AR-A24N-01A-11R-A169-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-AR-A24P-01A-11R-A169-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-AR-A24Q-01A-12R-A169-07	BRCA	BRCA	1	1	ETCC_006	BRCA	TRUE	56	10
TCGA-AR-A24R-01A-11R-A169-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-AR-A24W-01A-11R-A169-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-AR-A24X-01A-11R-A169-07	BRCA	BRCA	1	1	HCC_1937	BRCA	TRUE	56	10
TCGA-AR-A24Z-01A-11R-A169-07	BRCA	BRCA	1	1	EFM_19	BRCA	TRUE	56	10
TCGA-AR-A251-01A-12R-A169-07	BRCA	BRCA	1	1	HCC_1599	BRCA	TRUE	56	10
TCGA-AR-A255-01A-11R-A169-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-AR-A256-01A-11R-A169-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-AR-A2LE-01A-11R-A180-07	BRCA	BRCA	1	1	BT_474	BRCA	TRUE	56	10
TCGA-AR-A2LK-01A-11R-A180-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-AR-A2LL-01A-11R-A180-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-AR-A2LM-01A-11R-A180-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-AR-A2LR-01A-12R-A18M-07	BRCA	BRCA	1	1	ETCC_006	BRCA	TRUE	56	10
TCGA-AR-A5QM-01A-11R-A27Q-07	BRCA	BRCA	1	1	HCC_1937	BRCA	TRUE	56	10
TCGA-AR-A5QN-01A-12R-A28M-07	BRCA	BRCA	1	1	HCC_1937	BRCA	TRUE	56	10
TCGA-AR-A5QP-01A-11R-A28M-07	BRCA	BRCA	1	1	HCC_1937	BRCA	TRUE	56	10
TCGA-B6-A0I1-01A-11R-A21T-07	BRCA	BRCA	1	1	HCC_1599	BRCA	TRUE	56	10
TCGA-B6-A0I2-01A-11R-A034-07	BRCA	BRCA	1	1	MDA_MB_468_B	BRCA	TRUE	56	10
TCGA-B6-A0I5-01A-11R-A034-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-B6-A0I6-01A-11R-A034-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-B6-A0I8-01A-11R-A034-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-B6-A0I9-01A-11R-A034-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-B6-A0IA-01A-11R-A034-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-B6-A0IB-01A-11R-A034-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-B6-A0IC-01A-11R-A034-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-B6-A0IE-01A-11R-A034-07	BRCA	BRCA	1	1	EVSA_T	BRCA	TRUE	56	10
TCGA-B6-A0IG-01A-11R-A034-07	BRCA	BRCA	1	1	EFM_192A	BRCA	TRUE	56	10
TCGA-B6-A0IH-01A-11R-A115-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-B6-A0IJ-01A-11R-A034-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-B6-A0IK-01A-12R-A056-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-B6-A0IM-01A-11R-A034-07	BRCA	BRCA	1	1	CAL_148	BRCA	TRUE	56	10
TCGA-B6-A0IO-01A-11R-A034-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-B6-A0IP-01A-11R-A034-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-B6-A0IQ-01A-11R-A034-07	BRCA	BRCA	1	1	HCC_1599	BRCA	TRUE	56	10
TCGA-B6-A0RE-01A-11R-A056-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-B6-A0RG-01A-11R-A056-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-B6-A0RH-01A-21R-A115-07	BRCA	BRCA	1	1	EFM_192B	BRCA	TRUE	56	10
TCGA-B6-A0RI-01A-11R-A056-07	BRCA	BRCA	1	1	CAL_85_1	BRCA	TRUE	56	10
TCGA-B6-A0RL-01A-11R-A084-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-B6-A0RM-01A-11R-A084-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-B6-A0RN-01A-12R-A084-07	BRCA	BRCA	1	1	EFM_192C	BRCA	TRUE	56	10
TCGA-B6-A0RO-01A-22R-A084-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-B6-A0RP-01A-21R-A084-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-B6-A0RQ-01A-11R-A115-07	BRCA	BRCA	1	1	MDA_MB_468_B	BRCA	TRUE	56	10
TCGA-B6-A0RS-01A-11R-A084-07	BRCA	BRCA	1	1	MDA_MB_468_B	BRCA	TRUE	56	10
TCGA-B6-A0RU-01A-11R-A084-07	BRCA	BRCA	1	1	ETCC_006	BRCA	TRUE	56	10
TCGA-B6-A0RV-01A-11R-A084-07	BRCA	BRCA	1	1	KPL_1	BRCA	TRUE	56	10
TCGA-B6-A0WT-01A-11R-A109-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-B6-A0WV-01A-11R-A109-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-B6-A0WW-01A-11R-A109-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-B6-A0WX-01A-11R-A109-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-B6-A0WY-01A-11R-A109-07	BRCA	BRCA	1	1	HCC_1937	BRCA	TRUE	56	10
TCGA-B6-A0WZ-01A-11R-A109-07	BRCA	BRCA	1	1	EFM_192A	BRCA	TRUE	56	10
TCGA-B6-A0X0-01A-21R-A115-07	BRCA	BRCA	1	1	KPL_1	BRCA	TRUE	56	10
TCGA-B6-A0X1-01A-11R-A109-07	BRCA	BRCA	1	1	JIMT_1_B	BRCA	TRUE	56	10
TCGA-B6-A0X4-01A-11R-A109-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-B6-A0X5-01A-21R-A109-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-B6-A0X7-01A-11R-A10J-07	BRCA	BRCA	1	1	IPH_926	BRCA	TRUE	56	10
TCGA-B6-A1KC-01B-11R-A157-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-B6-A1KF-01A-11R-A13Q-07	BRCA	BRCA	1	1	HCC_1599	BRCA	TRUE	56	10
TCGA-B6-A1KI-01A-11R-A14M-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-B6-A1KN-01A-11R-A13Q-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-B6-A2IU-01A-32R-A18M-07	BRCA	BRCA	1	1	EFM_192C	BRCA	TRUE	56	10
TCGA-B6-A400-01A-11R-A239-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-B6-A401-01A-11R-A239-07	BRCA	BRCA	1	1	EFM_192B	BRCA	TRUE	56	10
TCGA-B6-A402-01A-11R-A239-07	BRCA	BRCA	1	1	HCC_1599	BRCA	TRUE	56	10
TCGA-B6-A408-01A-12R-A24H-07	BRCA	BRCA	1	1	EFM_19	BRCA	TRUE	56	10
TCGA-B6-A409-01A-11R-A24H-07	BRCA	BRCA	1	1	JIMT_1_B	BRCA	TRUE	56	10
TCGA-B6-A40B-01A-11R-A239-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-B6-A40C-01A-11R-A239-07	BRCA	BRCA	1	1	EFM_192A	BRCA	TRUE	56	10
TCGA-BH-A0AU-01A-11R-A12P-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-BH-A0AV-01A-31R-A115-07	BRCA	BRCA	1	1	ETCC_006	BRCA	TRUE	56	10
TCGA-BH-A0B1-01A-12R-A056-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-BH-A0B3-01A-11R-A056-07	BRCA	BRCA	1	1	CAL_85_1	BRCA	TRUE	56	10
TCGA-BH-A0B5-01A-11R-A12P-07	BRCA	BRCA	1	1	CAL_148	BRCA	TRUE	56	10
TCGA-BH-A0B8-01A-21R-A056-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-BH-A0B9-01A-11R-A056-07	BRCA	BRCA	1	1	HCC_1599	BRCA	TRUE	56	10
TCGA-BH-A0BA-01A-11R-A056-07	BRCA	BRCA	1	1	SK_BR_3	BRCA	TRUE	56	10
TCGA-BH-A0BD-01A-11R-A034-07	BRCA	BRCA	1	1	CAL_85_1	BRCA	TRUE	56	10
TCGA-BH-A0BG-01A-11R-A115-07	BRCA	BRCA	1	1	CAL_85_1	BRCA	TRUE	56	10
TCGA-BH-A0BJ-01A-11R-A056-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-BH-A0BM-01A-11R-A056-07	BRCA	BRCA	1	1	HCC_1937	BRCA	TRUE	56	10
TCGA-BH-A0BP-01A-11R-A115-07	BRCA	BRCA	1	1	CAL_51	BRCA	TRUE	56	10
TCGA-BH-A0BS-01A-11R-A12P-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-BH-A0BT-01A-11R-A12P-07	BRCA	BRCA	1	1	EFM_192A	BRCA	TRUE	56	10
TCGA-BH-A0BV-01A-11R-A00Z-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-BH-A0C1-01B-11R-A12D-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-BH-A0C7-01B-11R-A115-07	BRCA	BRCA	1	1	KPL_1	BRCA	TRUE	56	10
TCGA-BH-A0DE-01A-11R-A115-07	BRCA	BRCA	1	1	HDQ_P1	BRCA	TRUE	56	10
TCGA-BH-A0DH-01A-11R-A084-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-BH-A0DL-01A-11R-A115-07	BRCA	BRCA	1	1	CAL_85_1	BRCA	TRUE	56	10
TCGA-BH-A0DO-01B-11R-A12D-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-BH-A0DP-01A-21R-A056-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-BH-A0DQ-01A-11R-A084-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-BH-A0DS-01A-11R-A056-07	BRCA	BRCA	1	1	EFM_192B	BRCA	TRUE	56	10
TCGA-BH-A0DT-01A-21R-A12D-07	BRCA	BRCA	1	1	HCC_1937	BRCA	TRUE	56	10
TCGA-BH-A0E0-01A-11R-A056-07	BRCA	BRCA	1	1	EVSA_T	BRCA	TRUE	56	10
TCGA-BH-A0E1-01A-11R-A056-07	BRCA	BRCA	1	1	HCC_1937	BRCA	TRUE	56	10
TCGA-BH-A0E2-01A-11R-A056-07	BRCA	BRCA	1	1	CAL_85_1	BRCA	TRUE	56	10
TCGA-BH-A0E6-01A-11R-A034-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-BH-A0E7-01A-11R-A034-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-BH-A0E9-01B-11R-A115-07	BRCA	BRCA	1	1	HCC_1937	BRCA	TRUE	56	10
TCGA-BH-A0EA-01A-11R-A115-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-BH-A0EE-01A-11R-A034-07	BRCA	BRCA	1	1	EFM_192A	BRCA	TRUE	56	10
TCGA-BH-A0EI-01A-11R-A115-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-BH-A0GY-01A-11R-A056-07	BRCA	BRCA	1	1	EFM_192B	BRCA	TRUE	56	10
TCGA-BH-A0GZ-01A-11R-A056-07	BRCA	BRCA	1	1	EFM_192B	BRCA	TRUE	56	10
TCGA-BH-A0H0-01A-11R-A056-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-BH-A0H3-01A-11R-A12P-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-BH-A0H6-01A-21R-A056-07	BRCA	BRCA	1	1	KPL_1	BRCA	TRUE	56	10
TCGA-BH-A0H7-01A-13R-A056-07	BRCA	BRCA	1	1	EFM_192B	BRCA	TRUE	56	10
TCGA-BH-A0H9-01A-11R-A056-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-BH-A0HB-01A-11R-A056-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-BH-A0HI-01A-11R-A084-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-BH-A0HK-01A-11R-A056-07	BRCA	BRCA	1	1	HCC_1937	BRCA	TRUE	56	10
TCGA-BH-A0HL-01A-11R-A10U-07	BRCA	BRCA	1	1	KPL_1	BRCA	TRUE	56	10
TCGA-BH-A0HN-01A-11R-A10U-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-BH-A0HO-01A-11R-A034-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-BH-A0HP-01A-12R-A084-07	BRCA	BRCA	1	1	MDA_MB_468_B	BRCA	TRUE	56	10
TCGA-BH-A0HQ-01A-11R-A034-07	BRCA	BRCA	1	1	EFM_192B	BRCA	TRUE	56	10
TCGA-BH-A0HU-01A-11R-A034-07	BRCA	BRCA	1	1	EFM_192C	BRCA	TRUE	56	10
TCGA-BH-A0HW-01A-11R-A034-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-BH-A0HX-01A-21R-A056-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
