tumour	tumour_cancer_type	tumour_cohort	first_matching_cell_line_group_rank_at10	reciprocal_rank_at10	top_ranked_cell_line_group	top_ranked_cell_line_group_cancer_type	rank1_correct	n_ranked_biological_cell_line_groups	n_displayed_top10_biological_cell_line_groups
TCGA-A2-A04U-01A-11R-A115-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-A2-A04V-01A-21R-A034-07	BRCA	BRCA	1	1	CAL_120	BRCA	TRUE	56	10
TCGA-A2-A04W-01A-31R-A115-07	BRCA	BRCA	1	1	SK_BR_3	BRCA	TRUE	56	10
TCGA-A2-A04X-01A-21R-A034-07	BRCA	BRCA	1	1	EFM_192A	BRCA	TRUE	56	10
TCGA-A2-A04Y-01A-21R-A034-07	BRCA	BRCA	1	1	EFM_192C	BRCA	TRUE	56	10
TCGA-A2-A0CK-01A-11R-A22K-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-A2-A0CP-01A-11R-A034-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-A2-A0CQ-01A-21R-A034-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-A2-A0CS-01A-11R-A115-07	BRCA	BRCA	1	1	EFM_192B	BRCA	TRUE	56	10
TCGA-A2-A0CT-01A-31R-A056-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-A2-A0CU-01A-12R-A034-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-A2-A0CV-01A-31R-A115-07	BRCA	BRCA	1	1	CAL_85_1	BRCA	TRUE	56	10
TCGA-A2-A0CW-01A-21R-A115-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-A2-A0CX-01A-21R-A00Z-07	BRCA	BRCA	1	1	EFM_192B	BRCA	TRUE	56	10
TCGA-A2-A0CY-01A-12R-A034-07	BRCA	BRCA	1	1	KPL_1	BRCA	TRUE	56	10
TCGA-A2-A0D0-01A-11R-A00Z-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-A2-A0D1-01A-11R-A034-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-A2-A0D2-01A-21R-A034-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-A2-A0D3-01A-11R-A115-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-A2-A0D4-01A-11R-A00Z-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-A2-A0EM-01A-11R-A034-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-A2-A0ER-01A-21R-A034-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-A2-A0ES-01A-11R-A115-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-A2-A0ET-01A-31R-A034-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-A2-A0EU-01A-22R-A056-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-A2-A0EV-01A-11R-A034-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-A2-A0EX-01A-21R-A034-07	BRCA	BRCA	1	1	EFM_192B	BRCA	TRUE	56	10
TCGA-A2-A0EY-01A-11R-A034-07	BRCA	BRCA	1	1	SK_BR_3	BRCA	TRUE	56	10
TCGA-A2-A0SU-01A-11R-A084-07	BRCA	BRCA	1	1	HCC_1937	BRCA	TRUE	56	10
TCGA-A2-A0SV-01A-11R-A084-07	BRCA	BRCA	1	1	EFM_192B	BRCA	TRUE	56	10
TCGA-A2-A0T0-01A-22R-A084-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-A2-A0T2-01A-11R-A084-07	BRCA	BRCA	1	1	JIMT_1_B	BRCA	TRUE	56	10
TCGA-A2-A0T3-01A-21R-A115-07	BRCA	BRCA	1	1	BT_474	BRCA	TRUE	56	10
TCGA-A2-A0T5-01A-21R-A084-07	BRCA	BRCA	1	1	HCC_1937	BRCA	TRUE	56	10
TCGA-A2-A0T7-01A-21R-A084-07	BRCA	BRCA	1	1	HCC_1599	BRCA	TRUE	56	10
TCGA-A2-A0YC-01A-11R-A109-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-A2-A0YE-01A-11R-A109-07	BRCA	BRCA	1	1	CAL_85_1	BRCA	TRUE	56	10
TCGA-A2-A0YF-01A-21R-A109-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-A2-A0YG-01A-21R-A109-07	BRCA	BRCA	1	1	BT_474	BRCA	TRUE	56	10
TCGA-A2-A0YJ-01A-11R-A109-07	BRCA	BRCA	1	1	COLO_824	BRCA	TRUE	56	10
TCGA-A2-A0YL-01A-21R-A109-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-A2-A0YM-01A-11R-A109-07	BRCA	BRCA	1	1	COLO_824	BRCA	TRUE	56	10
TCGA-A2-A0YT-01A-11R-A109-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-A2-A1FV-01A-11R-A13Q-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-A2-A1FW-01A-11R-A13Q-07	BRCA	BRCA	1	1	BT_474	BRCA	TRUE	56	10
TCGA-A2-A1FX-01A-11R-A13Q-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-A2-A1FZ-01A-51R-A14D-07	BRCA	BRCA	1	1	CAL_85_1	BRCA	TRUE	56	10
TCGA-A2-A1G0-01A-11R-A13Q-07	BRCA	BRCA	1	1	HCC_1937	BRCA	TRUE	56	10
TCGA-A2-A1G4-01A-11R-A13Q-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-A2-A1G6-01A-11R-A13Q-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-A2-A259-01A-11R-A16F-07	BRCA	BRCA	1	1	HCC_1143	BRCA	TRUE	56	10
TCGA-A2-A25B-01A-11R-A169-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-A2-A25C-01A-11R-A169-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-A2-A25E-01A-11R-A169-07	BRCA	BRCA	1	1	BT_474	BRCA	TRUE	56	10
TCGA-A2-A3KC-01A-11R-A213-07	BRCA	BRCA	1	1	HCC_1599	BRCA	TRUE	56	10
TCGA-A2-A3KD-01A-12R-A213-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-A2-A3XS-01A-11R-A22U-07	BRCA	BRCA	1	1	HCC_1599	BRCA	TRUE	56	10
TCGA-A2-A3XT-01A-11R-A22U-07	BRCA	BRCA	1	1	COLO_824	BRCA	TRUE	56	10
TCGA-A2-A3XU-01A-12R-A22U-07	BRCA	BRCA	1	1	COLO_824	BRCA	TRUE	56	10
TCGA-A2-A3XV-01A-21R-A239-07	BRCA	BRCA	1	1	EVSA_T	BRCA	TRUE	56	10
TCGA-A2-A3XW-01A-11R-A239-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-A2-A3XX-01A-21R-A239-07	BRCA	BRCA	1	1	HCC_1599	BRCA	TRUE	56	10
TCGA-A2-A3XZ-01A-42R-A239-07	BRCA	BRCA	1	1	EFM_192A	BRCA	TRUE	56	10
TCGA-A2-A3Y0-01A-11R-A239-07	BRCA	BRCA	1	1	JIMT_1_B	BRCA	TRUE	56	10
TCGA-A2-A4RW-01A-21R-A266-07	BRCA	BRCA	1	1	EFM_19	BRCA	TRUE	56	10
TCGA-A2-A4RX-01A-11R-A266-07	BRCA	BRCA	1	1	ETCC_006	BRCA	TRUE	56	10
TCGA-A2-A4RY-01A-31R-A266-07	BRCA	BRCA	1	1	HDQ_P1	BRCA	TRUE	56	10
TCGA-A2-A4S0-01A-21R-A266-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
