group	n_correct	n_total	accuracy	ci_lower	ci_upper
overall	55	56	0.982142857142857	0.905543628506024	0.996840789658025
BRCA	29	29	1	0.883030201500259	1
NBL	17	18	0.944444444444444	0.742426992181274	0.990124809021697
RBL	9	9	1	0.700854951580456	1
