from	to	weight
NALM_6	NG-13640_BV_173_lib227468_5681_8	0.839397787474024
NALM_6	NG-13640_CML_T1_lib259818_5981_7	0.758798461106324
NALM_6	NG-13640_DND_41_lib241218_5808_7	0.736900992416097
NALM_6	NG-13640_DOHH2_lib236386_5774_8	0.747870379104165
NALM_6	NG-13640_GRANTA_519_lib241206_5808_6	0.749281642494417
NALM_6	NG-13640_HPB_ALL_lib241219_5808_7	0.718549373050741
NALM_6	NG-13640_JEKO1_lib236395_5774_5	0.761162593027769
NALM_6	NG-13640_JURKAT_lib236382_5794_6	0.757993490484705
NALM_6	NG-13640_KOPN_8_lib227470_5697_7	0.800805502276358
NALM_6	NG-13640_LP_1_lib241211_5808_7	0.701494180960768
NALM_6	NG-13640_MEC_1_lib227482_5697_4	0.740702020007938
NALM_6	NG-13640_MINO_lib248384_5885_5	0.767069967345013
NALM_6	NG-13640_MOLT_4_lib241220_5808_2	0.740771274737587
NALM_6	NG-13640_NALM_1_lib265127_5989_8	0.851236752035693
NALM_6	NG-13640_NALM_6_lib227471_5697_7	0.9963924607667
NALM_6	NG-13640_NALM_6_lib227471_5706_1	0.981227171569355
NALM_6	NG-13640_OCILY19_lib236388_5774_8	0.805237556851267
NALM_6	NG-13640_OCILY7_lib236387_5774_8	0.771648787355414
NALM_6	NG-13640_RAMOS_lib227477_5697_7	0.76866566836069
NALM_6	NG-13640_REH_lib227472_5697_7	0.807414154665272
NALM_6	NG-13640_RPMI_8402_lib241221_5808_2	0.727617418705252
NALM_6	NG-13640_SEM_lib227473_5697_7	0.787917915937548
NALM_6	NG-13640_SUDHL6_lib236390_5774_5	0.745451991646294
NALM_6	NG-13640_TK_6_lib259820_5981_7	0.726007208305453
NALM_6	NG-13640_U2946_lib236385_5767_8	0.777487692931186
NG-13640_BC3_lib236396_5774_5	NG-13640_BCBL_1_lib241208_5808_6	0.82721889034259
NG-13640_BC3_lib236396_5774_5	NG-13640_BONNA12_lib236392_5774_5	0.651981989668017
NG-13640_BC3_lib236396_5774_5	NG-13640_CCRF_CEM_lib241217_5826_6	0.645887465859501
NG-13640_BC3_lib236396_5774_5	NG-13640_CRO_AP2_lib241209_5808_6	0.748820986513987
NG-13640_BC3_lib236396_5774_5	NG-13640_CRO_AP5_lib227485_5684_6	0.748255454054098
NG-13640_BC3_lib236396_5774_5	NG-13640_DERL7_lib236383_5767_8	0.666193967673628
NG-13640_BC3_lib236396_5774_5	NG-13640_GRANTA_519_lib241206_5808_6	0.672888338379966
