sample	component	community_size	lineage	degree	weighted_degree	algorithm
NG-13640_KM_H2_lib248380_5904_3	4	38	HEME	20	13.6814088802632	Louvain
NG-13640_LP_1_lib241211_5808_7	4	38	HEME	23	16.3307661490206	Louvain
NG-13640_L_1236_lib241215_5808_7	4	38	HEME	24	17.1769367836816	Louvain
NG-13640_L_363_lib241210_5808_6	4	38	HEME	22	15.750949663475	Louvain
NG-13640_L_428_lib241214_5808_7	4	38	HEME	25	18.1671593236146	Louvain
NG-13640_MEC_1_lib227482_5697_4	4	38	HEME	61	47.06620198097	Louvain
NG-13640_MOTN_1_lib250968_5908_5	4	38	HEME	29	21.3447798037003	Louvain
NG-13640_NC_NC_lib259822_5972_8	4	38	HEME	42	32.0374149669215	Louvain
NG-13640_NK_92_lib227486_5684_6	4	38	HEME	21	15.2063084350401	Louvain
NG-13640_OCI_LY_3_lib241204_5808_6	4	38	HEME	45	33.8999178600705	Louvain
NG-13640_OPM2_lib236378_5767_8	4	38	HEME	21	15.067663065419	Louvain
NG-13640_PGA_1_lib227483_5697_4	4	38	HEME	38	28.5028304179728	Louvain
NG-13640_RPMI_8226_lib241212_5808_7	4	38	HEME	21	14.6640376933579	Louvain
NG-13640_SR_786_lib248387_5885_5	4	38	HEME	24	16.9917284905549	Louvain
NG-13640_SUP_HD_1_lib241216_5808_7	4	38	HEME	24	17.046256350849	Louvain
NG-13640_SUP_M2_lib248389_5885_6	4	38	HEME	23	16.4604641096138	Louvain
NG-13640_SUP_M2_lib248389_5904_3	4	38	HEME	23	16.1840345994225	Louvain
NG-13640_SU_DHL_1_lib248388_5885_6	4	38	HEME	22	15.5141509894025	Louvain
NG-13640_U_266_lib241213_5808_7	4	38	HEME	21	14.7587905403679	Louvain
NG-13640_YT_lib248385_5885_5	4	38	HEME	23	16.5798971159499	Louvain
NG-13640_CMK_lib259808_5981_3	5	33	HEME	20	16.3039435616925	Louvain
NG-13640_ELF_153_lib259809_5981_3	5	33	HEME	28	21.8304839643631	Louvain
NG-13640_EM_2_lib259814_5981_7	5	33	HEME	38	29.8244730275582	Louvain
NG-13640_EOL_1_lib248390_5885_6	5	33	HEME	26	20.7133749148375	Louvain
NG-13640_F_36P_lib248396_5885_1	5	33	HEME	20	15.8672984858168	Louvain
NG-13640_HEL_lib248397_5885_1	5	33	HEME	22	16.9652144284745	Louvain
NG-13640_HL60_lib236384_5767_8	5	33	HEME	20	15.1391131539589	Louvain
NG-13640_KASUMI_1_RNA_lib206691_5568_1	5	33	HEME	29	22.8539550993538	Louvain
NG-13640_KCL_22_lib259815_5981_7	5	33	HEME	28	20.3258608829546	Louvain
NG-13640_KG_1_lib248391_5885_6	5	33	HEME	25	19.4772864270557	Louvain
