cell_line	sample_id	cell_tech_id	cell_line_display	degree	betweenness	component	community_louv	community_leid	mean_edge_sim	max_edge_sim	is_outlier
EFM_192C	NG-29643_EFM_192C_lib581294_7997_4	EFM_192C	EFM_192C	7	20.57857142857143	1	1	1	0.6112942957142665	0.7357853481611017	FALSE
HCC_1599	NG-29643_HCC_1599_lib581304_7997_4	HCC_1599	HCC_1599	4	1	2	3	10	0.6077053718031431	0.6769047208025412	FALSE
EFM_192B	NG-29643_EFM_192B_lib581293_7997_4	EFM_192B	EFM_192B	4	7.6000000000000005	1	1	11	0.5957019708035212	0.7044085357098744	FALSE
HDQ_P1	NG-29643_HDQ_P1_lib581303_8005_3	HDQ_P1	HDQ_P1	3	0	2	3	12	0.7009447664825722	0.7652657546472206	FALSE
CAL_85_1	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1	CAL_85_1	3	0	2	3	13	0.6773907114888392	0.7652657546472206	FALSE
ETCC_006	NG-29643_ETCC_006_lib581311_8005_3	ETCC_006	ETCC_006	2	0	3	4	14	0.7304805387883662	0.7866789406282537	FALSE
ETCC_007	NG-29643_ETCC_007_lib581312_7997_4	ETCC_007	ETCC_007	2	0	3	4	15	0.6948644868775229	0.7866789406282537	FALSE
HS_578T	NG-30919_HS_578T_B_lib628473_10098_2	HS_578T	HS_578T	2	0	3	4	16	0.6386660850376353	0.6742821369484787	FALSE
EFM_19	NG-29643_EFM_19_lib581291_7997_4	EFM_19	EFM_19	2	0	1	1	17	0.6357188233327955	0.6439138495941914	FALSE
CAL_120	NG-29643_CAL_120_lib581301_8005_3	CAL_120	CAL_120	2	1	4	5	18	0.5806975203923342	0.5944645006016848	FALSE
SK_BR_3	NG-29643_SK_BR_3_lib581307_7997_4	SK_BR_3	SK_BR_3	2	0	1	1	19	0.5759231250718642	0.5963576748421096	FALSE
T_47D	NG-29643_T_47D_lib581309_8005_3	T_47D	T_47D	7	7.202380952380953	1	2	2	0.6093312894158477	0.7357853481611017	FALSE
COLO_824	NG-29643_COLO_824_lib581290_7997_4	COLO_824	COLO_824	2	0	2	3	20	0.5727458296138493	0.5845796071104349	FALSE
IPH_926	NG-29643_IPH_926_lib581313_7997_4	IPH_926	IPH_926	2	0	1	1	21	0.553383778177813	0.5578913967142587	FALSE
MDA_MB_231	NG-29643_MDA_MB_231_lib581314_8005_3	MDA_MB_231	MDA_MB_231	1	0	4	5	22	0.5944645006016848	0.5944645006016848	FALSE
EVSA_T	NG-29643_EVSA_T_lib581299_7997_4	EVSA_T	EVSA_T	1	0	5	6	23	0.5747828124592695	0.5747828124592695	FALSE
MDA_MB_453	NG-29643_MDA_MB_453_lib581289_7997_4	MDA_MB_453	MDA_MB_453	1	0	5	6	24	0.5747828124592695	0.5747828124592695	FALSE
JIMT_1	NG-29643_JIMT_1_B_lib581287_7997_4	JIMT_1	JIMT_1	1	0	4	5	25	0.5669305401829837	0.5669305401829837	FALSE
KPL_1	NG-29643_KPL_1_lib581296_7997_4	KPL_1	KPL_1	6	3.2023809523809517	1	2	3	0.6761765604412644	0.7928914441909087	FALSE
BT_474	NG-29643_BT_474_lib581288_7997_4	BT_474	BT_474	6	3.2023809523809517	1	2	4	0.659222604357018	0.7749936690996697	FALSE
MFM_223	NG-29643_MFM_223_lib581297_7997_4	MFM_223	MFM_223	5	0.4928571428571428	1	2	5	0.6850835244537375	0.7749936690996697	FALSE
CAL_148	NG-29643_CAL_148_lib581302_7997_4	CAL_148	CAL_148	5	5.7214285714285715	1	2	6	0.6437092825372864	0.7181670635292117	FALSE
HCC_1143	NG-29643_HCC_1143_lib581306_7997_4	HCC_1143	HCC_1143	4	1	2	3	7	0.6682386345600004	0.7582330445176556	FALSE
MCF_7	NG-29643_MCF_7_lib581315_7997_4	MCF_7	MCF_7	4	0	1	2	8	0.638832393164922	0.7928914441909087	FALSE
EFM_192A	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A	EFM_192A	4	4	1	1	9	0.6189096794734572	0.7044085357098744	FALSE
CAL_51	NG-29643_CAL_51_lib581295_7997_4	CAL_51	CAL_51	0	0	6	7	26	NA	NA	TRUE
DU_4475	NG-29643_DU_4475_lib581298_7997_4	DU_4475	DU_4475	0	0	7	8	27	NA	NA	TRUE
HCC_1937	NG-29643_HCC_1937_lib581305_7997_4	HCC_1937	HCC_1937	0	0	8	9	28	NA	NA	TRUE
MDA_MB_468	NG-30919_MDA_MB_468_B_lib628474_10098_2	MDA_MB_468	MDA_MB_468	0	0	9	10	29	NA	NA	TRUE
