cell_line	max_p__Variance_euc	max_p__Variance_corr	max_p__MAD_euc	max_p__MAD_corr	max_p__MeanAbsDev_euc	max_p__MeanAbsDev_corr	max_p__Entropy_euc	max_p__Entropy_corr	max_p__PCA_euc	max_p__PCA_corr	max_p__Spearman_euc	max_p__Spearman_corr	max_p__MX_euc	max_p__MX_corr	max_p__kTotal_euc	max_p__kTotal_corr	max_p__HVG_euc	max_p__HVG_corr	frac_ge_thr__Variance_euc	frac_ge_thr__Variance_corr	frac_ge_thr__MAD_euc	frac_ge_thr__MAD_corr	frac_ge_thr__MeanAbsDev_euc	frac_ge_thr__MeanAbsDev_corr	frac_ge_thr__Entropy_euc	frac_ge_thr__Entropy_corr	frac_ge_thr__PCA_euc	frac_ge_thr__PCA_corr	frac_ge_thr__Spearman_euc	frac_ge_thr__Spearman_corr	frac_ge_thr__MX_euc	frac_ge_thr__MX_corr	frac_ge_thr__kTotal_euc	frac_ge_thr__kTotal_corr	frac_ge_thr__HVG_euc	frac_ge_thr__HVG_corr	median_p__Variance_euc	median_p__Variance_corr	median_p__MAD_euc	median_p__MAD_corr	median_p__MeanAbsDev_euc	median_p__MeanAbsDev_corr	median_p__Entropy_euc	median_p__Entropy_corr	median_p__PCA_euc	median_p__PCA_corr	median_p__Spearman_euc	median_p__Spearman_corr	median_p__MX_euc	median_p__MX_corr	median_p__kTotal_euc	median_p__kTotal_corr	median_p__HVG_euc	median_p__HVG_corr	n_pairs__Variance_euc	n_pairs__Variance_corr	n_pairs__MAD_euc	n_pairs__MAD_corr	n_pairs__MeanAbsDev_euc	n_pairs__MeanAbsDev_corr	n_pairs__Entropy_euc	n_pairs__Entropy_corr	n_pairs__PCA_euc	n_pairs__PCA_corr	n_pairs__Spearman_euc	n_pairs__Spearman_corr	n_pairs__MX_euc	n_pairs__MX_corr	n_pairs__kTotal_euc	n_pairs__kTotal_corr	n_pairs__HVG_euc	n_pairs__HVG_corr	best_max_p	best_dir_max_p	best_frac_ge_thr	best_dir_frac_ge_thr
KPL_1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.7368421052631579	0.3333333333333333	0.8235294117647058	0.4634146341463415	0.8333333333333334	0.46511627906976744	0.9375	0.3953488372093023	0.9090909090909091	0.625	0.8	0.8461538461538461	0.8823529411764706	0.9354838709677419	0.90625	0.5	0.625	0.8235294117647058	1	0.5	1	0.5	1	0.5	1	0.5	1	1	1	1	1	1	1	0.75	0.75	1	38	48	34	41	36	43	32	43	33	40	40	39	34	31	32	40	48	34	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	0.9375	Entropy_euc
BT_474	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.6829268292682927	0.391304347826087	0.7777777777777778	0.5	0.7837837837837838	0.5	0.9090909090909091	0.3953488372093023	0.9090909090909091	0.8055555555555556	0.8	0.8461538461538461	0.75	0.875	0.90625	0.5	0.6382978723404256	0.8235294117647058	0.75	0.5	1	0.75	1	0.75	1	0.5	1	1	1	1	1	1	1	0.75	0.75	1	41	46	36	40	37	42	33	43	33	36	40	39	40	32	32	40	47	34	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	0.9090909090909091	Entropy_euc;PCA_euc
DU_4475	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	0.5555555555555556	0.015873015873015872	0.6944444444444444	0.875	0.7105263157894737	0.016129032258064516	0.7631578947368421	0.2	0.4838709677419355	0.015625	0.6444444444444445	0.6744186046511628	0.6976744186046512	0.6216216216216216	0.4878048780487805	0.041666666666666664	0.6382978723404256	0	0.75	0.5	1	1	1	0.5	1	0.5	0.25	0.5	1	1	0.75	1	0.5	0.5	0.75	0.5	45	63	36	32	38	62	38	50	62	64	45	43	43	37	41	72	47	62	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc	0.875	MAD_corr
CAL_51	0.5	1	0.5	1	0.5	1	0.5	1	0.5	1	1	1	0.5	1	0.75	1	0.75	0.5	0	0.875	0	0.9354838709677419	0	0.9354838709677419	0	0.9354838709677419	0	0.875	0.8378378378378378	0.03125	0	0.014084507042253521	0.2	0.8666666666666667	0.3972602739726027	0	0.5	1	0.5	1	0.5	1	0.5	1	0.5	1	1	0.5	0.5	0.5	0.25	1	0.5	0.5	69	32	68	31	69	31	68	31	70	32	37	64	69	71	85	45	73	67	1	Variance_corr;MAD_corr;MeanAbsDev_corr;Entropy_corr;PCA_corr;Spearman_euc;Spearman_corr;MX_corr;kTotal_corr	0.9354838709677419	MAD_corr;MeanAbsDev_corr;Entropy_corr
CAL_120	0.5	1	1	1	0.5	1	1	1	0.5	1	1	1	0.5	1	0.75	1	0.5	0.5	0	0.9354838709677419	1	0.9354838709677419	0	0.875	1	0.9354838709677419	0	0.8181818181818182	0.7948717948717948	0.08196721311475409	0	0.014084507042253521	0.21428571428571427	0.8666666666666667	0	0	0.5	1	1	1	0.5	1	1	1	0.5	1	1	0.5	0.5	0.5	0.25	1	0.25	0.5	60	31	30	31	60	32	30	31	61	33	39	61	69	71	84	45	105	67	1	Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_corr;Spearman_euc;Spearman_corr;MX_corr;kTotal_corr	1	MAD_euc;Entropy_euc
MCF_7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.6666666666666666	0.391304347826087	0.75	0.5384615384615384	0.8823529411764706	0.575	0.8	0.4634146341463415	0.9090909090909091	0.7105263157894737	0.8	0.8461538461538461	0.8333333333333334	1	0.7428571428571429	0.5789473684210527	0.625	0.8235294117647058	0.75	0.5	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1	0.75	1	42	46	36	39	34	40	35	41	33	38	40	39	36	30	35	38	48	34	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	1	MX_corr
JIMT_1	0.5	1	1	1	0.5	1	1	1	0.5	1	1	1	1	1	1	1	0.5	1	0	0.9354838709677419	0.9354838709677419	0.9354838709677419	0	0.875	0.875	0.9354838709677419	0	0.7647058823529411	0.2962962962962963	0.06451612903225806	0.9354838709677419	1	0.034482758620689655	0.7872340425531915	0	1	0.5	1	1	1	0.5	1	1	1	0.5	1	0.5	0.5	1	1	0.5	1	0.5	1	61	31	31	31	60	32	32	31	61	34	54	62	31	30	58	47	61	30	1	Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_corr	1	MX_corr;HVG_corr
MFM_223	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5454545454545454	0.20754716981132076	0.6097560975609756	0.42857142857142855	0.7073170731707317	0.26	0.8108108108108109	0.30434782608695654	0.9090909090909091	0.8055555555555556	0.8	0.8461538461538461	0.7142857142857143	0.8181818181818182	0.7428571428571429	0.5	0.6	0.631578947368421	0.75	0.5	0.75	0.5	0.75	0.5	1	0.5	1	1	1	1	0.75	1	1	0.75	0.75	1	44	53	41	42	41	50	37	46	33	36	40	39	42	33	35	40	50	38	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	0.9090909090909091	PCA_euc
T_47D	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5952380952380952	0.3333333333333333	0.7297297297297297	0.42857142857142855	0.717948717948718	0.4318181818181818	0.8108108108108109	0.2765957446808511	0.9090909090909091	0.7567567567567568	0.8	0.8461538461538461	0.8108108108108109	0.6666666666666666	0.7941176470588235	0.6216216216216216	0.625	0.7222222222222222	0.75	0.5	1	0.5	1	0.5	1	0.5	1	1	1	1	1	1	1	1	0.75	1	42	48	37	42	39	44	37	47	33	37	40	39	37	36	34	37	48	36	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	0.9090909090909091	PCA_euc
CAL_148	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.42857142857142855	0.23076923076923078	0.5813953488372093	0.5	0.574468085106383	0.2857142857142857	0.7435897435897436	0.2765957446808511	0.8823529411764706	0.8055555555555556	0.8	0.8461538461538461	0.6976744186046512	0.6216216216216216	0.6944444444444444	0.3953488372093023	0.5454545454545454	0.55	0.5	0.5	0.75	0.75	0.75	0.5	1	0.5	1	1	1	1	0.75	1	1	0.5	0.75	1	49	52	43	40	47	49	39	47	34	36	40	39	43	37	36	43	55	40	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr	0.8823529411764706	PCA_euc
