direction	cell_line	n_pairs	max_p	median_p	frac_ge_thr	frac_eq_1	composite_score
PCA_euc	BT_474	33	1	1	0.9090909090909091	0.9090909090909091	0.6976105339905346
kTotal_euc	BT_474	32	1	1	0.90625	0.875	0.6674747326730458
MX_corr	BT_474	32	1	1	0.875	0.875	0.6408171623038537
Entropy_euc	BT_474	33	1	1	0.9090909090909091	0.7878787878787878	0.599077606597182
Spearman_corr	BT_474	39	1	1	0.8461538461538461	0.8461538461538461	0.5927612324151235
HVG_corr	BT_474	34	1	1	0.8235294117647058	0.8235294117647058	0.5550703070121978
PCA_corr	BT_474	36	1	1	0.8055555555555556	0.8055555555555556	0.5251269607198737
Spearman_euc	BT_474	40	1	1	0.8	0.775	0.49554932831827636
MAD_euc	BT_474	36	1	1	0.7777777777777778	0.6111111111111112	0.3433681049204219
MeanAbsDev_euc	BT_474	37	1	1	0.7837837837837838	0.5945945945945946	0.3350652608458121
MX_euc	BT_474	40	1	1	0.75	0.525	0.249673052978779
Variance_euc	BT_474	41	1	0.75	0.6829268292682927	0.43902439024390244	-0.16744577785647627
MAD_corr	BT_474	40	1	0.75	0.5	0.5	-0.27392322324960416
MeanAbsDev_corr	BT_474	42	1	0.75	0.5	0.5	-0.27392322324960416
kTotal_corr	BT_474	40	1	0.75	0.5	0.5	-0.27392322324960416
HVG_euc	BT_474	47	1	0.75	0.6382978723404256	0.3404255319148936	-0.2856668454979383
Entropy_corr	BT_474	43	1	0.5	0.3953488372093023	0.3953488372093023	-0.7382789635668238
Variance_corr	BT_474	46	1	0.5	0.391304347826087	0.391304347826087	-0.7450168357723215
MAD_euc	CAL_120	30	1	1	1	1	0.8490595251550175
Entropy_euc	CAL_120	30	1	1	1	1	0.8490595251550175
Variance_corr	CAL_120	31	1	1	0.9354838709677419	0.9354838709677419	0.7415795959415135
MAD_corr	CAL_120	31	1	1	0.9354838709677419	0.9354838709677419	0.7415795959415135
Entropy_corr	CAL_120	31	1	1	0.9354838709677419	0.9354838709677419	0.7415795959415135
MeanAbsDev_corr	CAL_120	32	1	1	0.875	0.875	0.6408171623038537
kTotal_corr	CAL_120	45	1	1	0.8666666666666667	0.8666666666666667	0.6269343381137761
PCA_corr	CAL_120	33	1	1	0.8181818181818182	0.8181818181818182	0.5461615428260519
Spearman_euc	CAL_120	39	1	1	0.7948717948717948	0.6923076923076923	0.4239544526818092
Spearman_corr	CAL_120	61	1	0.5	0.08196721311475409	0.08196721311475409	-1.2603536025714952
MX_corr	CAL_120	71	1	0.5	0.014084507042253521	0.014084507042253521	-1.3734420434456438
kTotal_euc	CAL_120	84	0.75	0.25	0.21428571428571427	0	-1.887205885953433
Variance_euc	CAL_120	60	0.5	0.5	0	0	-2.1630687427444872
MeanAbsDev_euc	CAL_120	60	0.5	0.5	0	0	-2.1630687427444872
PCA_euc	CAL_120	61	0.5	0.5	0	0	-2.1630687427444872
MX_euc	CAL_120	69	0.5	0.5	0	0	-2.1630687427444872
HVG_corr	CAL_120	67	0.5	0.5	0	0	-2.1630687427444872
HVG_euc	CAL_120	105	0.5	0.25	0	0	-2.4530820397444533
PCA_euc	CAL_148	34	1	1	0.8823529411764706	0.8823529411764706	0.6530667130598043
Spearman_corr	CAL_148	39	1	1	0.8461538461538461	0.8461538461538461	0.5927612324151235
PCA_corr	CAL_148	36	1	1	0.8055555555555556	0.8055555555555556	0.5251269607198737
Spearman_euc	CAL_148	40	1	1	0.8	0.775	0.49554932831827636
kTotal_euc	CAL_148	36	1	1	0.6944444444444444	0.6388888888888888	0.29486171313021914
Entropy_euc	CAL_148	39	1	1	0.7435897435897436	0.5128205128205128	0.2343041690768241
MX_corr	CAL_148	37	1	1	0.6216216216216216	0.6216216216216216	0.2187042646325755
HVG_corr	CAL_148	40	1	1	0.55	0.55	0.09938701889082767
MX_euc	CAL_148	43	1	0.75	0.6976744186046512	0.4418604651162791	-0.1525600252744322
MAD_euc	CAL_148	43	1	0.75	0.5813953488372093	0.4186046511627907	-0.2706555580666628
MAD_corr	CAL_148	40	1	0.75	0.5	0.5	-0.27392322324960416
MeanAbsDev_euc	CAL_148	47	1	0.75	0.574468085106383	0.3191489361702128	-0.35741202435831304
HVG_euc	CAL_148	55	1	0.75	0.5454545454545454	0.18181818181818182	-0.4937975098474206
kTotal_corr	CAL_148	43	1	0.5	0.3953488372093023	0.3953488372093023	-0.7382789635668238
Variance_euc	CAL_148	49	1	0.5	0.42857142857142855	0.2653061224489796	-0.8156499767351593
MeanAbsDev_corr	CAL_148	49	1	0.5	0.2857142857142857	0.2857142857142857	-0.9209234279944226
Entropy_corr	CAL_148	47	1	0.5	0.2765957446808511	0.2765957446808511	-0.9361143602388843
Variance_corr	CAL_148	52	1	0.5	0.23076923076923078	0.23076923076923078	-1.0124585325443847
MAD_corr	CAL_51	31	1	1	0.9354838709677419	0.9354838709677419	0.7415795959415135
MeanAbsDev_corr	CAL_51	31	1	1	0.9354838709677419	0.9354838709677419	0.7415795959415135
Entropy_corr	CAL_51	31	1	1	0.9354838709677419	0.9354838709677419	0.7415795959415135
Variance_corr	CAL_51	32	1	1	0.875	0.875	0.6408171623038537
PCA_corr	CAL_51	32	1	1	0.875	0.875	0.6408171623038537
kTotal_corr	CAL_51	45	1	1	0.8666666666666667	0.8666666666666667	0.6269343381137761
Spearman_euc	CAL_51	37	1	1	0.8378378378378378	0.7837837837837838	0.5349669111321477
Spearman_corr	CAL_51	64	1	0.5	0.03125	0.03125	-1.3448453809414347
MX_corr	CAL_51	71	1	0.5	0.014084507042253521	0.014084507042253521	-1.3734420434456438
HVG_euc	CAL_51	73	0.75	0.5	0.3972602739726027	0	-1.4411075585334605
kTotal_euc	CAL_51	85	0.75	0.25	0.2	0	-1.8993922038364923
Variance_euc	CAL_51	69	0.5	0.5	0	0	-2.1630687427444872
MAD_euc	CAL_51	68	0.5	0.5	0	0	-2.1630687427444872
MeanAbsDev_euc	CAL_51	69	0.5	0.5	0	0	-2.1630687427444872
Entropy_euc	CAL_51	68	0.5	0.5	0	0	-2.1630687427444872
PCA_euc	CAL_51	70	0.5	0.5	0	0	-2.1630687427444872
MX_euc	CAL_51	69	0.5	0.5	0	0	-2.1630687427444872
HVG_corr	CAL_51	67	0.5	0.5	0	0	-2.1630687427444872
Variance_corr	CAL_85_1	30	1	1	1	1	0.8490595251550175
MAD_corr	CAL_85_1	30	1	1	1	1	0.8490595251550175
Entropy_corr	CAL_85_1	30	1	1	1	1	0.8490595251550175
MX_euc	CAL_85_1	30	1	1	1	1	0.8490595251550175
MX_corr	CAL_85_1	30	1	1	1	1	0.8490595251550175
HVG_corr	CAL_85_1	30	1	1	1	1	0.8490595251550175
Variance_euc	CAL_85_1	31	1	1	0.9354838709677419	0.9354838709677419	0.7415795959415135
MeanAbsDev_euc	CAL_85_1	31	1	1	0.9354838709677419	0.9354838709677419	0.7415795959415135
MeanAbsDev_corr	CAL_85_1	31	1	1	0.9354838709677419	0.9354838709677419	0.7415795959415135
PCA_euc	CAL_85_1	31	1	1	0.9354838709677419	0.9354838709677419	0.7415795959415135
PCA_corr	CAL_85_1	31	1	1	0.9354838709677419	0.9354838709677419	0.7415795959415135
MAD_euc	CAL_85_1	32	1	1	0.90625	0.875	0.6674747326730458
HVG_euc	CAL_85_1	32	1	1	0.90625	0.875	0.6674747326730458
Entropy_euc	CAL_85_1	32	1	1	0.875	0.875	0.6408171623038537
kTotal_corr	CAL_85_1	45	1	1	0.8666666666666667	0.8666666666666667	0.6269343381137761
Spearman_corr	CAL_85_1	59	1	0.5	0.11864406779661017	0.11864406779661017	-1.1992522035243074
Spearman_euc	CAL_85_1	59	1	0.5	0.05084745762711865	0.03389830508474576	-1.3259751232231618
kTotal_euc	CAL_85_1	82	0.75	0.25	0.24390243902439024	0	-1.861941568390993
Variance_euc	COLO_824	30	1	1	1	1	0.8490595251550175
Variance_corr	COLO_824	30	1	1	1	1	0.8490595251550175
MAD_euc	COLO_824	30	1	1	1	1	0.8490595251550175
MAD_corr	COLO_824	30	1	1	1	1	0.8490595251550175
MeanAbsDev_euc	COLO_824	30	1	1	1	1	0.8490595251550175
MeanAbsDev_corr	COLO_824	30	1	1	1	1	0.8490595251550175
Entropy_euc	COLO_824	30	1	1	1	1	0.8490595251550175
PCA_corr	COLO_824	30	1	1	1	1	0.8490595251550175
Spearman_euc	COLO_824	30	1	1	1	1	0.8490595251550175
