cell_line	best_max_p	best_dir_max_p
BT_474	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr
CAL_120	1	Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_corr;Spearman_euc;Spearman_corr;MX_corr;kTotal_corr
CAL_148	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr
CAL_51	1	Variance_corr;MAD_corr;MeanAbsDev_corr;Entropy_corr;PCA_corr;Spearman_euc;Spearman_corr;MX_corr;kTotal_corr
CAL_85_1	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_corr;HVG_euc;HVG_corr
COLO_824	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;HVG_euc;HVG_corr
DU_4475	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc
EFM_19	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr
EFM_192A	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr
EFM_192B	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr
EFM_192C	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr
ETCC_006	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr
ETCC_007	1	Variance_corr;MAD_corr;MeanAbsDev_corr;Entropy_corr;PCA_corr;Spearman_euc;Spearman_corr;MX_corr;kTotal_euc;kTotal_corr
EVSA_T	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr
HCC_1143	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr
HCC_1599	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr
HCC_1937	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_corr;HVG_euc;HVG_corr
HDQ_P1	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_corr;HVG_euc;HVG_corr
HS_578T	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr
IPH_926	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_euc;HVG_corr
JIMT_1	1	Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_corr;Entropy_euc;Entropy_corr;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;kTotal_euc;kTotal_corr;HVG_corr
