rank	cell_line	best_direction	CPI	composite_score	frac_ge_thr	median_p	max_p	frac_eq_1
1	CAL_120	MAD_euc	0.8490595251550175	0.8490595251550175	1	1	1	1
2	CAL_85_1	Variance_corr	0.8490595251550175	0.8490595251550175	1	1	1	1
3	COLO_824	Variance_euc	0.8490595251550175	0.8490595251550175	1	1	1	1
4	EFM_19	kTotal_euc	0.8490595251550175	0.8490595251550175	1	1	1	1
5	EVSA_T	kTotal_euc	0.8490595251550175	0.8490595251550175	1	1	1	1
6	HCC_1143	Variance_euc	0.8490595251550175	0.8490595251550175	1	1	1	1
7	HCC_1599	Variance_corr	0.8490595251550175	0.8490595251550175	1	1	1	1
8	HCC_1937	Variance_corr	0.8490595251550175	0.8490595251550175	1	1	1	1
9	HDQ_P1	Variance_corr	0.8490595251550175	0.8490595251550175	1	1	1	1
10	IPH_926	kTotal_euc	0.8490595251550175	0.8490595251550175	1	1	1	1
11	JIMT_1	MX_corr	0.8490595251550175	0.8490595251550175	1	1	1	1
12	MCF_7	MX_corr	0.8490595251550175	0.8490595251550175	1	1	1	1
13	MDA_MB_453	kTotal_euc	0.8490595251550175	0.8490595251550175	1	1	1	1
14	MDA_MB_468	Variance_corr	0.8490595251550175	0.8490595251550175	1	1	1	1
15	SK_BR_3	kTotal_euc	0.8490595251550175	0.8490595251550175	1	1	1	1
16	CAL_51	MAD_corr	0.7415795959415135	0.7415795959415135	0.9354838709677419	1	1	0.9354838709677419
17	EFM_192C	kTotal_euc	0.7415795959415135	0.7415795959415135	0.9354838709677419	1	1	0.9354838709677419
18	ETCC_006	Variance_corr	0.7415795959415135	0.7415795959415135	0.9354838709677419	1	1	0.9354838709677419
19	ETCC_007	Variance_corr	0.7415795959415135	0.7415795959415135	0.9354838709677419	1	1	0.9354838709677419
20	HS_578T	Variance_corr	0.7415795959415135	0.7415795959415135	0.9354838709677419	1	1	0.9354838709677419
21	KPL_1	MX_corr	0.7415795959415135	0.7415795959415135	0.9354838709677419	1	1	0.9354838709677419
22	MDA_MB_231	Variance_corr	0.7415795959415135	0.7415795959415135	0.9354838709677419	1	1	0.9354838709677419
23	BT_474	PCA_euc	0.6976105339905346	0.6976105339905346	0.9090909090909091	1	1	0.9090909090909091
24	MFM_223	PCA_euc	0.6976105339905346	0.6976105339905346	0.9090909090909091	1	1	0.9090909090909091
25	T_47D	PCA_euc	0.6976105339905346	0.6976105339905346	0.9090909090909091	1	1	0.9090909090909091
26	CAL_148	PCA_euc	0.6530667130598043	0.6530667130598043	0.8823529411764706	1	1	0.8823529411764706
27	DU_4475	MAD_corr	0.6408171623038537	0.6408171623038537	0.875	1	1	0.875
28	EFM_192A	Spearman_corr	0.5927612324151235	0.5927612324151235	0.8461538461538461	1	1	0.8461538461538461
29	EFM_192B	Spearman_corr	0.5158717445931553	0.5158717445931553	0.8	1	1	0.8
