cell_line	best_frac_ge_thr	best_dir_frac_ge_thr
CAL_120	1	MAD_euc;Entropy_euc
CAL_85_1	1	Variance_corr;MAD_corr;Entropy_corr;MX_euc;MX_corr;HVG_corr
COLO_824	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;HVG_euc;HVG_corr
EFM_19	1	kTotal_euc
EVSA_T	1	kTotal_euc
HCC_1143	1	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_corr;PCA_euc;PCA_corr;MX_euc;MX_corr;HVG_corr
HCC_1599	1	Variance_corr;MAD_corr;MeanAbsDev_corr;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;HVG_corr
HCC_1937	1	Variance_corr;MeanAbsDev_corr;Entropy_corr;MX_corr;HVG_corr
HDQ_P1	1	Variance_corr;MAD_corr;MeanAbsDev_euc;Entropy_corr;PCA_euc;MX_euc;MX_corr;HVG_corr
IPH_926	1	kTotal_euc
JIMT_1	1	MX_corr;HVG_corr
MCF_7	1	MX_corr
MDA_MB_453	1	kTotal_euc
MDA_MB_468	1	Variance_corr;MAD_corr;Entropy_corr;MX_corr;HVG_corr
SK_BR_3	1	kTotal_euc
KPL_1	0.9375	Entropy_euc
CAL_51	0.9354838709677419	MAD_corr;MeanAbsDev_corr;Entropy_corr
EFM_192C	0.9354838709677419	kTotal_euc
ETCC_006	0.9354838709677419	Variance_corr;MAD_corr;Entropy_corr
ETCC_007	0.9354838709677419	Variance_corr;MAD_corr;Entropy_corr
HS_578T	0.9354838709677419	Variance_corr;MAD_corr;MeanAbsDev_corr;Entropy_corr;PCA_corr
MDA_MB_231	0.9354838709677419	Variance_corr;MAD_euc;MAD_corr;Entropy_euc;Entropy_corr
BT_474	0.9090909090909091	Entropy_euc;PCA_euc
MFM_223	0.9090909090909091	PCA_euc
T_47D	0.9090909090909091	PCA_euc
CAL_148	0.8823529411764706	PCA_euc
DU_4475	0.875	MAD_corr
EFM_192A	0.8484848484848485	kTotal_euc
EFM_192B	0.8	Spearman_corr
