direction	n_pairs	n_cell_lines	frac_ge_thr	frac_eq_1	median_p	p90
Variance_euc	1315	29	0.5204287455919029	0.4401068993352348	0.75	1
Variance_corr	1174	29	0.6192948580478423	0.6192948580478423	0.5	1
MAD_euc	1163	29	0.667670281926963	0.6093302485286473	1	1
MAD_corr	1018	29	0.7419757695761319	0.7419757695761319	1	1
MeanAbsDev_euc	1281	29	0.5827478632985705	0.4882349579708165	1	1
MeanAbsDev_corr	1123	29	0.6541852399611667	0.6541852399611667	1	1
Entropy_euc	1145	29	0.7155342538739637	0.6254221283074379	1	1
Entropy_corr	1101	29	0.6449338539039352	0.6449338539039352	1	1
PCA_euc	1210	29	0.6683389234001758	0.6474598025210548	1	1
PCA_corr	1026	29	0.8010424888968524	0.8010424888968524	1	1
Spearman_euc	1208	29	0.700594622893029	0.6754484296397524	1	1
Spearman_corr	1355	29	0.561763193774667	0.561763193774667	1	1
MX_euc	1198	29	0.6995246736633756	0.6180297042985091	1	1
MX_corr	1185	29	0.6628793324169249	0.6628793324169249	1	1
kTotal_euc	1382	29	0.6091967164091173	0.5431565937935262	1	1
kTotal_corr	1286	29	0.6509204494000905	0.6509204494000905	1	1
HVG_euc	1465	29	0.6136684462684835	0.40265227817616567	0.75	1
HVG_corr	1231	29	0.5936146693102335	0.5936146693102335	1	1
