cell_line	final_neighbors	n_final	reps_used	best_overall_dir	winner_dir
MDA_MB_231	HS_578T;ETCC_007;ETCC_006;CAL_120;CAL_51;HDQ_P1	6	best_overall=PCA_corr;winner=Variance_corr;MAD_euc;MAD_corr;Entropy_euc;Entropy_corr	PCA_corr	Variance_corr;MAD_euc;MAD_corr;Entropy_euc;Entropy_corr
CAL_51	ETCC_006;ETCC_007;HS_578T;MDA_MB_231;CAL_120	5	best_overall=PCA_corr;winner=MAD_corr;MeanAbsDev_corr;Entropy_corr	PCA_corr	MAD_corr;MeanAbsDev_corr;Entropy_corr
ETCC_006	HS_578T;ETCC_007;MDA_MB_231;CAL_51;CAL_120	5	best_overall=PCA_corr;winner=Variance_corr;MAD_corr;Entropy_corr	PCA_corr	Variance_corr;MAD_corr;Entropy_corr
ETCC_007	HS_578T;MDA_MB_231;ETCC_006;CAL_51;CAL_120	5	best_overall=PCA_corr;winner=Variance_corr;MAD_corr;Entropy_corr	PCA_corr	Variance_corr;MAD_corr;Entropy_corr
HCC_1143	HCC_1599;HDQ_P1;JIMT_1;CAL_85_1;COLO_824	5	best_overall=PCA_corr;winner=Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_corr;PCA_euc;PCA_corr;MX_euc;MX_corr;HVG_corr	PCA_corr	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_corr;PCA_euc;PCA_corr;MX_euc;MX_corr;HVG_corr
HS_578T	MDA_MB_231;ETCC_006;ETCC_007;CAL_51;CAL_120	5	best_overall=PCA_corr;winner=Variance_corr;MAD_corr;MeanAbsDev_corr;Entropy_corr;PCA_corr	PCA_corr	Variance_corr;MAD_corr;MeanAbsDev_corr;Entropy_corr;PCA_corr
CAL_85_1	JIMT_1;HDQ_P1;HCC_1143;CAL_120	4	best_overall=PCA_corr;winner=Variance_corr;MAD_corr;Entropy_corr;MX_euc;MX_corr;HVG_corr	PCA_corr	Variance_corr;MAD_corr;Entropy_corr;MX_euc;MX_corr;HVG_corr
HDQ_P1	JIMT_1;MDA_MB_231;CAL_85_1;HCC_1143	4	best_overall=PCA_corr;winner=Variance_corr;MAD_corr;MeanAbsDev_euc;Entropy_corr;PCA_euc;MX_euc;MX_corr;HVG_corr	PCA_corr	Variance_corr;MAD_corr;MeanAbsDev_euc;Entropy_corr;PCA_euc;MX_euc;MX_corr;HVG_corr
BT_474	MFM_223;EFM_192C;EVSA_T	3	best_overall=PCA_corr;winner=Entropy_euc;PCA_euc	PCA_corr	Entropy_euc;PCA_euc
EFM_192C	T_47D;KPL_1;EFM_19	3	best_overall=PCA_corr;winner=kTotal_euc	PCA_corr	kTotal_euc
JIMT_1	CAL_85_1;HDQ_P1;HCC_1143	3	best_overall=PCA_corr;winner=MX_corr;HVG_corr	PCA_corr	MX_corr;HVG_corr
T_47D	EFM_192C;KPL_1;EFM_19	3	best_overall=PCA_corr;winner=PCA_euc	PCA_corr	PCA_euc
CAL_120	MDA_MB_231;CAL_85_1	2	best_overall=PCA_corr;winner=MAD_euc;Entropy_euc	PCA_corr	MAD_euc;Entropy_euc
COLO_824	HCC_1599;HCC_1143	2	best_overall=PCA_corr;winner=Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;HVG_euc;HVG_corr	PCA_corr	Variance_euc;Variance_corr;MAD_euc;MAD_corr;MeanAbsDev_euc;MeanAbsDev_corr;Entropy_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;HVG_euc;HVG_corr
EFM_19	EFM_192C;T_47D	2	best_overall=PCA_corr;winner=kTotal_euc	PCA_corr	kTotal_euc
HCC_1599	COLO_824;HCC_1143	2	best_overall=PCA_corr;winner=Variance_corr;MAD_corr;MeanAbsDev_corr;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;HVG_corr	PCA_corr	Variance_corr;MAD_corr;MeanAbsDev_corr;Entropy_corr;PCA_euc;PCA_corr;Spearman_euc;Spearman_corr;MX_euc;MX_corr;HVG_corr
KPL_1	MCF_7;EFM_192C	2	best_overall=PCA_corr;winner=Entropy_euc	PCA_corr	Entropy_euc
MFM_223	BT_474;CAL_148	2	best_overall=PCA_corr;winner=PCA_euc	PCA_corr	PCA_euc
CAL_148	MFM_223	1	best_overall=PCA_corr;winner=PCA_euc	PCA_corr	PCA_euc
EFM_192B	EFM_192A	1	best_overall=PCA_corr;winner=Spearman_corr	PCA_corr	Spearman_corr
EVSA_T	MDA_MB_453	1	best_overall=PCA_corr;winner=kTotal_euc	PCA_corr	kTotal_euc
HCC_1937	MDA_MB_468	1	best_overall=PCA_corr;winner=Variance_corr;MeanAbsDev_corr;Entropy_corr;MX_corr;HVG_corr	PCA_corr	Variance_corr;MeanAbsDev_corr;Entropy_corr;MX_corr;HVG_corr
MCF_7	KPL_1	1	best_overall=PCA_corr;winner=MX_corr	PCA_corr	MX_corr
MDA_MB_453	EVSA_T	1	best_overall=PCA_corr;winner=kTotal_euc	PCA_corr	kTotal_euc
MDA_MB_468	HCC_1937	1	best_overall=PCA_corr;winner=Variance_corr;MAD_corr;Entropy_corr;MX_corr;HVG_corr	PCA_corr	Variance_corr;MAD_corr;Entropy_corr;MX_corr;HVG_corr
DU_4475		0	best_overall=PCA_corr;winner=MAD_corr	PCA_corr	MAD_corr
EFM_192A		0	best_overall=PCA_corr;winner=kTotal_euc	PCA_corr	kTotal_euc
IPH_926		0	best_overall=PCA_corr;winner=kTotal_euc	PCA_corr	kTotal_euc
SK_BR_3		0	best_overall=PCA_corr;winner=kTotal_euc	PCA_corr	kTotal_euc
