cell_line	sample_id	cell_line_display	component	is_isolate	degree	betweenness	community_louv	community_leid
MDA_MB_231	NG-29643_MDA_MB_231_lib581314_8005_3	MDA_MB_231	1	FALSE	6	12.5	2	1
HDQ_P1	NG-29643_HDQ_P1_lib581303_8005_3	HDQ_P1	1	FALSE	4	12.5	3	10
CAL_85_1	NG-29643_CAL_85_1_lib581300_7997_4	CAL_85_1	1	FALSE	4	12.5	3	11
MFM_223	NG-29643_MFM_223_lib581297_7997_4	MFM_223	2	FALSE	3	10.833333333333332	1	12
KPL_1	NG-29643_KPL_1_lib581296_7997_4	KPL_1	2	FALSE	3	10	1	13
BT_474	NG-29643_BT_474_lib581288_7997_4	BT_474	2	FALSE	3	7.999999999999999	1	14
JIMT_1	NG-29643_JIMT_1_B_lib581287_7997_4	JIMT_1	1	FALSE	3	0	3	15
EFM_19	NG-29643_EFM_19_lib581291_7997_4	EFM_19	2	FALSE	3	18	1	16
HCC_1599	NG-29643_HCC_1599_lib581304_7997_4	HCC_1599	1	FALSE	2	0	3	17
EFM_192B	NG-29643_EFM_192B_lib581293_7997_4	EFM_192B	2	FALSE	2	10	4	18
COLO_824	NG-29643_COLO_824_lib581290_7997_4	COLO_824	1	FALSE	2	0	3	19
CAL_120	NG-29643_CAL_120_lib581301_8005_3	CAL_120	1	FALSE	6	12.5	2	2
MDA_MB_453	NG-29643_MDA_MB_453_lib581289_7997_4	MDA_MB_453	2	FALSE	2	3.333333333333333	1	20
EVSA_T	NG-29643_EVSA_T_lib581299_7997_4	EVSA_T	2	FALSE	2	1.1666666666666663	1	21
MCF_7	NG-29643_MCF_7_lib581315_7997_4	MCF_7	2	FALSE	1	0	1	22
EFM_192A	NG-29643_EFM_192A_lib581292_7997_4	EFM_192A	2	FALSE	1	0	4	23
HCC_1937	NG-29643_HCC_1937_lib581305_7997_4	HCC_1937	3	FALSE	1	0	5	24
MDA_MB_468	NG-30919_MDA_MB_468_B_lib628474_10098_2	MDA_MB_468	3	FALSE	1	0	5	25
CAL_148	NG-29643_CAL_148_lib581302_7997_4	CAL_148	2	FALSE	1	0	1	26
ETCC_006	NG-29643_ETCC_006_lib581311_8005_3	ETCC_006	1	FALSE	5	0	2	3
HS_578T	NG-30919_HS_578T_B_lib628473_10098_2	HS_578T	1	FALSE	5	0	2	4
ETCC_007	NG-29643_ETCC_007_lib581312_7997_4	ETCC_007	1	FALSE	5	0	2	5
CAL_51	NG-29643_CAL_51_lib581295_7997_4	CAL_51	1	FALSE	5	0	2	6
EFM_192C	NG-29643_EFM_192C_lib581294_7997_4	EFM_192C	2	FALSE	5	21.999999999999996	1	7
HCC_1143	NG-29643_HCC_1143_lib581306_7997_4	HCC_1143	1	FALSE	5	18	3	8
T_47D	NG-29643_T_47D_lib581309_8005_3	T_47D	2	FALSE	4	14.666666666666666	1	9
DU_4475	NG-29643_DU_4475_lib581298_7997_4	DU_4475	4	TRUE	0	0	6	27
IPH_926	NG-29643_IPH_926_lib581313_7997_4	IPH_926	5	TRUE	0	0	7	28
SK_BR_3	NG-29643_SK_BR_3_lib581307_7997_4	SK_BR_3	6	TRUE	0	0	8	29
