rank	cell_line	best_direction	CPI	composite_score	frac_ge_thr	median_p	max_p	frac_eq_1
1	CCLF_PEDS_0051_T	Spearman_corr	0.7101523466374987	0.7101523466374987	1	1	1	1
2	CHP_126	Spearman_corr	0.7101523466374987	0.7101523466374987	1	1	1	1
3	CHP_134	Spearman_corr	0.7101523466374987	0.7101523466374987	1	1	1	1
4	GI_ME_N	Spearman_corr	0.7101523466374987	0.7101523466374987	1	1	1	1
5	IMR_32	Spearman_corr	0.7101523466374987	0.7101523466374987	1	1	1	1
6	KELLY	Spearman_corr	0.7101523466374987	0.7101523466374987	1	1	1	1
7	LAN1	Variance_euc	0.7101523466374987	0.7101523466374987	1	1	1	1
8	LAN2	MX_corr	0.7101523466374987	0.7101523466374987	1	1	1	1
9	LAN5	Spearman_corr	0.7101523466374987	0.7101523466374987	1	1	1	1
10	LAN6	kTotal_euc	0.7101523466374987	0.7101523466374987	1	1	1	1
11	LS	Spearman_corr	0.7101523466374987	0.7101523466374987	1	1	1	1
12	MHH_NB_11	PCA_euc	0.7101523466374987	0.7101523466374987	1	1	1	1
13	NBL_S	MX_corr	0.7101523466374987	0.7101523466374987	1	1	1	1
14	NGP	Spearman_corr	0.7101523466374987	0.7101523466374987	1	1	1	1
15	NMB	Spearman_corr	0.7101523466374987	0.7101523466374987	1	1	1	1
16	SH_SY5Y	kTotal_euc	0.7101523466374987	0.7101523466374987	1	1	1	1
17	SIMA	kTotal_euc	0.7101523466374987	0.7101523466374987	1	1	1	1
18	SK_N_BE_2	Spearman_corr	0.7101523466374987	0.7101523466374987	1	1	1	1
