direction	cell_line	n_pairs	max_p	median_p	frac_ge_thr	frac_eq_1	composite_score
Variance_euc	LAN1	30	1	1	1	1	0.7101523466374987
Variance_euc	CHP_126	31	1	1	0.9354838709677419	0.9354838709677419	0.5978605935806575
Variance_euc	CHP_134	31	1	1	0.9354838709677419	0.9354838709677419	0.5978605935806575
Variance_euc	KELLY	31	1	1	0.9354838709677419	0.9354838709677419	0.5978605935806575
Variance_euc	NMB	31	1	1	0.9354838709677419	0.9354838709677419	0.5978605935806575
Variance_euc	LAN2	32	1	1	0.875	0.875	0.4925870750898691
Variance_euc	LAN5	32	1	1	0.875	0.875	0.4925870750898691
Variance_euc	LAN6	32	1	1	0.875	0.875	0.4925870750898691
Variance_euc	MHH_NB_11	32	1	1	0.875	0.875	0.4925870750898691
Variance_euc	SIMA	32	1	1	0.875	0.875	0.4925870750898691
Variance_euc	NBL_S	33	1	1	0.8181818181818182	0.8181818181818182	0.3936937698409466
Variance_euc	IMR_32	34	1	1	0.7647058823529411	0.7647058823529411	0.3006177178419605
Variance_euc	NGP	37	1	1	0.6216216216216216	0.6216216216216216	0.051576389520349576
Variance_euc	SH_SY5Y	43	1	0.5	0.3953488372093023	0.3953488372093023	-0.9761714832691463
Variance_euc	SK_N_BE_2	43	1	0.5	0.3953488372093023	0.3953488372093023	-0.9761714832691463
Variance_euc	LS	44	1	0.5	0.36363636363636365	0.36363636363636365	-1.0313677466638937
Variance_euc	GI_ME_N	49	1	0.5	0.22448979591836735	0.22448979591836735	-1.2735554329877856
Variance_euc	CCLF_PEDS_0051_T	62	0.75	0.25	0.45161290322580644	0	-2.0780577944723753
Variance_corr	CHP_126	32	1	1	0.875	0.875	0.4925870750898691
Variance_corr	NMB	32	1	1	0.875	0.875	0.4925870750898691
Variance_corr	IMR_32	33	1	1	0.8181818181818182	0.8181818181818182	0.3936937698409466
Variance_corr	LAN1	33	1	1	0.8181818181818182	0.8181818181818182	0.3936937698409466
Variance_corr	LAN2	33	1	1	0.8181818181818182	0.8181818181818182	0.3936937698409466
Variance_corr	MHH_NB_11	33	1	1	0.8181818181818182	0.8181818181818182	0.3936937698409466
Variance_corr	NBL_S	33	1	1	0.8181818181818182	0.8181818181818182	0.3936937698409466
Variance_corr	CHP_134	34	1	1	0.7647058823529411	0.7647058823529411	0.3006177178419605
Variance_corr	KELLY	34	1	1	0.7647058823529411	0.7647058823529411	0.3006177178419605
Variance_corr	NGP	34	1	1	0.7647058823529411	0.7647058823529411	0.3006177178419605
Variance_corr	LAN5	35	1	1	0.7142857142857143	0.7142857142857143	0.2128602973857739
Variance_corr	LAN6	36	1	1	0.6666666666666666	0.6666666666666666	0.129978289177153
Variance_corr	SIMA	36	1	1	0.6666666666666666	0.6666666666666666	0.129978289177153
Variance_corr	GI_ME_N	56	1	0.5	0.07142857142857142	0.07142857142857142	-1.5399618879440669
Variance_corr	CCLF_PEDS_0051_T	58	1	0.5	0.034482758620689655	0.034482758620689655	-1.6042668943128242
Variance_corr	SK_N_BE_2	58	1	0.5	0.034482758620689655	0.034482758620689655	-1.6042668943128242
Variance_corr	LS	60	0.5	0.5	0	0	-2.6675265676889603
Variance_corr	SH_SY5Y	60	0.5	0.5	0	0	-2.6675265676889603
MAD_euc	LAN1	33	1	1	0.9090909090909091	0.8181818181818182	0.4751805865907994
MAD_euc	IMR_32	35	1	1	0.8571428571428571	0.7142857142857143	0.340911009421257
MAD_euc	MHH_NB_11	34	1	1	0.8529411764705882	0.7941176470588235	0.40453631022071945
MAD_euc	CHP_134	35	1	1	0.8285714285714286	0.7428571428571429	0.3394199295322363
MAD_euc	LAN5	35	1	1	0.8285714285714286	0.7428571428571429	0.3394199295322363
MAD_euc	NMB	36	1	1	0.7222222222222222	0.6944444444444444	0.20322487686130355
MAD_euc	LS	42	1	0.75	0.6904761904761905	0.4523809523809524	-0.34653043162589864
MAD_euc	CHP_126	38	1	1	0.6842105263157895	0.6578947368421053	0.13829883988210145
MAD_euc	LAN2	37	1	1	0.6756756756756757	0.6486486486486487	0.12284333969952312
MAD_euc	NGP	41	1	1	0.6341463414634146	0.5609756097560976	0.011607611268876385
MAD_euc	GI_ME_N	43	1	0.75	0.6046511627906976	0.4883720930232558	-0.3930775829713453
MAD_euc	SK_N_BE_2	43	1	1	0.5813953488372093	0.5116279069767442	-0.07733371539172515
MAD_euc	KELLY	40	1	1	0.575	0.55	-0.05067375632775834
MAD_euc	LAN6	40	1	1	0.575	0.55	-0.05067375632775834
MAD_euc	SIMA	40	1	1	0.575	0.55	-0.05067375632775834
MAD_euc	NBL_S	45	1	0.5	0.4666666666666667	0.4444444444444444	-0.8708004906599065
MAD_euc	CCLF_PEDS_0051_T	64	0.75	0.25	0.40625	0	-2.118719058878804
MAD_euc	SH_SY5Y	63	0.75	0.5	0.09523809523809523	0	-2.0805385926159907
MAD_corr	CHP_126	32	1	1	0.875	0.875	0.4925870750898691
MAD_corr	NMB	32	1	1	0.875	0.875	0.4925870750898691
MAD_corr	MHH_NB_11	33	1	1	0.8181818181818182	0.8181818181818182	0.3936937698409466
MAD_corr	IMR_32	34	1	1	0.7647058823529411	0.7647058823529411	0.3006177178419605
MAD_corr	LAN1	34	1	1	0.7647058823529411	0.7647058823529411	0.3006177178419605
MAD_corr	LAN5	34	1	1	0.7647058823529411	0.7647058823529411	0.3006177178419605
MAD_corr	NBL_S	34	1	1	0.7647058823529411	0.7647058823529411	0.3006177178419605
MAD_corr	CHP_134	35	1	1	0.7142857142857143	0.7142857142857143	0.2128602973857739
MAD_corr	LAN2	36	1	1	0.6666666666666666	0.6666666666666666	0.129978289177153
MAD_corr	LAN6	36	1	1	0.6666666666666666	0.6666666666666666	0.129978289177153
MAD_corr	NGP	36	1	1	0.6666666666666666	0.6666666666666666	0.129978289177153
MAD_corr	KELLY	37	1	1	0.6216216216216216	0.6216216216216216	0.051576389520349576
MAD_corr	SIMA	37	1	1	0.6216216216216216	0.6216216216216216	0.051576389520349576
MAD_corr	GI_ME_N	56	1	0.5	0.07142857142857142	0.07142857142857142	-1.5399618879440669
MAD_corr	SH_SY5Y	57	1	0.5	0.05263157894736842	0.05263157894736842	-1.57267847013168
MAD_corr	SK_N_BE_2	57	1	0.5	0.05263157894736842	0.05263157894736842	-1.57267847013168
