cell_line	sample_id	cell_line_display	component	is_isolate	degree	betweenness	community_louv	community_leid
CHP_134	NG-A0611_CHP134_libLAB6074	CHP_134	1	FALSE	4	8	3	1
NGP	NG-A0611_NGP_libLAB6082	NGP	2	FALSE	2	5	4	10
KELLY	NG-A0611_KELLY_libLAB6075	KELLY	1	FALSE	2	0	3	11
NBL_S	NG-A0611_NBLS_libLAB6077	NBL_S	2	FALSE	1	0	4	12
LAN2	NG-A0611_LAN2_libLAB6083	LAN2	1	FALSE	1	0	2	13
NMB	NG-A0611_NMB_libLAB6080	NMB	2	FALSE	1	0	1	14
SK_N_BE_2	NG-A0611_SKNBE2_libLAB6076	SK_N_BE_2	1	FALSE	3	3	2	2
CHP_126	NG-A0611_CHP126_libLAB6088	CHP_126	2	FALSE	3	3	1	3
GI_ME_N	NG-A0611_GIMEN_libLAB6073	GI_ME_N	1	FALSE	3	3	2	4
LAN1	NG-A0611_LAN1_libLAB6085	LAN1	2	FALSE	3	8	1	5
CCLF_PEDS_0051_T	NG-A2798_CCLF_PEDS_0051_T_libLAI2540	CCLF_PEDS_0051_T	1	FALSE	3	5	2	6
IMR_32	NG-A0611_IMR32_libLAB6079	IMR_32	2	FALSE	3	3	1	7
LAN5	NG-A0611_LAN5_libLAB6087	LAN5	2	FALSE	3	5	1	8
LS	NG-A0611_LS_libLAB6078	LS	1	FALSE	2	0	3	9
LAN6	NG-A0611_LAN6_libLAB6089	LAN6	3	TRUE	0	0	5	15
MHH_NB_11	NG-A0611_MHHNB11_libLAB6084	MHH_NB_11	4	TRUE	0	0	6	16
SH_SY5Y	NG-A0611_SHSY5Y_libLAB6081	SH_SY5Y	5	TRUE	0	0	7	17
SIMA	NG-A0611_SIMA_libLAB6086	SIMA	6	TRUE	0	0	8	18
