figure_label	tex_file	old_includegraphics_path	new_includegraphics_path	source_file	sha256	caption_start
fig:rbl_patient_referenced_graphs	results.tex	NA	NA	figures/retinoblastoma/Fig_RBL_multi_representation_union_supported_edges_network.pdf	66d2640a3b92c73027dcd9091c822753194b91bcb56bde1fc26178987f49c6e6	Union-supported multi-representation network.
fig:rbl_patient_referenced_graphs	results.tex	NA	NA	figures/retinoblastoma/Fig_RBL_multi_representation_union_supported_edges_network_legend.pdf	bde17172968a3cf7256bd1e4be4221809e6bd08324d2b28b3fb7fc5bdce32727	Union-supported multi-representation network.
fig:rbl_patient_referenced_graphs	results.tex	NA	NA	figures/retinoblastoma/Fig_RBL_patient_referenced_resolved_cell_line_neighbourhood_graph.pdf	0e4deee5e5890d11698bef25233d0b66270446c7a08c49b63d6b534bc7570129	Union-supported multi-representation network.
fig:rbl_patient_referenced_graphs	results.tex	NA	NA	figures/retinoblastoma/Fig_RBL_patient_referenced_resolved_cell_line_neighbourhood_graph_legend.pdf	801fdbc4f47a998ae6471ac373c9aee991101080aeb1709f3268f14d14c8fdbc	Union-supported multi-representation network.
fig:brca_purity_analysis	results.tex	NA	NA	figures/tumour_purity_analysis/breast_cancer_tpa/brca_sample_retention.pdf	a8edcd50b743337095a963c2af0049f13d05833df54b23d33c37e40d069bcd6e	NA
fig:brca_purity_analysis	results.tex	NA	NA	figures/tumour_purity_analysis/breast_cancer_tpa/brca_tumour_distribution.pdf	8f22fa7ff5fdb9fdf17591fff83cfd293ff267bf74f16ca95d878ff3f381841f	NA
fig:brca_purity_analysis	results.tex	NA	NA	figures/tumour_purity_analysis/breast_cancer_tpa/brca_tumour_immune_score.pdf	ebba133f33590c1dde6ad803906839ad2f413a7b053a200cdbf73ace05875cb8	NA
fig:brca_purity_analysis	results.tex	NA	NA	figures/tumour_purity_analysis/breast_cancer_tpa/brca_tumour_purity_stromalScore.pdf	97da5ec2cc3b81371ae91a230845876332ba0685181dfcf4e5b48b7957b13a8c	NA
fig:supp_graph_resolution_sensitivity	supplementary.tex	NA	NA	results/unsupervised/pan_cancer/cell_line_similarity/pan_cancer_cell_line_leiden_resolution_sweep_diagnostic.pdf	c1fca544163dd2a58bd23980eaeb8c5bfdfde4d485d414b664a2b15a748174c4	Louvain resolution grid.
fig:supp_graph_resolution_sensitivity	supplementary.tex	NA	NA	results/unsupervised/pan_cancer/cell_line_similarity/pan_cancer_cell_line_louvain_resolution_sweep_diagnostic.pdf	55dc9b0b0dfb4ae49a9c6679b57f58c629ec4fa1798f923c2594bb5e4badb1ef	Louvain resolution grid.
fig:supp_all_top50_component_composition	supplementary.tex	NA	NA	figures/ranking_component_composition/Fig_cellline_to_tumour_all_top50_component_composition.pdf	26297695e802028ecf07b0a128355ebf1fb340519f2ab7ed41f25a56564d4b06	All-top-50 component composition of cell-line-to-tumour neighbourhoods.
fig:supp_same_cancer_component_composition	supplementary.tex	NA	NA	figures/ranking_component_composition/Fig_cellline_to_tumour_same_cancer_top50_component_composition.pdf	ec0726e5a2b6a804980a8fa002ef5df6e5204539a5234229f275f9ddef7c02e4	Same-cancer-type component composition of cell-line-to-tumour neighbourhoods.
fig:supp_zero_retained_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/bl_tpa/BL_purity_immune_score.pdf	e8bb6d47ab1ba375bfdea66e1940f50d75e07139478200448a118cbd3547697c	Zero-retained haematological and lymphoid supplementary purity assessments.
fig:supp_zero_retained_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/bl_tpa/BL_purity_stromal_score.pdf	d4d5b20422c123c9a9302f556d17f984660474a9a13d7c1c9b9f1f2421b75bc7	Zero-retained haematological and lymphoid supplementary purity assessments.
fig:supp_zero_retained_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/bl_tpa/BL_sample_retention_by_project_same_axis.pdf	487887f01434f709234f1132eb98253eb63a1c55eee078a7ce115beacf40df35	Zero-retained haematological and lymphoid supplementary purity assessments.
fig:supp_zero_retained_purity_assessments	supplementary.tex	NA	NA	figures/tumour_purity_analysis/bl_tpa/BL_tumour_distribution.pdf	681577cdfdd95af05a74cfb7d2054b8a5eb2af49e03e389ba6533d57c5b328fa	Zero-retained haematological and lymphoid supplementary purity assessments.
